ordem,pasta_triagem,arquivo_overlay,motivo,pasta_correta?,categoria_sugerida,confianca,analysis_unit,timepoint_h,campo,area_pct_whst,cell_line,adjudicado_depois_como,whst_input_file,motivo_classificado,modo_falha_computado,contencao_t0
1,_IMG_INVALIDA,HUVEC__LUIS_RAW_PEP_GB_A3__tp00h__1__A3_0H_1__9487facce2.jpg,imagem ruidosa e com mancha no centro,sim,monolayer_nao_confluente,alta,LUIS RAW||PEP+GB||A3,0,1,0.076,HUVEC,,9487facce2__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_1.tiff,outro,,
2,_IMG_INVALIDA,HUVEC__LUIS_RAW_PEP_MCC_B4__tp12h__1__B4_12H_1__46211a334d.jpg,imagem tem uma mancha lateral mas a segmentação pegou fora do risco,nao,contorno_fora_da_ferida,alta,LUIS RAW||PEP+MCC||B4,12,1,2.11,HUVEC,,46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.tiff,deslocada,,0.0000
3,_IMG_INVALIDA,HUVEC__LUIS_RAW_PEP_E1__tp12h__1__E1_12H_1__def3a0ea0f.jpg,imagem está ruidosa mas daria para segmentar,nao,pegou_so_parte_da_ferida,alta,LUIS RAW||PEP||E1,12,1,0.041,HUVEC,,def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,ruidosa_recuperavel,,1.0000
4,_IMG_INVALIDA,HUVEC__LUIS_RAW_PET_C5__tp12h__2__C5_12H_2__c5c9c83ff5.jpg,"imagem na borda do poço, onde a segmentação pegou area fora da central",sim,contorno_fora_da_ferida,alta,LUIS RAW||PET||C5,12,2,9.889,HUVEC,,c5c9c83ff5__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_2.tiff,deslocada,,
5,_IMG_INVALIDA,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp12h__2__B1_12H_2_2__f16a067d42.jpg,imagem está ruidosa mas daria para segmentar com dificuldade,duvida,contorno_fora_da_ferida,alta,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,12,2,10.296,HUVEC,,f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.tiff,ruidosa_recuperavel,,0.0020
6,_IMG_INVALIDA,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp24h__1__D1_24H_1_3__2416a46324.jpg,"imagem esta escura, dificultaria a segmentação de forma completa",duvida,contorno_fora_da_ferida,alta,Migração (PET e PEP) n3 - RAW||None||D1,24,1,0.254,HUVEC,,2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.tiff,ruidosa_recuperavel,,0.0000
7,_IMG_INVALIDA,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp24h__2__D1_24H_2_3__4e5949b4ff.jpg,"imagem esta escura, mas possivel de segmentar",nao,pegou corretamente,alta,Migração (PET e PEP) n3 - RAW||None||D1,24,2,9.127,HUVEC,,4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.tiff,ruidosa_recuperavel,,0.3957
8,_IMG_INVALIDA,HUVEC__Originais_1_None_D1__tp24h__2__D1_24HR_2_2__4c0807427d.jpg,imagem muito ruidosa,sim,não identificavel,alta,Originais (1)||None||D1,24,2,7.515,HUVEC,,4c0807427d__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_2_2.tiff,imagem_invalida,,0.4981
9,_IMG_INVALIDA,HUVEC__originais_None_A5__tp24h__2__A5_24HR_2__9c1610d4f3.jpg,imagem ruidosa mas com segmentação correta,nao,pegou corretamente,alta,originais||None||A5,24,2,9.272,HUVEC,,9c1610d4f3__HUVEC__originais_None_A5__tp24h__A5_24HR_2.tiff,segmentacao_ok,,
10,_IMG_INVALIDA,SKOV-3__P1_GEO_PTX_F1__tp00h__F1__75ug_ptx1_1__eb2094e9e9.jpg,"imagem em cruz que serviu como teste do algoritmo, mas não é usada no dia dia",duvida,fora do escopo de analise,alta,P1|GEO+PTX|F1,0,F1,63.197,SKOV-3,,eb2094e9e9__BASELINE__SKOV-3__P1_GEO+PTX_F1__tp0h__75ug+ptx1_1.tiff,fora_do_escopo,,
11,_IMG_INVALIDA,SKOV-3__P1_GEO_PTX_F6__tp00h__F6__75ug_ptx2_1__56448aa7e3.jpg,"imagem em cruz que serviu como teste do algoritmo, mas não é usada no dia dia",duvida,fora do escopo de analise,alta,P1|GEO+PTX|F6,0,F6,61.265,SKOV-3,,56448aa7e3__BASELINE__SKOV-3__P1_GEO+PTX_F6__tp0h__75ug+ptx2_1.tiff,fora_do_escopo,,
