series_key,cell_line,analysis_unit,campo,timepoint_h,area_pct,closure_fraction,procedencia_area,analisavel
Controle||None||B1||c1,HUVEC,Controle||None||B1,1,0,21.927,0.0,corrigida,sim
Controle||None||B1||c1,HUVEC,Controle||None||B1,1,8,17.395,0.2067,corrigida,sim
Controle||None||B1||c1,HUVEC,Controle||None||B1,1,12,16.091,0.2662,corrigida,sim
Controle||None||B1||c2,HUVEC,Controle||None||B1,2,0,24.332,0.0,mista,nao
Controle||None||B1||c2,HUVEC,Controle||None||B1,2,8,26.102,-0.0727,mista,nao
LUIS RAW||PEP+GB||A3||c1,HUVEC,LUIS RAW||PEP+GB||A3,1,0,20.883,0.0,corrigida,sim
LUIS RAW||PEP+GB||A3||c1,HUVEC,LUIS RAW||PEP+GB||A3,1,8,5.029,0.7592,corrigida,sim
LUIS RAW||PEP+GB||A3||c1,HUVEC,LUIS RAW||PEP+GB||A3,1,12,4.073,0.805,corrigida,sim
LUIS RAW||PEP+GB||A3||c1,HUVEC,LUIS RAW||PEP+GB||A3,1,24,0.0,1.0,corrigida,sim
LUIS RAW||PEP+GB||A3||c2,HUVEC,LUIS RAW||PEP+GB||A3,2,0,20.883,0.0,corrigida,sim
LUIS RAW||PEP+GB||A3||c2,HUVEC,LUIS RAW||PEP+GB||A3,2,8,11.959,0.4273,corrigida,sim
LUIS RAW||PEP+GB||A3||c2,HUVEC,LUIS RAW||PEP+GB||A3,2,12,3.685,0.8235,corrigida,sim
LUIS RAW||PEP+GB||A3||c2,HUVEC,LUIS RAW||PEP+GB||A3,2,24,0.0,1.0,corrigida,sim
LUIS RAW||PEP+MCC||B4||c1,HUVEC,LUIS RAW||PEP+MCC||B4,1,0,13.261,0.0,mista,nao
LUIS RAW||PEP+MCC||B4||c1,HUVEC,LUIS RAW||PEP+MCC||B4,1,8,14.665,-0.1059,mista,nao
LUIS RAW||PEP+MCC||B4||c1,HUVEC,LUIS RAW||PEP+MCC||B4,1,12,1.069,0.9194,mista,nao
LUIS RAW||PEP+MCC||B4||c1,HUVEC,LUIS RAW||PEP+MCC||B4,1,24,7.084,0.4658,mista,nao
LUIS RAW||PEP+MCC||B4||c2,HUVEC,LUIS RAW||PEP+MCC||B4,2,0,13.261,0.0,corrigida,nao
LUIS RAW||PEP+MCC||B4||c2,HUVEC,LUIS RAW||PEP+MCC||B4,2,8,3.339,0.7482,corrigida,nao
