base,iou_auto_vs_pass1,area_pct_auto,area_pct_pass1,delta_pp,iou_pass1_vs_pass2,area_pct_pass2
0270d51969__SKOV-3__P2_CARBO_F9__tp48h__Snap-25,0.0,46.402,0.0,-46.402,,
074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2,0.26151,85.534,24.44,-61.094,,
0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2,0.67209,4.732,5.461,0.729,,
0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1,0.45164,47.13,21.927,-25.204,,
0bdbd51083__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_1_2,0.0,11.519,0.0,-11.519,1.0,0.0
0c9eecd4e4__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_2_2,0.0,35.943,0.0,-35.943,1.0,0.0
10c73cd55a__HUVEC__originais_None_A1__tp8h__A1_8HR_2,0.28687,43.687,12.607,-31.079,,
11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3,0.0,28.753,3.497,-25.257,,
15dfa1f8f7__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_1,0.32145,19.549,6.293,-13.257,,
161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2,0.00556,0.128,22.991,22.863,,
19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1,0.18543,36.085,6.892,-29.193,,
1b7a6d4b5b__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_2_2,0.0,50.977,0.0,-50.977,,
1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2,0.0,39.505,0.0,-39.505,,
1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2,0.0,8.738,0.0,-8.738,1.0,0.0
1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2,0.05755,41.13,2.367,-38.763,,
219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3,0.15077,73.602,11.097,-62.505,,
226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2,0.5761,23.08,20.233,-2.848,,
267a4a1f3f__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp12h__A2_12H_2_2,0.22829,61.873,14.74,-47.133,,
2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2,0.11717,43.039,5.043,-37.996,,
30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1,0.37649,35.08,13.709,-21.37,,
313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2,0.25021,51.686,13.352,-38.334,,
379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1,0.49279,34.466,17.395,-17.071,,
3bad7fe6bb__HUVEC__Controle+Saudavel_None_B1__tp24h__B1_24hr_1,0.36637,2.421,2.602,0.18,0.63069,2.85
3bb0ffa3c2__HUVEC__originais_None_D4__tp24h__D4_24HR_2,0.0,0.449,0.0,-0.449,,
3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2,0.13864,35.689,4.953,-30.736,,
3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2,0.4258,46.72,21.005,-25.715,,
402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2,0.15161,35.47,5.378,-30.092,,
431a247e4d__SKOV-3__P2_CARBO+GEO_F8__tp48h__Snap-54,0.30802,5.872,14.936,9.064,,
46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1,0.0,2.11,1.069,-1.041,,
4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2,0.3998,47.974,20.429,-27.545,,
4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3,0.64032,9.127,7.524,-1.603,,
52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1,0.86328,6.263,7.255,0.992,,
545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2,0.0,0.042,0.0,-0.042,,
54c61f325d__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_1_3,0.24606,46.625,12.321,-34.304,,
590e6c1504__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_1_3,0.37267,39.833,16.031,-23.803,0.91508,15.753
609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2,1.0,7.165,7.165,0.0,,
61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3,0.15027,92.334,14.031,-78.303,0.8932,13.936
62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1,0.32236,49.312,16.091,-33.221,,
62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3,0.4643,42.402,20.237,-22.165,,
67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2,0.37866,30.468,13.269,-17.199,,
6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2,0.40397,59.164,24.332,-34.832,,
6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2,0.42803,44.05,19.337,-24.713,,
6fb12c61f6__SKOV-3__P2_CARBO_F9__tp0h__Snap-25,0.76783,30.715,39.545,8.83,,
72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3,0.46344,40.238,19.713,-20.525,,
7b82c62a3a__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_1_2,0.26019,33.445,8.89,-24.556,0.79695,10.096
7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2,0.21084,63.688,13.46,-50.227,,
7f4a54ced3__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_1_2,0.0,64.502,0.0,-64.502,,
8380cf36f6__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_2_2,0.14386,18.376,2.662,-15.714,,
876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2,0.24122,95.116,22.983,-72.133,,
8bf826e872__HUVEC__originais_None_A1__tp0h__A1_0HR_2,0.52165,30.903,17.165,-13.738,,
8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3,0.16559,67.931,11.548,-56.382,,
8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2,0.59965,33.761,21.778,-11.982,0.94294,22.083
8ea9f57fed__HUVEC__originais_None_D1__tp24h__D1_24HR_1,0.38926,4.703,2.157,-2.545,,
915659805f__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_1_2,0.0,61.022,0.0,-61.022,,
95925abdae__SKOV-3__P1_CT_F8__tp48h__Snap-08_2,0.0,75.984,0.0,-75.984,,
9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2,0.29765,44.578,13.871,-30.707,0.85927,13.527
9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1,0.0,0.966,0.0,-0.966,,
9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2,0.53142,3.219,3.339,0.12,,
a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1,1.0,5.029,5.029,0.0,,
a3e15c9ecc__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_1_2,0.52643,10.233,5.994,-4.238,,
a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2,0.54665,34.637,20.112,-14.525,,
a99d3e28ae__HUVEC__originais_None_A5__tp8h__A5_8HR_1,0.15534,67.754,10.583,-57.171,,
acb23080b8__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_1_2,0.37709,38.19,15.369,-22.821,,
ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3,0.15724,69.25,11.288,-57.962,,
b050d01a16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_1_2,0.24449,53.277,13.178,-40.099,,
b42d83ed55__SKOV-3__P2_CT_F15__tp24h__Snap-15,0.22343,34.584,11.104,-23.481,,
b4e873c613__HUVEC__originais_None_A1__tp0h__A1_0HR_1,0.78958,12.494,11.856,-0.638,,
b55011ddef__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_2_2,0.28231,22.277,6.311,-15.967,,
b683f7cf68__SKOV-3__P1_CT_F10__tp48h__Snap-10_2,0.0,27.95,0.0,-27.95,,
b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2,0.31165,42.255,13.598,-28.656,,
