arquivo_b,partition,cell_line,timepoint_h,group_key,lote,res,otsu_eta,lap_var,vignette,var_map_sigma2
A2 8h 2_png.rf.3ZQSDMzMCCEjeEEpMLRI.png,train,HUVEC,8,Controle+Saudavel||None||A2,Controle+Saudavel,640,0.63273,69.2,0.8782,2583.66
A2 8H 2_png.rf.IpJ4MtWtbGzE5G2qM41m.png,train,HUVEC,8,Migração (PET e PEP) n3 - RAW||None||A2,Migração (PET e PEP) n3 - RAW,nativo,0.76731,115.1,0.6695,5723.33
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,test,HUVEC,8,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW,nativo,0.73912,79.04,0.715,4583.37
A2 8H 2_png.rf.kZ7SBz8DB3BAcafMWMxz.png,train,HUVEC,8,LUIS RAW||PEP+MET3||A2,LUIS RAW,nativo,0.75071,199.39,0.8316,5414.91
B2 12hr 1_png.rf.5gyL9evissmrGzsSLEAN.png,train,HUVEC,12,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.7564,137.97,0.9162,7065.02
B2 12HR 1_png.rf.FwucefXu7N8eJexkEaUa.png,train,HUVEC,12,Originais (1)||None||B2,Originais (1),nativo,0.68853,39.98,0.7124,3520.16
B2 12hr 1_png.rf.UxcbtO0l2izDJyfYDkL3.png,train,HUVEC,12,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.67239,43.63,0.8715,2694.56
B2 12HR 1_png.rf.w4CHV1tZNpptkrhPRYlw.png,train,HUVEC,12,Controle+Saudavel||None||B2,Controle+Saudavel,nativo,0.82056,71.26,0.7302,7794.74
B2 8hr 2_png.rf.IC0TVwKjwn6ZT1tg5Ayc.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.61029,32.39,0.7689,1126.81
B2 8HR 2_png.rf.d5SKUoUKuKOaQUQwpC9U.png,train,HUVEC,8,Originais (1)||None||B2,Originais (1),nativo,0.64047,26.13,0.7878,1936.94
B2 8hr 2_png.rf.cVpeDQhlWEBD1zht7jp9.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,640,0.69571,62.83,0.8756,3941.95
B2 8HR 2_png.rf.CDPLfmkL04TkJQcPXF00.png,train,HUVEC,8,Controle+Saudavel||None||B2,Controle+Saudavel,nativo,0.80343,105.2,0.8329,7782.03
A4 12hr 2_png.rf.BAu6tJBDY6cRZV3MNUCm.png,train,HUVEC,12,Controle+Saudavel||None||A4,Controle+Saudavel,640,0.60317,59.41,0.8661,1478.15
A4 12HR 2_png.rf.rpQDqLFh0SaadBHHtKo3.png,train,HUVEC,12,Controle+Saudavel||None||A4,Controle+Saudavel,nativo,0.81745,129.67,0.8417,7930.37
A4 12HR 2_png.rf.fXF7CNUNvvrtslE85Hem.png,train,HUVEC,12,Originais (1)||None||A4,Originais (1),nativo,0.66771,32.37,0.7966,1813.87
B3 8HR 1_png.rf.1lxskQttQuNZ6jmrtim1.png,train,HUVEC,8,Originais (1)||None||B3,Originais (1),nativo,0.63256,25.99,0.7471,1845.94
