arquivo_b,stem_normalizado,arquivo_a,pasta_a,linha_celular,well_campo,timepoint_h,similaridade,margem_2o_melhor,status,experimento,tratamento,creation_dt,field_id,grp_field,grp_treat,split_skov
Snap-48_5_png.rf.cqWnY0bh8WHNUbPpOr1X.png,snap-48,Snap-48.tiff,SKOV/48h,SKOV,snap-48,48,0.9995,0.1881,ok,P2,CARBO+GEO,,2,P2|CARBO+GEO|F2,P2|CARBO+GEO,val
Snap-48_png.rf.gFj32XMP1AE8ivadgFZ2.png,snap-48,Snap-48.tiff,SKOV/0h,SKOV,snap-48,0,0.9998,0.1891,ok,P2,CARBO+GEO,,2,P2|CARBO+GEO|F2,P2|CARBO+GEO,val
Snap-48_263_png.rf.m3ZXyMmPHbQPpj19hAhv.png,snap-48,Snap-48.tiff,SKOV/72h,SKOV,snap-48,72,0.9996,0.264,ok,P1,GEO+PTX,,13,P1|GEO+PTX|F13,P1|GEO+PTX,val
Snap-48_110_png.rf.6W4SsaL8UNRSLJ5llLr8.png,snap-48,Snap-48.tiff,SKOV/24h,SKOV,snap-48,24,0.9995,0.2,ok,P2,CARBO+GEO,,2,P2|CARBO+GEO|F2,P2|CARBO+GEO,val
Snap-48_214_png.rf.W39NuOZewyYyiyIabBmm.png,snap-48,Snap-48 (2).tiff,SKOV/24h,SKOV,snap-48,24,0.9996,0.19,ok,P1,GEO+PTX,,2,P1|GEO+PTX|F2,P1|GEO+PTX,train
Snap-48_154_png.rf.V7qG7LsfdmdR0HUAFpGy.png,snap-48,Snap-48 (2).tiff,SKOV/48h,SKOV,snap-48,48,0.9995,0.2167,ok,P1,GEO+PTX,,2,P1|GEO+PTX|F2,P1|GEO+PTX,train
Snap-58_209_png.rf.dbUw0s4aSvUw7mzdslRe.png,snap-58,Snap-58 (2).tiff,SKOV/24h,SKOV,snap-58,24,0.9997,0.1862,ok,P1,GEO+PTX,,12,P1|GEO+PTX|F12,P1|GEO+PTX,train
Snap-58_png.rf.5bdBujv1yq4UbPqw35L3.png,snap-58,Snap-58.tiff,SKOV/0h,SKOV,snap-58,0,0.9998,0.1931,ok,P2,CARBO+GEO,,12,P2|CARBO+GEO|F12,P2|CARBO+GEO,train
Snap-58_105_png.rf.S6dGBs8nCJirevpjONB2.png,snap-58,Snap-58.tiff,SKOV/24h,SKOV,snap-58,24,0.9953,0.1902,ok,P2,CARBO+GEO,,12,P2|CARBO+GEO|F12,P2|CARBO+GEO,train
Snap-58_149_png.rf.gGNFmJIkalAHR9rJANe3.png,snap-58,Snap-58 (2).tiff,SKOV/48h,SKOV,snap-58,48,0.9996,0.1873,ok,P1,GEO+PTX,,12,P1|GEO+PTX|F12,P1|GEO+PTX,train
Snap-58_0_png.rf.LwKLpPTz09rttth9yXyJ.png,snap-58,Snap-58.tiff,SKOV/48h,SKOV,snap-58,48,0.9994,0.2262,ok,P2,CARBO+GEO,,12,P2|CARBO+GEO|F12,P2|CARBO+GEO,train
Snap-59_152_png.rf.epaimzc0srccqJG6nJAH.png,snap-59,Snap-59 (2).tiff,SKOV/48h,SKOV,snap-59,48,0.9995,0.1465,ok,P1,GEO+PTX,,13,P1|GEO+PTX|F13,P1|GEO+PTX,val
Snap-59_png.rf.QAzP72FtBpszeTf2Mrk5.png,snap-59,Snap-59.tiff,SKOV/0h,SKOV,snap-59,0,0.9998,0.1468,ok,P2,CARBO+GEO,,13,P2|CARBO+GEO|F13,P2|CARBO+GEO,train
Snap-59_108_png.rf.pcjqa4byhXHVWqchoMza.png,snap-59,Snap-59.tiff,SKOV/24h,SKOV,snap-59,24,0.997,0.2019,ok,P2,CARBO+GEO,,13,P2|CARBO+GEO|F13,P2|CARBO+GEO,train
Snap-59_3_png.rf.GOvQjtVZo8TiQHDmnSM2.png,snap-59,Snap-59.tiff,SKOV/48h,SKOV,snap-59,48,0.9996,0.1669,ok,P2,CARBO+GEO,,13,P2|CARBO+GEO|F13,P2|CARBO+GEO,train
Snap-59_212_png.rf.mFpPNMwFcq90Zp1o20IQ.png,snap-59,Snap-59 (2).tiff,SKOV/24h,SKOV,snap-59,24,0.9996,0.1709,ok,P1,GEO+PTX,,13,P1|GEO+PTX|F13,P1|GEO+PTX,val
Snap-09_140_png.rf.MLfBljl6KhYw7N82HEXA.png,snap-9,Snap-09 (2).tiff,SKOV/48h,SKOV,snap-9,48,0.9994,0.1598,ok,P1,CT,,9,P1|CT|F9,P1|CT,train
Snap-09_245_png.rf.Sk2QN2VbMrtgID67t9q5.png,snap-9,Snap-09.tiff,SKOV/72h,SKOV,snap-9,72,0.9993,0.3111,ok,P1,PTX,,4,P1|PTX|F4,P1|PTX,train
Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png,snap-9,Snap-09 (2).tiff,SKOV/24h,SKOV,snap-9,24,0.9995,0.1335,ok,P1,CT,,8,P1|CT|F8,P1|CT,train
Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png,snap-9,Snap-09.tiff,SKOV/48h,SKOV,snap-9,48,0.9995,0.1473,ok,P2,CT,,9,P2|CT|F9,P2|CT,train
Snap-09_png.rf.8rxFGfmpj3ofgVOjtLkE.png,snap-9,Snap-09.tiff,SKOV/0h,SKOV,snap-9,0,0.9998,0.134,ok,P2,CT,,8,P2|CT|F8,P2|CT,train
Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png,snap-9,Snap-09.tiff,SKOV/24h,SKOV,snap-9,24,0.9993,0.1964,ok,P2,CT,,9,P2|CT|F9,P2|CT,train
Snap-52_153_png.rf.jWozliFwqBh7FtxPjDhr.png,snap-52,Snap-52 (2).tiff,SKOV/48h,SKOV,snap-52,48,0.9995,0.2985,ok,P1,GEO+PTX,,6,P1|GEO+PTX|F6,P1|GEO+PTX,test
Snap-52_109_png.rf.uchITFihZ7aBNqGdXlak.png,snap-52,Snap-52.tiff,SKOV/24h,SKOV,snap-52,24,0.9996,0.2479,ok,P2,CARBO+GEO,,6,P2|CARBO+GEO|F6,P2|CARBO+GEO,train
Snap-52_213_png.rf.YrkkVK1Bonf3TxwPZWyE.png,snap-52,Snap-52 (2).tiff,SKOV/24h,SKOV,snap-52,24,0.9996,0.3038,ok,P1,GEO+PTX,,6,P1|GEO+PTX|F6,P1|GEO+PTX,test
Snap-52_png.rf.quPTO48loQ0BH1YV5D1Z.png,snap-52,Snap-52.tiff,SKOV/0h,SKOV,snap-52,0,0.9985,0.2462,ok,P2,CARBO+GEO,,6,P2|CARBO+GEO|F6,P2|CARBO+GEO,train
Snap-52_4_png.rf.QgOXnOk246Qj4V3lKXiq.png,snap-52,Snap-52.tiff,SKOV/48h,SKOV,snap-52,48,0.9995,0.2836,ok,P2,CARBO+GEO,,6,P2|CARBO+GEO|F6,P2|CARBO+GEO,train
Snap-12_143_png.rf.Rm5zxWJpiG4cZ3oTCpJH.png,snap-12,Snap-12 (2).tiff,SKOV/48h,SKOV,snap-12,48,0.9994,0.1839,ok,P1,CT,,12,P1|CT|F12,P1|CT,train
Snap-12_69_png.rf.WicraKQ0CdhUH1IJtnIT.png,snap-12,Snap-12.tiff,SKOV/24h,SKOV,snap-12,24,0.9994,0.1295,ok,P2,CT,,12,P2|CT|F12,P2|CT,train
Snap-12_24_png.rf.Ru6LnkVq8ptg2oaXuud7.png,snap-12,Snap-12.tiff,SKOV/48h,SKOV,snap-12,48,0.9996,0.1296,ok,P2,CT,,12,P2|CT|F12,P2|CT,train
Snap-12_247_png.rf.bejYN9qav9OwHOvHDtwA.png,snap-12,Snap-12.tiff,SKOV/72h,SKOV,snap-12,72,0.9992,0.289,ok,P1,PTX,,7,P1|PTX|F7,P1|PTX,test
Snap-12_203_png.rf.JEql0PcElKuzYrOsXGDk.png,snap-12,Snap-12 (2).tiff,SKOV/24h,SKOV,snap-12,24,0.9995,0.1886,ok,P1,CT,,11,P1|CT|F11,P1|CT,train
Snap-12_png.rf.JaRx2jnw5N6x11Hp0geO.png,snap-12,Snap-12.tiff,SKOV/0h,SKOV,snap-12,0,0.9998,0.1299,ok,P2,CT,,11,P2|CT|F11,P2|CT,train
Snap-08_246_png.rf.RqnG5jTrBo52eftjs5DV.png,snap-8,Snap-08.tiff,SKOV/72h,SKOV,snap-8,72,0.9992,0.2357,ok,P1,PTX,,3,P1|PTX|F3,P1|PTX,train
Snap-08_201_png.rf.chUbIWmSPfojmz0KJLAC.png,snap-8,Snap-08 (2).tiff,SKOV/24h,SKOV,snap-8,24,0.9995,0.2305,ok,P1,CT,,7,P1|CT|F7,P1|CT,train
Snap-08_67_png.rf.pJTf39K2wKaqnC1k9jIb.png,snap-8,Snap-08.tiff,SKOV/24h,SKOV,snap-8,24,0.9992,0.2556,ok,P2,CT,,8,P2|CT|F8,P2|CT,train
Snap-08_141_png.rf.xxwXm4vgaTgEnxfrDBvk.png,snap-8,Snap-08 (2).tiff,SKOV/48h,SKOV,snap-8,48,0.9994,0.2185,ok,P1,CT,,8,P1|CT|F8,P1|CT,train
