file,cell,tp,part,res,n_ann,frac_pct,motivo
Snap-17_102_png.rf.L35h25Y208weJrkXRPl5.png,SKOV-3,24,train,nativo,1,0.167,<2.0% (fragmento provavel)
Snap-43_34_png.rf.GOHyfDBrhvieEKwOZ4eD.png,SKOV-3,48,train,nativo,1,0.303,<2.0% (fragmento provavel)
Snap-06_28_png.rf.B16Hi9B61ihSVrFqD8EM.png,SKOV-3,48,val,nativo,1,0.432,<2.0% (fragmento provavel)
Snap-14_18_png.rf.cTI14kZnt7qLocJDEl8J.png,SKOV-3,48,train,nativo,1,0.54,<2.0% (fragmento provavel)
Snap-01_74_png.rf.WcVEXB4f7Y64yyixQhom.png,SKOV-3,24,val,nativo,1,0.568,<2.0% (fragmento provavel)
A4 12H 2_png.rf.IIQI11pJfOdDB7Jzljj6.png,HUVEC,12,train,nativo,1,0.642,<2.0% (fragmento provavel)
Snap-23_46_png.rf.OLrkwsHRaOlVABql7EJC.png,SKOV-3,48,train,nativo,2,0.645,<2.0% (fragmento provavel)
Snap-33_277_png.rf.VKo8X4odufnCCAnDoQ0P.png,SKOV-3,72,train,nativo,1,0.677,<2.0% (fragmento provavel)
Snap-27_282_png.rf.vCcp3UXdXcDmFuHR7aax.png,SKOV-3,72,train,nativo,1,0.7,<2.0% (fragmento provavel)
Snap-08_201_png.rf.chUbIWmSPfojmz0KJLAC.png,SKOV-3,24,train,nativo,1,0.848,<2.0% (fragmento provavel)
B4 24HR 2_png.rf.AY9pmWT2DlfnRIvRg3as.png,HUVEC,24,val,nativo,1,0.856,<2.0% (fragmento provavel)
Snap-01_148_png.rf.csd0SJGzDaEHVmJESnpM.png,SKOV-3,48,train,nativo,1,0.915,<2.0% (fragmento provavel)
E4 24H 2_png.rf.zRn2mkdbLkfop4s4V8xV.png,HUVEC,24,val,nativo,1,0.968,<2.0% (fragmento provavel)
Snap-38_78_png.rf.PaqjOBWZbWnDZZ0RJ1ZA.png,SKOV-3,24,train,nativo,1,1.029,<2.0% (fragmento provavel)
A2 24h 2_png.rf.vPEXFaeBDCIJ7xVoYjlS.png,HUVEC,24,train,640,2,1.174,<2.0% (fragmento provavel)
E8 24H 1_png.rf.NCtTwuOdCGdNV1jvRInG.png,HUVEC,24,train,nativo,1,1.223,<2.0% (fragmento provavel)
Snap-11_145_png.rf.3ge56gMacLMVyGcpZzLe.png,SKOV-3,48,train,nativo,1,1.256,<2.0% (fragmento provavel)
B2 24H 2_png.rf.X8Z6nGLnH4ONbqM6CEpF.png,HUVEC,24,train,640,1,1.359,<2.0% (fragmento provavel)
Snap-03_61_png.rf.1FYqRGNLJIklJ5YdlPHa.png,SKOV-3,24,train,nativo,1,1.413,<2.0% (fragmento provavel)
D3 12HR 2_png.rf.cc5ORiU1L0tYW9JwzMnT.png,HUVEC,12,train,nativo,3,1.436,<2.0% (fragmento provavel)
Snap-24_279_png.rf.zdt5pR8v2pQwJ2i4ix6P.png,SKOV-3,72,train,nativo,2,1.549,<2.0% (fragmento provavel)
Snap-43_79_png.rf.QHy7X5fw5paLTpJkeudB.png,SKOV-3,24,train,nativo,4,1.811,<2.0% (fragmento provavel)
B8 24HR 2_png.rf.b5g4X4XnMrKNqb9SQURi.png,HUVEC,24,train,nativo,1,1.813,<2.0% (fragmento provavel)
Snap-20_59_png.rf.cuUsjVgyqu6QpoUYSKTl.png,SKOV-3,48,train,nativo,1,1.882,<2.0% (fragmento provavel)
Snap-01_29_png.rf.mg28uhmxn5A9je1hvBDV.png,SKOV-3,48,val,nativo,2,1.921,<2.0% (fragmento provavel)
D4 12HR 1_png.rf.coQP5Rm68FoQiPA5lE4l.png,HUVEC,12,test,nativo,0,0.0,sem anotacao (0 poligonos)
A2 24HR 2_png.rf.7v4xBMHObHaA3NuLPSjm.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C8 24HR 2_png.rf.89emK7tbJ4ArtvPfDi2F.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
A3 24HR _png.rf.5mOrWeoDdCbiHpmsULlx.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C1 24HR 2_png.rf.9exsonf957zV0aCSSZs8.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
C3 24HR 1_png.rf.pZgJEEa8LXWK8obYVuEZ.png,HUVEC,24,train,nativo,0,0.0,sem anotacao (0 poligonos)
