sorted_basename,categoria,subtipo,cell_line,group_key,timepoint_h,campo,raw_file_original,raw_md5,whst_input_file,test_image,match_via,classe_validade,serie_padrao,serie_closure_plausivel,serie_decisao,excesso_rel,excesso_ref,na_lista_correcao,na_lista_revisao,contencao_t0,modo_falha,origem_categoria,motivo_operador,status_correcao
HUVEC__Controle_Saudavel_None_A1__tp12h__1__A1_12hr_1__121a1c1fcd.jpg,OK,,HUVEC,Controle+Saudavel||None||A1,12,1,A1 12hr 1.tiff,121a1c1fcdd25663857efd43b4ef24c6,121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,nome,valida_ok,MISTO,nao,SEM_BASELINE_fora_pareada,,,nao,nao,,,triagem,,
HUVEC__Controle_Saudavel_None_A1__tp12h__2__A1_12hr_2__4912771227.jpg,SEG_RUIM,sub,HUVEC,Controle+Saudavel||None||A1,12,2,A1 12hr 2.tiff,4912771227906e99c3cd24dc28eb2f3a,4912771227__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_2.tiff,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,nome,falha_metodo_WHST,MISTO,nao,SEM_BASELINE_fora_pareada,,,nao,nao,,nao_avaliavel,triagem,"segmentação quase correta, faltou apenas uma parte",
HUVEC__Controle_Saudavel_None_A1__tp24h__1__A1_24h_1__7131dcbea1.jpg,SEG_RUIM,super,HUVEC,Controle+Saudavel||None||A1,24,1,A1 24h 1.tiff,7131dcbea1a4b025c35f6016b81eddb9,7131dcbea1__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_1.tiff,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,nome,falha_metodo_WHST,MISTO,nao,SEM_BASELINE_fora_pareada,-0.778,cond_ok,nao,nao,,nao_avaliavel,triagem,"pouco super, talvez totalmente fechada",
HUVEC__Controle_Saudavel_None_A1__tp24h__1__A1_24hr_1__d1683f117e.jpg,OK,,HUVEC,Controle+Saudavel||None||A1,24,1,A1 24hr 1.tiff,d1683f117e5cbfdcd13ee38e05881a57,d1683f117e__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24hr_1.tiff,A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,nome,valida_ok,MISTO,nao,SEM_BASELINE_fora_pareada,,,nao,nao,,,triagem,,
HUVEC__Controle_Saudavel_None_A1__tp24h__2__A1_24h_2__852829b565.jpg,SEG_RUIM,super,HUVEC,Controle+Saudavel||None||A1,24,2,A1 24h 2.tiff,852829b5652d27118096fb126be18c26,852829b565__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_2.tiff,A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,nome,falha_metodo_WHST,MISTO,nao,SEM_BASELINE_fora_pareada,-0.550,irmao_campo,nao,nao,,nao_avaliavel,anotacao,figura parece fechada. Precisaria ver sem overlay para confirmar,
HUVEC__Controle_Saudavel_None_B1__tp00h__1__B1_0hr_1__0b6e433347.jpg,SEG_RUIM,super,HUVEC,Controle+Saudavel||None||B1,0,1,B1 0hr 1.tiff,0b6e4333472e7322fac217c4238550fb,0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,,sem_referencia,nao,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Controle_Saudavel_None_B1__tp00h__1__B1_0hr_1__821e5c649b.jpg,OK,,HUVEC,Controle+Saudavel||None||B1,0,1,B1 0hr_1.tiff,821e5c649bb92a7dce9ec749826a45fe,821e5c649b__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,nome,valida_ok,MISTO,sim,CORRIGIR_misto,,,nao,nao,,,triagem,,ok
HUVEC__Controle_Saudavel_None_B1__tp00h__2__B1_0hr_2__6a4edc8aeb.jpg,SEG_RUIM,super,HUVEC,Controle+Saudavel||None||B1,0,2,B1 0hr 2.tiff,6a4edc8aeb1645951e9848d3f2ededaa,6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,nome,falha_metodo_WHST,MISTO,nao,CORRIGIR_misto,,sem_referencia,sim,nao,,nao_avaliavel,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Controle_Saudavel_None_B1__tp00h__2__B1_0hr_2__cd7390ba07.jpg,OK,,HUVEC,Controle+Saudavel||None||B1,0,2,B1 0hr_2.tiff,cd7390ba077985c5c9d483a77b83e0f8,cd7390ba07__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,nome,valida_ok,CONSISTENTE_OK,sim,USAVEL_sem_correcao,,,nao,nao,,,triagem,,
HUVEC__Controle_Saudavel_None_B1__tp08h__1__B1_8hr_1__379d95a8e1.jpg,SEG_RUIM,super,HUVEC,Controle+Saudavel||None||B1,8,1,B1 8hr 1.tiff,379d95a8e117631edb15eb53fcd14445,379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,-0.334,irmao_campo,nao,nao,0.8406,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Controle_Saudavel_None_B1__tp08h__2__B1_8hr_2__80b3243635.jpg,OK,,HUVEC,Controle+Saudavel||None||B1,8,2,B1 8hr 2.tiff,80b32436352d1ceaeeeb2bcf6c1b1845,80b3243635__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_2.tiff,B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,nome,valida_ok,MISTO,nao,CORRIGIR_misto,,,nao,nao,0.9142,,anotacao,pegou a ferida corretamente,
HUVEC__Controle_Saudavel_None_B1__tp12h__1__B1_12hr_1__62c9f5d9a5.jpg,SEG_RUIM,super,HUVEC,Controle+Saudavel||None||B1,12,1,B1 12hr 1.tiff,62c9f5d9a5e5d92c1b7fbe18ef869f68,62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,nome,falha_metodo_WHST,CONSISTENTE_SUPER,sim,USAVEL_sem_correcao,0.067,cond_ok,nao,nao,0.7169,excesso,triagem,pegou a ferida e fora dela tambem,ok
HUVEC__Controle_Saudavel_None_B1__tp12h__1__B1_12hr_1__ba850ac4ac.jpg,SEG_RUIM,super,HUVEC,Controle+Saudavel||None||B1,12,1,B1 12hr_1.tiff,ba850ac4acb2e6a5f8ffc3feb46bf7c2,ba850ac4ac__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,nome,falha_metodo_WHST,MISTO,sim,CORRIGIR_misto,,sem_referencia,sim,nao,0.5859,excesso,triagem,pegou a ferida e fora dela tambem,ok
