whst_input_file,cell_line,analysis_unit,series_key,campo,timepoint_h,area_pct_final,area_pct_auto,fonte_area,categoria
121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,HUVEC,Controle||None||A1,Controle||None||A1||c1,1,12,15.087,15.087,automatica,OK
4912771227__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_2.tiff,HUVEC,Controle||None||A1,Controle||None||A1||c2,2,12,9.938,9.938,automatica,SEG_RUIM/sub
7131dcbea1__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_1.tiff,HUVEC,Controle||None||A1,Controle||None||A1||c1,1,24,1.035,1.035,automatica,SEG_RUIM/super
d1683f117e__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24hr_1.tiff,HUVEC,Controle||None||A1,Controle||None||A1||c1,1,24,4.654,4.654,automatica,OK
852829b565__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_2.tiff,HUVEC,Controle||None||A1,Controle||None||A1||c2,2,24,2.095,2.095,automatica,SEG_RUIM/super
0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,HUVEC,Controle||None||B1,Controle||None||B1||c1,1,0,21.927,47.13,corrigida,SEG_RUIM/super
6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,HUVEC,Controle||None||B1,Controle||None||B1||c2,2,0,24.332,59.164,corrigida,SEG_RUIM/super
379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,HUVEC,Controle||None||B1,Controle||None||B1||c1,1,8,17.395,34.466,corrigida,SEG_RUIM/super
80b3243635__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_2.tiff,HUVEC,Controle||None||B1,Controle||None||B1||c2,2,8,26.102,26.102,automatica,OK
62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,HUVEC,Controle||None||B1,Controle||None||B1||c1,1,12,16.091,49.312,corrigida,SEG_RUIM/super
