whst_input_file,cell_line,timepoint_h,analysis_unit,series_key,campo,grupo_split,is_baseline,area_pct,categoria,needs_correction,raw_file,test_image
121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,HUVEC,12,Controle||None||A1,Controle||None||A1||c1,1,Controle+Saudavel||None||A1,no,15.087,OK,0,A1 12hr 1.tiff,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png
d1683f117e__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24hr_1.tiff,HUVEC,24,Controle||None||A1,Controle||None||A1||c1,1,Controle+Saudavel||None||A1,no,4.654,DISCORDANCIA_CAMPO,1,A1 24hr 1.tiff,A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png
7131dcbea1__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_1.tiff,HUVEC,24,Controle||None||A1,Controle||None||A1||c1,1,Controle+Saudavel||None||A1,no,1.035,DISCORDANCIA_CAMPO,1,A1 24h 1.tiff,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png
4912771227__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_2.tiff,HUVEC,12,Controle||None||A1,Controle||None||A1||c2,2,Controle+Saudavel||None||A1,no,9.938,OK,0,A1 12hr 2.tiff,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png
852829b565__HUVEC__Controle+Saudavel_None_A1__tp24h__A1_24h_2.tiff,HUVEC,24,Controle||None||A1,Controle||None||A1||c2,2,Controle+Saudavel||None||A1,no,2.095,DISCORDANCIA_CAMPO,1,A1 24h 2.tiff,A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png
0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,HUVEC,0,Controle||None||B1,Controle||None||B1||c1,1,Controle+Saudavel||None||B1,no,47.13,OK,0,B1 0hr 1.tiff,B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png
379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,HUVEC,8,Controle||None||B1,Controle||None||B1||c1,1,Controle+Saudavel||None||B1,no,34.466,OK,0,B1 8hr 1.tiff,B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png
62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,HUVEC,12,Controle||None||B1,Controle||None||B1||c1,1,Controle+Saudavel||None||B1,no,49.312,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO,1,B1 12hr 1.tiff,B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png
6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,HUVEC,0,Controle||None||B1,Controle||None||B1||c2,2,Controle+Saudavel||None||B1,no,59.164,OK,0,B1 0hr 2.tiff,B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png
80b3243635__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_2.tiff,HUVEC,8,Controle||None||B1,Controle||None||B1||c2,2,Controle+Saudavel||None||B1,no,26.102,OK,0,B1 8hr 2.tiff,B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png
9487facce2__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_1.tiff,HUVEC,0,LUIS RAW||PEP+GB||A3,LUIS RAW||PEP+GB||A3||c1,1,LUIS RAW||PEP+GB||A3,no,0.076,DISCORDANCIA_CAMPO+FALHA_CLOSURE_NEG+FALHA_SUB,1,A3 0H 1.tiff,A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png
