series_key,cell_line,lote,n_img,padrao,tem_baseline,closure_plausivel,motivo,closure_seq,decisao,n_frames_invalidos,baseline_emprestado
Controle||None||A1||c1,HUVEC,Controle,3,MISTO,False,False,sem_baseline,,SEM_BASELINE_fora_pareada,0,nao
Controle||None||A1||c2,HUVEC,Controle,2,MISTO,False,False,sem_baseline,,SEM_BASELINE_fora_pareada,0,nao
Controle||None||B1||c1,HUVEC,Controle,3,CONSISTENTE_SUPER,True,True,plausivel,0h:0.000;8h:0.207;12h:0.266,USAVEL_sem_correcao,0,nao
Controle||None||B1||c2,HUVEC,Controle,2,MISTO,True,False,"fora_[0,1]",0h:0.000;8h:-0.073,CORRIGIR_misto,0,nao
LUIS RAW||PEP+GB||A3||c1,HUVEC,LUIS RAW,4,MISTO+INVALIDA,True,True,plausivel,0h:0.000;8h:0.759;12h:0.805;24h:1.000,CORRIGIR_misto,1,sim(c2)
LUIS RAW||PEP+GB||A3||c2,HUVEC,LUIS RAW,4,MISTO,True,True,plausivel,0h:0.000;8h:0.427;12h:0.824;24h:1.000,CORRIGIR_misto,0,nao
LUIS RAW||PEP+MCC||B4||c1,HUVEC,LUIS RAW,4,MISTO,True,False,"fora_[0,1]+nao_monotonica",0h:0.000;8h:-0.106;12h:0.919;24h:0.466,CORRIGIR_misto,0,nao
LUIS RAW||PEP+MCC||B4||c2,HUVEC,LUIS RAW,4,MISTO+INVALIDA,True,False,nao_monotonica,0h:0.000;8h:0.748;12h:-0.046;24h:1.000,CORRIGIR_misto,1,sim(c1)
LUIS RAW||PEP+MET3||A6||c1,HUVEC,LUIS RAW,4,MISTO+INVALIDA,True,True,plausivel,0h:0.000;8h:0.289;12h:0.462;24h:0.684,CORRIGIR_misto,1,sim(c2)
LUIS RAW||PEP+MET3||A6||c2,HUVEC,LUIS RAW,4,MISTO,True,True,plausivel,0h:0.000;8h:0.120;12h:0.339;24h:0.635,CORRIGIR_misto,0,nao
LUIS RAW||PEP||E1||c1,HUVEC,LUIS RAW,4,MISTO,True,True,plausivel,0h:0.000;8h:0.536;12h:0.681;24h:1.000,CORRIGIR_misto,0,nao
LUIS RAW||PEP||E1||c2,HUVEC,LUIS RAW,3,MISTO,True,True,plausivel,0h:0.000;8h:0.668;12h:0.785,CORRIGIR_misto,0,nao
LUIS RAW||PET||C5||c1,HUVEC,LUIS RAW,3,MISTO,True,True,plausivel,0h:0.000;8h:0.290;12h:0.347,CORRIGIR_misto,0,nao
LUIS RAW||PET||C5||c2,HUVEC,LUIS RAW,2,CONSISTENTE_SUPER+INVALIDA,True,True,plausivel,0h:0.000;12h:0.529,USAVEL_sem_correcao,1,sim(c1)
LUIS RAW||PET||F2||c1,HUVEC,LUIS RAW,2,CONSISTENTE_OK,True,True,plausivel,0h:0.000;12h:0.021,USAVEL_sem_correcao,0,nao
LUIS RAW||PET||F2||c2,HUVEC,LUIS RAW,3,CONSISTENTE_SUPER+INVALIDA,True,False,"fora_[0,1]+nao_monotonica",0h:0.000;8h:0.419;12h:-0.057,CORRIGIR_consistente_implausivel,1,sim(c1)
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,HUVEC,Migração (PET e PEP) n1 - RAW,4,CONSISTENTE_SUPER+INVALIDA,True,True,plausivel,0h:0.000;12h:0.863,USAVEL_sem_correcao,2,nao
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,HUVEC,Migração (PET e PEP) n1 - RAW,4,CONSISTENTE_SUPER+INVALIDA,True,True,plausivel,0h:0.000;8h:0.423;12h:0.724,USAVEL_sem_correcao,1,nao
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,HUVEC,Migração (PET e PEP) n1 - RAW,4,CONSISTENTE_SUPER+INVALIDA,True,True,plausivel,0h:0.000;8h:0.548;12h:0.753,USAVEL_sem_correcao,1,nao
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,HUVEC,Migração (PET e PEP) n1 - RAW,4,CONSISTENTE_SUPER+INVALIDA,True,True,plausivel,0h:0.000;8h:0.063;12h:0.008,USAVEL_sem_correcao,1,nao
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,HUVEC,Migração (PET e PEP) n2 - RAW,4,MISTO,True,True,plausivel,0h:0.000;8h:0.584;12h:0.593;24h:0.726,CORRIGIR_misto,0,nao
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,HUVEC,Migração (PET e PEP) n2 - RAW,4,MISTO+INVALIDA,True,True,plausivel,0h:0.000;8h:0.604;24h:0.876,CORRIGIR_misto,1,nao
Migração (PET e PEP) n2 - RAW||PEP||A2||c1,HUVEC,Migração (PET e PEP) n2 - RAW,4,CONSISTENTE_SUPER+INVALIDA,True,False,"fora_[0,1]+nao_monotonica",0h:0.000;12h:-0.388;24h:-0.837,CORRIGIR_consistente_implausivel,2,sim(c2)
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,HUVEC,Migração (PET e PEP) n2 - RAW,4,MISTO,True,True,plausivel,0h:0.000;8h:0.594;12h:0.615;24h:0.698,CORRIGIR_misto,0,nao
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,HUVEC,Migração (PET e PEP) n2 - RAW,4,MISTO,True,True,plausivel,0h:0.000;8h:0.082;12h:0.117;24h:0.379,CORRIGIR_misto,0,nao
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,HUVEC,Migração (PET e PEP) n2 - RAW,4,CONSISTENTE_SUPER,True,True,plausivel,0h:0.000;8h:0.109;12h:0.141;24h:0.454,USAVEL_sem_correcao,0,nao
Migração (PET e PEP) n3 - RAW||None||D1||c1,HUVEC,Migração (PET e PEP) n3 - RAW,4,CONSISTENTE_SUPER+INVALIDA,True,True,plausivel,0h:0.000;8h:0.231;12h:0.296,USAVEL_sem_correcao,1,nao
Migração (PET e PEP) n3 - RAW||None||D1||c2,HUVEC,Migração (PET e PEP) n3 - RAW,4,MISTO,True,True,plausivel,0h:0.000;8h:0.230;12h:0.216;24h:0.579,CORRIGIR_misto,0,nao
Migração (PET e PEP) n3 - RAW||None||D4||c1,HUVEC,Migração (PET e PEP) n3 - RAW,4,CONSISTENTE_SUPER,True,True,plausivel,0h:0.000;8h:-0.027;12h:0.103;24h:0.437,USAVEL_sem_correcao,0,nao
