series_key,campo,timepoint_h,cell_line,referencia,ai_media_5seeds,ai_min,ai_max,diferenca,media_dos_dois
Controle||None||B1||c1,1,8,HUVEC,0.206700,0.229684,0.225136,0.236857,0.022984,0.218192
LUIS RAW||PEP+GB||A3||c2,2,8,HUVEC,0.427300,0.467954,0.449695,0.476143,0.040654,0.447627
LUIS RAW||PEP+MET3||A6||c1,1,8,HUVEC,0.289400,0.255552,0.239889,0.277369,-0.033848,0.272476
LUIS RAW||PEP+MET3||A6||c2,2,8,HUVEC,0.120000,0.350566,0.170245,1.000000,0.230566,0.235283
LUIS RAW||PEP||E1||c1,1,8,HUVEC,0.536500,0.506510,0.485660,0.522410,-0.029990,0.521505
LUIS RAW||PEP||E1||c2,2,8,HUVEC,0.667900,0.499914,0.496913,0.504373,-0.167986,0.583907
LUIS RAW||PET||C5||c1,1,8,HUVEC,0.290400,0.285715,0.280708,0.291282,-0.004685,0.288058
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,HUVEC,0.422700,0.379730,0.369577,0.389229,-0.042970,0.401215
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,HUVEC,0.548400,0.517511,0.513791,0.521009,-0.030889,0.532955
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,HUVEC,0.062700,0.356273,0.353109,0.362421,0.293573,0.209486
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,HUVEC,0.584400,0.587964,0.585565,0.589786,0.003564,0.586182
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,HUVEC,0.604000,0.570318,0.567584,0.576167,-0.033682,0.587159
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,HUVEC,0.594200,0.576005,0.571037,0.580281,-0.018195,0.585102
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,HUVEC,0.082000,0.121814,0.118941,0.125513,0.039814,0.101907
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,HUVEC,0.108900,0.098529,0.090899,0.104636,-0.010371,0.103714
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,HUVEC,0.231400,0.214004,0.208620,0.227046,-0.017396,0.222702
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,HUVEC,0.230100,0.646303,0.152900,1.000000,0.416203,0.438201
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,HUVEC,-0.026600,0.004434,-0.001239,0.010954,0.031034,-0.011083
Originais (1)||None||A1||c1,1,8,HUVEC,0.507400,0.564708,0.560043,0.569935,0.057308,0.536054
Originais (1)||None||A1||c2,2,8,HUVEC,0.489000,0.493182,0.491660,0.495482,0.004182,0.491091
Originais (1)||None||A5||c1,1,8,HUVEC,0.616300,0.580688,0.575703,0.590990,-0.035612,0.598494
Originais (1)||None||A5||c2,2,8,HUVEC,0.597800,0.573696,0.568527,0.576078,-0.024104,0.585748
Originais (1)||None||B5||c1,1,8,HUVEC,0.503900,0.508495,0.507085,0.509972,0.004595,0.506197
Originais (1)||None||B5||c2,2,8,HUVEC,0.235200,0.452681,0.449198,0.458862,0.217481,0.343940
Originais (1)||None||D1||c2,2,8,HUVEC,0.256100,0.499897,0.496515,0.504590,0.243797,0.377999
originais||None||A1||c1,1,8,HUVEC,0.418700,0.403741,0.397531,0.409064,-0.014959,0.411221
originais||None||A1||c2,2,8,HUVEC,0.265500,0.293559,0.288372,0.297113,0.028059,0.279529
originais||None||D1||c1,1,8,HUVEC,0.437600,0.456316,0.453366,0.463978,0.018716,0.446958
originais||None||D1||c2,2,8,HUVEC,0.446700,0.431417,0.426022,0.440105,-0.015283,0.439059
originais||None||D4||c1,1,8,HUVEC,0.600300,0.606893,0.605240,0.609002,0.006593,0.603597
Controle||None||B1||c1,1,12,HUVEC,0.266200,0.277709,0.273469,0.281479,0.011509,0.271954
LUIS RAW||PEP+GB||A3||c2,2,12,HUVEC,0.823500,0.874377,0.786715,1.000000,0.050877,0.848939
LUIS RAW||PEP+MET3||A6||c1,1,12,HUVEC,0.462400,0.310600,0.308038,0.316004,-0.151800,0.386500
LUIS RAW||PEP+MET3||A6||c2,2,12,HUVEC,0.338900,0.319888,0.314497,0.324063,-0.019012,0.329394
LUIS RAW||PEP||E1||c1,1,12,HUVEC,0.681400,0.825174,0.560100,1.000000,0.143774,0.753287
LUIS RAW||PEP||E1||c2,2,12,HUVEC,0.784800,0.919134,0.595669,1.000000,0.134334,0.851967
LUIS RAW||PET||C5||c1,1,12,HUVEC,0.347500,0.346301,0.343275,0.350115,-0.001199,0.346900
LUIS RAW||PET||F2||c1,1,12,HUVEC,0.021200,0.817584,0.528061,1.000000,0.796384,0.419392
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,HUVEC,0.863000,1.000000,1.000000,1.000000,0.137000,0.931500
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,HUVEC,0.724300,0.687082,0.470920,1.000000,-0.037218,0.705691
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,HUVEC,0.753100,0.704371,0.699680,0.708333,-0.048729,0.728735
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,HUVEC,0.008200,0.422429,0.388076,0.533796,0.414229,0.215315
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,HUVEC,0.593100,0.583186,0.579382,0.586023,-0.009914,0.588143
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,HUVEC,0.614700,0.602476,0.600174,0.605628,-0.012224,0.608588
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,HUVEC,0.117400,0.159427,0.153267,0.165394,0.042027,0.138413
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,HUVEC,0.140500,0.145779,0.134679,0.150443,0.005279,0.143139
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,HUVEC,0.295900,0.306120,0.300173,0.316055,0.010220,0.301010
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,HUVEC,0.215700,0.222847,0.216976,0.229412,0.007147,0.219274
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,HUVEC,0.103000,0.114568,0.109885,0.117668,0.011568,0.108784
Originais (1)||None||A1||c1,1,12,HUVEC,0.720300,0.938327,0.691634,1.000000,0.218027,0.829313
Originais (1)||None||A1||c2,2,12,HUVEC,0.707700,0.869783,0.674422,1.000000,0.162083,0.788741
Originais (1)||None||A5||c1,1,12,HUVEC,0.831100,0.942390,0.711952,1.000000,0.111290,0.886745
Originais (1)||None||A5||c2,2,12,HUVEC,0.830300,0.946114,0.730572,1.000000,0.115814,0.888207
Originais (1)||None||B5||c1,1,12,HUVEC,0.641600,0.646942,0.642989,0.650018,0.005342,0.644271
Originais (1)||None||B5||c2,2,12,HUVEC,0.284300,0.566728,0.561534,0.571147,0.282428,0.425514
Originais (1)||None||D1||c2,2,12,HUVEC,0.432000,1.000000,1.000000,1.000000,0.568000,0.716000
Pré-Eclâmpsia||None||B6||c1,1,12,HUVEC,0.713500,0.785529,0.677602,1.000000,0.072029,0.749514
Saudável||None||B1||c1,1,12,HUVEC,0.247400,-0.167476,-0.184202,-0.150538,-0.414876,0.039962
originais||None||D1||c1,1,12,HUVEC,0.551300,0.572986,0.569306,0.576964,0.021686,0.562143
originais||None||D1||c2,2,12,HUVEC,0.570200,0.553579,0.549734,0.563930,-0.016621,0.561890
LUIS RAW||PEP+GB||A3||c2,2,24,HUVEC,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
LUIS RAW||PEP+MET3||A6||c1,1,24,HUVEC,0.684400,0.631477,0.607959,0.672755,-0.052923,0.657938
LUIS RAW||PEP+MET3||A6||c2,2,24,HUVEC,0.635100,0.846350,0.615073,1.000000,0.211250,0.740725
LUIS RAW||PEP||E1||c1,1,24,HUVEC,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,HUVEC,0.725500,0.733277,0.730275,0.735312,0.007777,0.729388
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,HUVEC,0.876200,0.933874,0.870077,1.000000,0.057674,0.905037
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,HUVEC,0.698100,0.694381,0.692409,0.696754,-0.003719,0.696240
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,HUVEC,0.379300,0.379661,0.372850,0.382349,0.000361,0.379481
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,HUVEC,0.453700,0.439378,0.416756,0.457091,-0.014322,0.446539
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,HUVEC,0.579400,0.540970,0.536961,0.548922,-0.038430,0.560185
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,HUVEC,0.437100,0.444042,0.436234,0.448395,0.006942,0.440571
Originais (1)||None||A1||c1,1,24,HUVEC,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
Originais (1)||None||A1||c2,2,24,HUVEC,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
Originais (1)||None||A5||c1,1,24,HUVEC,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
Originais (1)||None||A5||c2,2,24,HUVEC,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
Pré-Eclâmpsia||None||B6||c1,1,24,HUVEC,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
Saudável||None||B1||c1,1,24,HUVEC,0.877200,1.000000,1.000000,1.000000,0.122800,0.938600
Saudável||None||B1||c2,2,24,HUVEC,0.623700,0.634685,0.631244,0.637704,0.010985,0.629193
originais||None||B5||c1,1,24,HUVEC,0.467400,1.000000,1.000000,1.000000,0.532600,0.733700
originais||None||D1||c1,1,24,HUVEC,0.883500,0.870461,0.836924,1.000000,-0.013039,0.876980
originais||None||D1||c2,2,24,HUVEC,0.792900,0.810938,0.802082,0.818285,0.018038,0.801919
originais||None||D4||c1,1,24,HUVEC,0.809300,1.000000,1.000000,1.000000,0.190700,0.904650
P1|CT|F8,F8,24,SKOV-3,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
P1|PTX|F2,F2,24,SKOV-3,0.438400,0.497711,0.491270,0.505514,0.059311,0.468056
P1|PTX|F9,F9,24,SKOV-3,0.148900,0.190519,0.162070,0.255132,0.041619,0.169709
P2|CARBO+GEO|F8,F8,24,SKOV-3,0.504400,0.493424,0.460421,0.535288,-0.010976,0.498912
P2|CARBO|F9,F9,24,SKOV-3,0.536200,0.798969,0.438335,1.000000,0.262769,0.667585
P2|CT|F9,F9,24,SKOV-3,0.847900,0.864789,0.855281,0.884165,0.016889,0.856344
P2|GEO|F11,F11,24,SKOV-3,0.471200,0.465425,0.457115,0.475680,-0.005775,0.468313
P1|CT|F10,F10,48,SKOV-3,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
P1|CT|F8,F8,48,SKOV-3,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
P1|PTX|F2,F2,48,SKOV-3,0.769500,0.700169,0.696874,0.703010,-0.069331,0.734834
P1|PTX|F9,F9,48,SKOV-3,0.479300,0.337910,0.316525,0.365375,-0.141390,0.408605
P2|CARBO+GEO|F14,F14,48,SKOV-3,0.497100,0.536351,0.372714,1.000000,0.039251,0.516725
P2|CARBO+GEO|F8,F8,48,SKOV-3,0.595700,0.755943,0.542899,1.000000,0.160243,0.675821
P2|CARBO|F9,F9,48,SKOV-3,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
P2|CT|F9,F9,48,SKOV-3,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000
