annotator,clinical_group,group,replicate,timepoint_h,imagej,ai,diff_ai_imagej,mean_imagej_ai,negative_either
Annotator 1,EOPE,EOPE,0,8,0.481049,0.483321,0.0022719999999999,0.482185,False
Annotator 1,EOPE,EOPE,0,12,0.548183,0.594128,0.045945,0.5711554999999999,False
Annotator 1,EOPE,EOPE,0,24,0.835944,0.848949,0.0130049999999999,0.8424465,False
Annotator 1,EOPE,EOPE,1,8,0.39941,0.422122,0.022712,0.4107659999999999,False
Annotator 1,EOPE,EOPE,1,12,0.513486,0.53974,0.026254,0.526613,False
Annotator 1,EOPE,EOPE,1,24,0.840892,0.76124,-0.0796519999999999,0.8010660000000001,False
Annotator 1,EOPE,EOPE,2,8,0.516047,0.504406,-0.011641,0.5102265,False
Annotator 1,EOPE,EOPE,2,12,0.693398,0.671562,-0.0218359999999999,0.68248,False
Annotator 1,EOPE,EOPE,2,24,1.0,1.0,0.0,1.0,False
Annotator 1,EOPE,EOPE,3,8,0.383118,0.407325,0.0242069999999999,0.3952215,False
Annotator 1,EOPE,EOPE,3,12,0.492557,0.540553,0.0479959999999999,0.516555,False
Annotator 1,EOPE,EOPE,3,24,0.936455,0.973072,0.036617,0.9547635,False
Annotator 1,EOPE,EOPE,5,8,0.52803,0.564914,0.036884,0.5464720000000001,False
Annotator 1,EOPE,EOPE,5,12,0.733625,0.692528,-0.0410969999999999,0.7130765,False
Annotator 1,EOPE,EOPE,5,24,1.0,1.0,0.0,1.0,False
Annotator 1,EOPE,EOPE,6,8,0.444047,0.450109,0.0060619999999999,0.447078,False
Annotator 1,EOPE,EOPE,6,12,0.629816,0.599047,-0.030769,0.6144315,False
Annotator 1,EOPE,EOPE,6,24,1.0,1.0,0.0,1.0,False
Annotator 1,EOPE,EOPE,7,8,0.463306,0.496317,0.033011,0.4798115,False
Annotator 1,EOPE,EOPE,7,12,0.586436,0.614702,0.028266,0.6005689999999999,False
Annotator 1,EOPE,EOPE,7,24,1.0,1.0,0.0,1.0,False
Annotator 1,EOPE,EOPE,8,8,0.411569,0.362437,-0.049132,0.387003,False
Annotator 1,EOPE,EOPE,8,12,0.523998,0.486171,-0.0378269999999999,0.5050844999999999,False
Annotator 1,EOPE,EOPE,8,24,0.867283,0.784263,-0.0830199999999999,0.8257730000000001,False
Annotator 1,LOPE,LOPE,0,8,0.623968,0.636879,0.012911,0.6304235,False
Annotator 1,LOPE,LOPE,0,12,0.861753,0.807313,-0.05444,0.834533,False
Annotator 1,LOPE,LOPE,0,24,1.0,1.0,0.0,1.0,False
Annotator 1,LOPE,LOPE,1,8,0.66965,0.676628,0.006978,0.6731389999999999,False
Annotator 1,LOPE,LOPE,1,12,0.933147,0.849297,-0.0838499999999999,0.891222,False
Annotator 1,LOPE,LOPE,1,24,1.0,1.0,0.0,1.0,False
Annotator 1,LOPE,LOPE,2,8,0.655505,0.659589,0.0040839999999999,0.657547,False
Annotator 1,LOPE,LOPE,2,12,0.876979,0.881193,0.004214,0.879086,False
Annotator 1,LOPE,LOPE,2,24,1.0,1.0,0.0,1.0,False
Annotator 1,LOPE,LOPE,3,8,0.669085,0.593221,-0.075864,0.6311530000000001,False
Annotator 1,LOPE,LOPE,3,12,0.810049,0.789741,-0.0203079999999999,0.799895,False
Annotator 1,LOPE,LOPE,3,24,1.0,1.0,0.0,1.0,False
Annotator 1,LOPE,LOPE,5,8,0.48791,0.535942,0.048032,0.511926,False
Annotator 1,LOPE,LOPE,5,12,0.630267,0.646938,0.0166709999999999,0.6386025,False
Annotator 1,LOPE,LOPE,5,24,1.0,1.0,0.0,1.0,False
Annotator 1,LOPE,LOPE,6,8,0.503786,0.512238,0.008452,0.5080119999999999,False
Annotator 1,LOPE,LOPE,6,12,0.693609,0.678357,-0.015252,0.685983,False
Annotator 1,LOPE,LOPE,6,24,1.0,1.0,0.0,1.0,False
Annotator 1,LOPE,LOPE,7,8,0.451725,0.485707,0.033982,0.468716,False
Annotator 1,LOPE,LOPE,7,12,0.571658,0.593403,0.021745,0.5825305000000001,False
Annotator 1,LOPE,LOPE,7,24,1.0,1.0,0.0,1.0,False
Annotator 1,LOPE,LOPE,8,8,0.421899,0.479258,0.0573589999999999,0.4505785,False
Annotator 1,LOPE,LOPE,8,12,0.610472,0.625132,0.01466,0.617802,False
