ordem,pasta_triagem,adjudicado_depois_como,cell_line,analysis_unit,timepoint_h,campo,area_pct_whst,arquivo_overlay,whst_input_file,motivo,pasta_correta?,categoria_sugerida,confianca
1,_IMG_INVALIDA,,HUVEC,LUIS RAW||PEP+GB||A3,0,1,0.076,HUVEC__LUIS_RAW_PEP_GB_A3__tp00h__1__A3_0H_1__9487facce2.jpg,9487facce2__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_1.tiff,,,,
2,_IMG_INVALIDA,,HUVEC,LUIS RAW||PEP+MCC||B4,12,1,2.11,HUVEC__LUIS_RAW_PEP_MCC_B4__tp12h__1__B4_12H_1__46211a334d.jpg,46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.tiff,,,,
3,_IMG_INVALIDA,,HUVEC,LUIS RAW||PEP||E1,12,1,0.041,HUVEC__LUIS_RAW_PEP_E1__tp12h__1__E1_12H_1__def3a0ea0f.jpg,def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,,,,
4,_IMG_INVALIDA,,HUVEC,LUIS RAW||PET||C5,12,2,9.889,HUVEC__LUIS_RAW_PET_C5__tp12h__2__C5_12H_2__c5c9c83ff5.jpg,c5c9c83ff5__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_2.tiff,,,,
5,_IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,12,2,10.296,HUVEC__Migra_o_PET_e_PEP_n2_RAW_PEP_NEB_1uM_B1__tp12h__2__B1_12H_2_2__f16a067d42.jpg,f16a067d42__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp12h__B1_12H_2_2.tiff,,,,
6,_IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,24,1,0.254,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp24h__1__D1_24H_1_3__2416a46324.jpg,2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.tiff,,,,
7,_IMG_INVALIDA,,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,24,2,9.127,HUVEC__Migra_o_PET_e_PEP_n3_RAW_None_D1__tp24h__2__D1_24H_2_3__4e5949b4ff.jpg,4e5949b4ff__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_2_3.tiff,,,,
8,_IMG_INVALIDA,,HUVEC,Originais (1)||None||D1,24,2,7.515,HUVEC__Originais_1_None_D1__tp24h__2__D1_24HR_2_2__4c0807427d.jpg,4c0807427d__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_2_2.tiff,,,,
9,_IMG_INVALIDA,,HUVEC,originais||None||A5,24,2,9.272,HUVEC__originais_None_A5__tp24h__2__A5_24HR_2__9c1610d4f3.jpg,9c1610d4f3__HUVEC__originais_None_A5__tp24h__A5_24HR_2.tiff,,,,
10,_IMG_INVALIDA,,SKOV-3,P1|GEO+PTX|F1,0,F1,63.197,SKOV-3__P1_GEO_PTX_F1__tp00h__F1__75ug_ptx1_1__eb2094e9e9.jpg,eb2094e9e9__BASELINE__SKOV-3__P1_GEO+PTX_F1__tp0h__75ug+ptx1_1.tiff,,,,
