arquivo_b,stem_normalizado,linha_celular,timepoint_h,arquivo_a,pasta_a,group_key,lote,well,tratamento,estrato,excluida,resolucao,split_key,partition
scale_png.rf.67BkO6CAUlcTHtOu390R.png,scale,,,,,,,,,,1,scale,,EXCLUIDA
Snap-59_scale_png.rf.gdUxLFTshj7bf5TmYn0U.png,snap-59,,,,,,,,,,1,scale,,EXCLUIDA
A2 8h 2_png.rf.3ZQSDMzMCCEjeEEpMLRI.png,a2 8h 2,HUVEC,8,A2 8h 2.tiff,HUVEC/8h,Controle+Saudavel||None||A2,Controle+Saudavel,A2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A2,train
A2 8H 2_png.rf.IpJ4MtWtbGzE5G2qM41m.png,a2 8h 2,HUVEC,8,A2 8H 2 (4).tiff,HUVEC/8h,Migração (PET e PEP) n3 - RAW||None||A2,Migração (PET e PEP) n3 - RAW,A2,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||A2,train
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,a2 8h 2,HUVEC,8,A2 8H 2 (3).tiff,HUVEC/8h,Migração (PET e PEP) n2 - RAW||PEP||A2,Migração (PET e PEP) n2 - RAW,A2,PEP,HUVEC|PEP,,ok_hash,Migração (PET e PEP) n2 - RAW||PEP||A2,train
A2 8H 2_png.rf.kZ7SBz8DB3BAcafMWMxz.png,a2 8h 2,HUVEC,8,A2 8H 2 (2).tiff,HUVEC/8h,LUIS RAW||PEP+MET3||A2,LUIS RAW,A2,PEP+MET3,HUVEC|PEP+MET3,,ok_hash,LUIS RAW||PEP+MET3||A2,val
B2 12hr 1_png.rf.5gyL9evissmrGzsSLEAN.png,b2 12hr 1,HUVEC,12,B2 12hr 1.tiff,HUVEC/12h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
B2 12HR 1_png.rf.FwucefXu7N8eJexkEaUa.png,b2 12hr 1,HUVEC,12,B2 12HR 1 (2).tiff,HUVEC/12h,Originais (1)||None||B2,Originais (1),B2,None,HUVEC|None,,ok_hash,SHARED__B2,test
B2 12hr 1_png.rf.UxcbtO0l2izDJyfYDkL3.png,b2 12hr 1,HUVEC,12,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B2 12HR 1_png.rf.w4CHV1tZNpptkrhPRYlw.png,b2 12hr 1,HUVEC,12,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B2 8hr 2_png.rf.IC0TVwKjwn6ZT1tg5Ayc.png,b2 8hr 2,HUVEC,8,B2 8hr 2.tiff,HUVEC/8h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
B2 8HR 2_png.rf.d5SKUoUKuKOaQUQwpC9U.png,b2 8hr 2,HUVEC,8,B2 8HR 2 (2).tiff,HUVEC/8h,Originais (1)||None||B2,Originais (1),B2,None,HUVEC|None,,ok_hash,SHARED__B2,test
B2 8hr 2_png.rf.cVpeDQhlWEBD1zht7jp9.png,b2 8hr 2,HUVEC,8,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
B2 8HR 2_png.rf.CDPLfmkL04TkJQcPXF00.png,b2 8hr 2,HUVEC,8,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B2,train
A4 12hr 2_png.rf.BAu6tJBDY6cRZV3MNUCm.png,a4 12hr 2,HUVEC,12,A4 12hr 2.tiff,HUVEC/12h,Controle+Saudavel||None||A4,Controle+Saudavel,A4,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A4,train
A4 12HR 2_png.rf.rpQDqLFh0SaadBHHtKo3.png,a4 12hr 2,HUVEC,12,,,Controle+Saudavel||None||A4,Controle+Saudavel,A4,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||A4,train
A4 12HR 2_png.rf.fXF7CNUNvvrtslE85Hem.png,a4 12hr 2,HUVEC,12,A4 12HR 2 (2).tiff,HUVEC/12h,Originais (1)||None||A4,Originais (1),A4,None,HUVEC|None,,ok_hash,SHARED__A4,train
B3 8HR 1_png.rf.1lxskQttQuNZ6jmrtim1.png,b3 8hr 1,HUVEC,8,B3 8HR 1 (2).tiff,HUVEC/8h,Originais (1)||None||B3,Originais (1),B3,None,HUVEC|None,,ok_hash,SHARED__B3,train
B3 8hr_1_png.rf.MRR11Hqlfmu6ZYq3vSSJ.png,b3 8hr 1,HUVEC,8,B3 8hr_1.tiff,HUVEC/8h,Controle+Saudavel||None||B3,Controle+Saudavel,B3,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B3,train
B3 8hr_1_png.rf.txxSmsq228gvXlUcivy5.png,b3 8hr 1,HUVEC,8,B3 8hr 1.tiff,HUVEC/8h,Controle+Saudavel||None||B3,Controle+Saudavel,B3,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B3,train
B3 8HR 1_png.rf.6Vj56bqRTpLweyb6RKuh.png,b3 8hr 1,HUVEC,8,,,Controle+Saudavel||None||B3,Controle+Saudavel,B3,None,HUVEC|None,,ambigua_resolvida_por_fusao,Controle+Saudavel||None||B3,train
A2 12hr 2_png.rf.LZSQW45nx6ui5c5DjElv.png,a2 12hr 2,HUVEC,12,A2 12hr 2.tiff,HUVEC/12h,Controle+Saudavel||None||A2,Controle+Saudavel,A2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A2,train
A2 12HR 2_png.rf.tXrld1QaxXbx1JWZQy7N.png,a2 12hr 2,HUVEC,12,A2 12hr 2.tiff,HUVEC/A2.TIFF,Controle+Saudavel||None||A2,Controle+Saudavel,A2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A2,train
A2 12HR 2_png.rf.3dhTnd2ZF1zKT3cvy2au.png,a2 12hr 2,HUVEC,12,A2 12HR 2 (2).tiff,HUVEC/12h,Originais (1)||None||A2,Originais (1),A2,None,HUVEC|None,,ok_hash,SHARED__A2,val
B5 0hr 2_png.rf.If2IuTwPnX9XldLzwVK8.png,b5 0hr 2,HUVEC,0,,,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,B5,None,HUVEC|None,,ok_nome_norm,Pré-Eclâmpsia||None||B5,test
B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,b5 0hr 2,HUVEC,0,B5 0HR 2 (2).tiff,HUVEC/0h,Originais (1)||None||B5,Originais (1),B5,None,HUVEC|None,,ok_hash,SHARED__B5,train
B5 0hr 2_png.rf.Mbtwmh8BRXDfa2NX4XQj.png,b5 0hr 2,HUVEC,0,B5 0hr 2.tiff,HUVEC/0h,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,B5,None,HUVEC|None,,ok_hash,Pré-Eclâmpsia||None||B5,test
B5 0HR 2_png.rf.9vT6ovCVyNe6dvR4soOv.png,b5 0hr 2,HUVEC,0,,,Pré-Eclâmpsia||None||B5,Pré-Eclâmpsia,B5,None,HUVEC|None,,ok_nome_norm,Pré-Eclâmpsia||None||B5,test
A2 12hr_1_png.rf.6rEheJw5tSaKOU3wPVHa.png,a2 12hr 1,HUVEC,12,A2 12hr_1.tiff,HUVEC/12h,Controle+Saudavel||None||A2,Controle+Saudavel,A2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A2,train
A2 12hr 1_png.rf.YNt3kQagLoSoQV5wSNXl.png,a2 12hr 1,HUVEC,12,A2 12hr 1.tiff,HUVEC/12h,Controle+Saudavel||None||A2,Controle+Saudavel,A2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A2,train
A2 12HR 1_png.rf.zOnjlCgAe6Ku1WITrzJE.png,a2 12hr 1,HUVEC,12,A2 12HR 1 (2).tiff,HUVEC/12h,Originais (1)||None||A2,Originais (1),A2,None,HUVEC|None,,ok_hash,SHARED__A2,val
A2 12HR 1_png.rf.oEQlyOq4mvi3JdVRjcDN.png,a2 12hr 1,HUVEC,12,,,Controle+Saudavel||None||A2,Controle+Saudavel,A2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||A2,train
D2 8HR 2_png.rf.C3Vh2MekC1rLcH3tPoI6.png,d2 8hr 2,HUVEC,8,D2 8HR 2 (2).tiff,HUVEC/8h,Originais (1)||None||D2,Originais (1),D2,None,HUVEC|None,,ok_hash,SHARED__D2,train
D2 8HR 2_png.rf.YcyTJYm2GVlCsfaBYmGr.png,d2 8hr 2,HUVEC,8,D2 8HR 2.tiff,HUVEC/8h,originais||None||D2,originais,D2,None,HUVEC|None,,ok_hash,SHARED__D2,train
B4 8HR 2_png.rf.8ZXNesln0KJyFcN0jnmJ.png,b4 8hr 2,HUVEC,8,B4 8HR 2 (2).tiff,HUVEC/8h,Originais (1)||None||B4,Originais (1),B4,None,HUVEC|None,,ok_hash,SHARED__B4,train
B4 8HR 2_png.rf.1obyWX2VOZmLG9pLiKQR.png,b4 8hr 2,HUVEC,8,B4 8HR 2.tiff,HUVEC/8h,originais||None||B4,originais,B4,None,HUVEC|None,,ok_hash,SHARED__B4,train
A4 8h 1_png.rf.wzNbwvhm0kl6bKa5E0vn.png,a4 8h 1,HUVEC,8,A4 8h 1.tiff,HUVEC/8h,Controle+Saudavel||None||A4,Controle+Saudavel,A4,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A4,train
A4 8H 1_png.rf.xYdpZhVubRh3iT6eQ8kR.png,a4 8h 1,HUVEC,8,A4 8H 1 (2).tiff,HUVEC/8h,LUIS RAW||PEP+MCC||A4,LUIS RAW,A4,PEP+MCC,HUVEC|PEP+MCC,,ok_hash,LUIS RAW||PEP+MCC||A4,val
A2 8hr 1_png.rf.4aLjXPuqHOVMkWPtoetx.png,a2 8hr 1,HUVEC,8,A2 8hr 1.tiff,HUVEC/8h,Controle+Saudavel||None||A2,Controle+Saudavel,A2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A2,train
A2 8HR 1_png.rf.xwxfhZzqnfwRhWbm5XTm.png,a2 8hr 1,HUVEC,8,A2 8HR 1 (2).tiff,HUVEC/8h,Originais (1)||None||A2,Originais (1),A2,None,HUVEC|None,,ok_hash,SHARED__A2,val
A2 8HR 1_png.rf.sm0Tu7r9j7BYepnmxxKe.png,a2 8hr 1,HUVEC,8,,,Controle+Saudavel||None||A2,Controle+Saudavel,A2,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||A2,train
B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,b1 8hr 1,HUVEC,8,B1 8hr 1.tiff,HUVEC/8h,Controle+Saudavel||None||B1,Controle+Saudavel,B1,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B1,test
B1 8HR 1_png.rf.9FGwh76Bow1u3ZnPlz20.png,b1 8hr 1,HUVEC,8,B1 8HR 1 (2).tiff,HUVEC/8h,Originais (1)||None||B1,Originais (1),B1,None,HUVEC|None,,ok_hash,SHARED__B1,train
B1 8hr 1_png.rf.pwZlWzk9sZA3CwldABe9.png,b1 8hr 1,HUVEC,8,,,Controle+Saudavel||None||B1,Controle+Saudavel,B1,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B1,test
B1 8HR 1_png.rf.AMXvM5M5gyDuLKC5DTa9.png,b1 8hr 1,HUVEC,8,,,Controle+Saudavel||None||B1,Controle+Saudavel,B1,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B1,test
A3 8h 2_png.rf.yUJVyfA3TgvQSnAssZvg.png,a3 8h 2,HUVEC,8,A3 8h 2.tiff,HUVEC/8h,Controle+Saudavel||None||A3,Controle+Saudavel,A3,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||A3,train
A3 8H 2_png.rf.Jd8eqN8fihgALwNrv3MY.png,a3 8h 2,HUVEC,8,A3 8H 2 (4).tiff,HUVEC/8h,Migração (PET e PEP) n3 - RAW||None||A3,Migração (PET e PEP) n3 - RAW,A3,None,HUVEC|None,,ok_hash,Migração (PET e PEP) n3 - RAW||None||A3,train
A3 8H 2_png.rf.CmBhS871NJCTamYiDSzR.png,a3 8h 2,HUVEC,8,A3 8H 2 (3).tiff,HUVEC/8h,Migração (PET e PEP) n2 - RAW||PEP||A3,Migração (PET e PEP) n2 - RAW,A3,PEP,HUVEC|PEP,,ok_hash,Migração (PET e PEP) n2 - RAW||PEP||A3,train
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,a3 8h 2,HUVEC,8,A3 8H 2 (2).tiff,HUVEC/8h,LUIS RAW||PEP+GB||A3,LUIS RAW,A3,PEP+GB,HUVEC|PEP+GB,,ok_hash,LUIS RAW||PEP+GB||A3,val
Snap-48_5_png.rf.cqWnY0bh8WHNUbPpOr1X.png,snap-48,SKOV,48,Snap-48.tiff,SKOV/48h,P2|CARBO+GEO|F2,P2,F2,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F2,val
Snap-48_png.rf.gFj32XMP1AE8ivadgFZ2.png,snap-48,SKOV,0,Snap-48.tiff,SKOV/0h,P2|CARBO+GEO|F2,P2,F2,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F2,val
Snap-48_263_png.rf.m3ZXyMmPHbQPpj19hAhv.png,snap-48,SKOV,72,Snap-48.tiff,SKOV/72h,P1|GEO+PTX|F13,P1,F13,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F13,train
Snap-48_110_png.rf.6W4SsaL8UNRSLJ5llLr8.png,snap-48,SKOV,24,Snap-48.tiff,SKOV/24h,P2|CARBO+GEO|F2,P2,F2,CARBO+GEO,P2|CARBO+GEO,,ok_hash,P2|CARBO+GEO|F2,val
Snap-48_214_png.rf.W39NuOZewyYyiyIabBmm.png,snap-48,SKOV,24,Snap-48 (2).tiff,SKOV/24h,P1|GEO+PTX|F2,P1,F2,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F2,val
Snap-48_154_png.rf.V7qG7LsfdmdR0HUAFpGy.png,snap-48,SKOV,48,Snap-48 (2).tiff,SKOV/48h,P1|GEO+PTX|F2,P1,F2,GEO+PTX,P1|GEO+PTX,,ok_hash,P1|GEO+PTX|F2,val
D2 24HR 1_png.rf.0Jc5AqWrC0xlQHOOQxyb.png,d2 24hr 1,HUVEC,24,D2 24HR 1 (2).tiff,HUVEC/24h,Originais (1)||None||D2,Originais (1),D2,None,HUVEC|None,,ok_hash,SHARED__D2,train
D2 24HR 1_png.rf.kDCpBVsZKPoWXu9h8Ot1.png,d2 24hr 1,HUVEC,24,D2 24HR 1.tiff,HUVEC/24h,originais||None||D2,originais,D2,None,HUVEC|None,,ok_hash,SHARED__D2,train
B2 8hr 1_png.rf.OXjyxpLiDUhYtlxAYXfv.png,b2 8hr 1,HUVEC,8,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ambigua_resolvida_por_fusao,Controle+Saudavel||None||B2,train
B2 8hr 1_png.rf.vGxP5rZkLK5MWiN0XW6M.png,b2 8hr 1,HUVEC,8,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ambigua_resolvida_por_fusao,Controle+Saudavel||None||B2,train
B2 8HR 1_png.rf.lg2ZKkivuwGiadmG9MEX.png,b2 8hr 1,HUVEC,8,B2 8HR 1 (2).tiff,HUVEC/8h,Originais (1)||None||B2,Originais (1),B2,None,HUVEC|None,,ok_hash,SHARED__B2,test
B2 8hr_1_png.rf.gJVngl5zbziuDPotvty9.png,b2 8hr 1,HUVEC,8,B2 8hr_1.tiff,HUVEC/8h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
B2 8hr 1_png.rf.wqLelQqFzkxSN8knUxYi.png,b2 8hr 1,HUVEC,8,B2 8hr 1 (1).tiff,HUVEC/8h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
B2 8hr 1_png.rf.9Dk92mCSquMPc3aIhMLS.png,b2 8hr 1,HUVEC,8,,,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ambigua_resolvida_por_fusao,Controle+Saudavel||None||B2,train
B2 8HR 1_png.rf.yDRw8b992nssA36AG9VH.png,b2 8hr 1,HUVEC,8,B2 8hr 1.tiff,HUVEC/8h,Controle+Saudavel||None||B2,Controle+Saudavel,B2,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B2,train
C6 8HR 1_png.rf.LzXYa6hwLhDPIyF9Vnhm.png,c6 8hr 1,HUVEC,8,C6 8HR 1.tiff,HUVEC/8h,Originais (1)||None||C6,Originais (1),C6,None,HUVEC|None,,ok_hash,Originais (1)||None||C6,val
B1_8hr 2_png.rf.XKx5gS3ghJ7c4u8nIxAL.png,b1 8hr 2,HUVEC,8,B1_8hr 2.tiff,HUVEC/8h,Controle+Saudavel||None||B1,Controle+Saudavel,B1,None,HUVEC|None,,ok_hash,Controle+Saudavel||None||B1,test
B1 8hr 2_png.rf.L73Y3X4Dx7HELGkPVNlg.png,b1 8hr 2,HUVEC,8,,,Controle+Saudavel||None||B1,Controle+Saudavel,B1,None,HUVEC|None,,ok_nome_norm,Controle+Saudavel||None||B1,test
B1 8HR 2_png.rf.QL7rySDMj4R5jb45K8vq.png,b1 8hr 2,HUVEC,8,B1 8HR 2 (2).tiff,HUVEC/8h,Originais (1)||None||B1,Originais (1),B1,None,HUVEC|None,,ok_hash,SHARED__B1,train
