arquivo_b,stem_normalizado,arquivo_a,pasta_a,linha_celular,well_campo,timepoint_h,similaridade,margem_2o_melhor,status,experimento,tratamento,creation_dt,lote,trat_huvec,ctx_ambiguo
scale_png.rf.67BkO6CAUlcTHtOu390R.png,scale,,,,,,,,descartado_scale,,,,,,
Snap-59_scale_png.rf.gdUxLFTshj7bf5TmYn0U.png,snap-59,,,,,,,,descartado_scale,,,,,,
A2 8h 2_png.rf.3ZQSDMzMCCEjeEEpMLRI.png,a2 8h 2,A2 8h 2.tiff,HUVEC/8h,HUVEC,A2,8,0.9634,0.0,ambiguo,,,,Controle,,
A2 8H 2_png.rf.IpJ4MtWtbGzE5G2qM41m.png,a2 8h 2,A2 8H 2 (4).tiff,HUVEC/8h,HUVEC,A2,8,1.0,0.4659,ok,,,,Migração (PET e PEP) n3 - RAW,,
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,a2 8h 2,A2 8H 2 (3).tiff,HUVEC/8h,HUVEC,A2,8,1.0,0.2211,ok,,,,Migração (PET e PEP) n2 - RAW,PEP,
A2 8H 2_png.rf.kZ7SBz8DB3BAcafMWMxz.png,a2 8h 2,A2 8H 2 (2).tiff,HUVEC/8h,HUVEC,A2,8,1.0,1.152,ok,,,,LUIS RAW,PEP+MET3,
B2 12hr 1_png.rf.5gyL9evissmrGzsSLEAN.png,b2 12hr 1,B2 12hr 1.tiff,HUVEC/12h,HUVEC,B2,12,0.4175,0.2991,ambiguo,,,,Controle,,
B2 12HR 1_png.rf.FwucefXu7N8eJexkEaUa.png,b2 12hr 1,B2 12HR 1 (2).tiff,HUVEC/12h,HUVEC,B2,12,1.0,0.86,ok,,,,Originais (1),,
B2 12hr 1_png.rf.UxcbtO0l2izDJyfYDkL3.png,b2 12hr 1,,,HUVEC,B2,12,,,sem_candidato,,,,,,
B2 12HR 1_png.rf.w4CHV1tZNpptkrhPRYlw.png,b2 12hr 1,,,HUVEC,B2,12,,,sem_candidato,,,,,,
B2 8hr 2_png.rf.IC0TVwKjwn6ZT1tg5Ayc.png,b2 8hr 2,B2 8hr 2.tiff,HUVEC/8h,HUVEC,B2,8,0.9678,0.06,ok,,,,Controle,,
B2 8HR 2_png.rf.d5SKUoUKuKOaQUQwpC9U.png,b2 8hr 2,B2 8HR 2 (2).tiff,HUVEC/8h,HUVEC,B2,8,1.0,0.0873,ok,,,,Originais (1),,
B2 8hr 2_png.rf.cVpeDQhlWEBD1zht7jp9.png,b2 8hr 2,,,HUVEC,B2,8,,,sem_candidato,,,,,,
B2 8HR 2_png.rf.CDPLfmkL04TkJQcPXF00.png,b2 8hr 2,,,HUVEC,B2,8,,,sem_candidato,,,,,,
A4 12hr 2_png.rf.BAu6tJBDY6cRZV3MNUCm.png,a4 12hr 2,A4 12hr 2.tiff,HUVEC/12h,HUVEC,A4,12,0.9562,0.1863,ok,,,,Controle,,
A4 12HR 2_png.rf.rpQDqLFh0SaadBHHtKo3.png,a4 12hr 2,,,HUVEC,A4,12,,,sem_candidato,,,,,,
A4 12HR 2_png.rf.fXF7CNUNvvrtslE85Hem.png,a4 12hr 2,A4 12HR 2 (2).tiff,HUVEC/12h,HUVEC,A4,12,1.0,0.2325,ok,,,,Originais (1),,
B3 8HR 1_png.rf.1lxskQttQuNZ6jmrtim1.png,b3 8hr 1,B3 8HR 1 (2).tiff,HUVEC/8h,HUVEC,B3,8,1.0,0.4065,ok,,,,Originais (1),,
B3 8hr_1_png.rf.MRR11Hqlfmu6ZYq3vSSJ.png,b3 8hr 1,B3 8hr_1.tiff,HUVEC/8h,HUVEC,B3,8,0.5421,0.3725,ambiguo,,,,Controle,,
B3 8hr_1_png.rf.txxSmsq228gvXlUcivy5.png,b3 8hr 1,B3 8hr 1.tiff,HUVEC/8h,HUVEC,B3,8,0.9393,0.3205,ok,,,,Saudável,,
B3 8HR 1_png.rf.6Vj56bqRTpLweyb6RKuh.png,b3 8hr 1,,,HUVEC,B3,8,,,sem_candidato,,,,,,
A2 12hr 2_png.rf.LZSQW45nx6ui5c5DjElv.png,a2 12hr 2,A2 12hr 2.tiff,HUVEC/12h,HUVEC,A2,12,0.9509,0.0,ambiguo,,,,Controle,,
A2 12HR 2_png.rf.tXrld1QaxXbx1JWZQy7N.png,a2 12hr 2,A2 12hr 2.tiff,HUVEC/A2.TIFF,HUVEC,A2,12,0.6227,-0.02,ambiguo,,,,Controle,,
A2 12HR 2_png.rf.3dhTnd2ZF1zKT3cvy2au.png,a2 12hr 2,A2 12HR 2 (2).tiff,HUVEC/12h,HUVEC,A2,12,1.0,0.4973,ok,,,,Originais (1),,
B5 0hr 2_png.rf.If2IuTwPnX9XldLzwVK8.png,b5 0hr 2,,,HUVEC,B5,0,,,sem_candidato,,,,,,
B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,b5 0hr 2,B5 0HR 2 (2).tiff,HUVEC/0h,HUVEC,B5,0,1.0,0.2849,ok,,,,Originais (1),,
B5 0hr 2_png.rf.Mbtwmh8BRXDfa2NX4XQj.png,b5 0hr 2,B5 0hr 2.tiff,HUVEC/0h,HUVEC,B5,0,0.9608,0.2236,ok,,,,Pré-Eclâmpsia,,
B5 0HR 2_png.rf.9vT6ovCVyNe6dvR4soOv.png,b5 0hr 2,,,HUVEC,B5,0,,,sem_candidato,,,,,,
A2 12hr_1_png.rf.6rEheJw5tSaKOU3wPVHa.png,a2 12hr 1,A2 12hr_1.tiff,HUVEC/12h,HUVEC,A2,12,0.2705,0.2691,ambiguo,,,,Controle,,
A2 12hr 1_png.rf.YNt3kQagLoSoQV5wSNXl.png,a2 12hr 1,A2 12hr 1.tiff,HUVEC/12h,HUVEC,A2,12,0.9616,0.1439,ok,,,,Controle,,
A2 12HR 1_png.rf.zOnjlCgAe6Ku1WITrzJE.png,a2 12hr 1,A2 12HR 1 (2).tiff,HUVEC/12h,HUVEC,A2,12,1.0,0.1978,ok,,,,Originais (1),,
A2 12HR 1_png.rf.oEQlyOq4mvi3JdVRjcDN.png,a2 12hr 1,,,HUVEC,A2,12,,,sem_candidato,,,,,,
D2 8HR 2_png.rf.C3Vh2MekC1rLcH3tPoI6.png,d2 8hr 2,D2 8HR 2 (2).tiff,HUVEC/8h,HUVEC,D2,8,1.0,0.3634,ok,,,,Originais (1),,
D2 8HR 2_png.rf.YcyTJYm2GVlCsfaBYmGr.png,d2 8hr 2,D2 8HR 2.tiff,HUVEC/8h,HUVEC,D2,8,1.0,0.3634,ok,,,,originais,,
B4 8HR 2_png.rf.8ZXNesln0KJyFcN0jnmJ.png,b4 8hr 2,B4 8HR 2 (2).tiff,HUVEC/8h,HUVEC,B4,8,1.0,0.186,ok,,,,Originais (1),,
B4 8HR 2_png.rf.1obyWX2VOZmLG9pLiKQR.png,b4 8hr 2,B4 8HR 2.tiff,HUVEC/8h,HUVEC,B4,8,1.0,0.186,ok,,,,originais,,
A4 8h 1_png.rf.wzNbwvhm0kl6bKa5E0vn.png,a4 8h 1,A4 8h 1.tiff,HUVEC/8h,HUVEC,A4,8,0.9664,0.9973,ok,,,,Controle,,
A4 8H 1_png.rf.xYdpZhVubRh3iT6eQ8kR.png,a4 8h 1,A4 8H 1 (2).tiff,HUVEC/8h,HUVEC,A4,8,1.0,0.9812,ok,,,,LUIS RAW,PEP+MCC,
A2 8hr 1_png.rf.4aLjXPuqHOVMkWPtoetx.png,a2 8hr 1,A2 8hr 1.tiff,HUVEC/8h,HUVEC,A2,8,0.4865,0.041,ambiguo,,,,Controle,,
A2 8HR 1_png.rf.xwxfhZzqnfwRhWbm5XTm.png,a2 8hr 1,A2 8HR 1 (2).tiff,HUVEC/8h,HUVEC,A2,8,1.0,0.5226,ok,,,,Originais (1),,
A2 8HR 1_png.rf.sm0Tu7r9j7BYepnmxxKe.png,a2 8hr 1,,,HUVEC,A2,8,,,sem_candidato,,,,,,
B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,b1 8hr 1,B1 8hr 1.tiff,HUVEC/8h,HUVEC,B1,8,0.9712,0.0781,ok,,,,Controle,,
B1 8HR 1_png.rf.9FGwh76Bow1u3ZnPlz20.png,b1 8hr 1,B1 8HR 1 (2).tiff,HUVEC/8h,HUVEC,B1,8,1.0,0.1074,ok,,,,Originais (1),,
B1 8hr 1_png.rf.pwZlWzk9sZA3CwldABe9.png,b1 8hr 1,,,HUVEC,B1,8,,,sem_candidato,,,,,,
B1 8HR 1_png.rf.AMXvM5M5gyDuLKC5DTa9.png,b1 8hr 1,,,HUVEC,B1,8,,,sem_candidato,,,,,,
A3 8h 2_png.rf.yUJVyfA3TgvQSnAssZvg.png,a3 8h 2,A3 8h 2.tiff,HUVEC/8h,HUVEC,A3,8,0.9583,0.3929,ok,,,,Controle,,
A3 8H 2_png.rf.Jd8eqN8fihgALwNrv3MY.png,a3 8h 2,A3 8H 2 (4).tiff,HUVEC/8h,HUVEC,A3,8,1.0,0.6114,ok,,,,Migração (PET e PEP) n3 - RAW,,
A3 8H 2_png.rf.CmBhS871NJCTamYiDSzR.png,a3 8h 2,A3 8H 2 (3).tiff,HUVEC/8h,HUVEC,A3,8,1.0,0.419,ok,,,,Migração (PET e PEP) n2 - RAW,PEP,
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,a3 8h 2,A3 8H 2 (2).tiff,HUVEC/8h,HUVEC,A3,8,1.0,0.4191,ok,,,,LUIS RAW,PEP+GB,
Snap-48_5_png.rf.cqWnY0bh8WHNUbPpOr1X.png,snap-48,Snap-48.tiff,SKOV/48h,SKOV,snap-48,48,0.9995,0.1881,ok,P2,CARBO+GEO,,,,
Snap-48_png.rf.gFj32XMP1AE8ivadgFZ2.png,snap-48,Snap-48.tiff,SKOV/0h,SKOV,snap-48,0,0.9998,0.1891,ok,P2,CARBO+GEO,,,,
Snap-48_263_png.rf.m3ZXyMmPHbQPpj19hAhv.png,snap-48,Snap-48.tiff,SKOV/72h,SKOV,snap-48,72,0.9996,0.264,ok,P1,GEO+PTX,,,,
Snap-48_110_png.rf.6W4SsaL8UNRSLJ5llLr8.png,snap-48,Snap-48.tiff,SKOV/24h,SKOV,snap-48,24,0.9995,0.2,ok,P2,CARBO+GEO,,,,
Snap-48_214_png.rf.W39NuOZewyYyiyIabBmm.png,snap-48,Snap-48 (2).tiff,SKOV/24h,SKOV,snap-48,24,0.9996,0.19,ok,P1,GEO+PTX,,,,
Snap-48_154_png.rf.V7qG7LsfdmdR0HUAFpGy.png,snap-48,Snap-48 (2).tiff,SKOV/48h,SKOV,snap-48,48,0.9995,0.2167,ok,P1,GEO+PTX,,,,
D2 24HR 1_png.rf.0Jc5AqWrC0xlQHOOQxyb.png,d2 24hr 1,D2 24HR 1 (2).tiff,HUVEC/24h,HUVEC,D2,24,1.0,0.4297,ok,,,,Originais (1),,
D2 24HR 1_png.rf.kDCpBVsZKPoWXu9h8Ot1.png,d2 24hr 1,D2 24HR 1.tiff,HUVEC/24h,HUVEC,D2,24,1.0,0.4297,ok,,,,originais,,
B2 8hr 1_png.rf.OXjyxpLiDUhYtlxAYXfv.png,b2 8hr 1,,,HUVEC,B2,8,,,sem_candidato,,,,,,
B2 8hr 1_png.rf.vGxP5rZkLK5MWiN0XW6M.png,b2 8hr 1,,,HUVEC,B2,8,,,sem_candidato,,,,,,
B2 8HR 1_png.rf.lg2ZKkivuwGiadmG9MEX.png,b2 8hr 1,B2 8HR 1 (2).tiff,HUVEC/8h,HUVEC,B2,8,1.0,0.1818,ok,,,,Originais (1),,
B2 8hr_1_png.rf.gJVngl5zbziuDPotvty9.png,b2 8hr 1,B2 8hr_1.tiff,HUVEC/8h,HUVEC,B2,8,0.891,0.1187,ok,,,,Saudável,,
B2 8hr 1_png.rf.wqLelQqFzkxSN8knUxYi.png,b2 8hr 1,B2 8hr 1 (1).tiff,HUVEC/8h,HUVEC,B2,8,0.9707,0.1487,ok,,,,Controle,,
B2 8hr 1_png.rf.9Dk92mCSquMPc3aIhMLS.png,b2 8hr 1,,,HUVEC,B2,8,,,sem_candidato,,,,,,
B2 8HR 1_png.rf.yDRw8b992nssA36AG9VH.png,b2 8hr 1,B2 8hr 1.tiff,HUVEC/8h,HUVEC,B2,8,0.4921,-0.3499,ambiguo,,,,Controle,,
C6 8HR 1_png.rf.LzXYa6hwLhDPIyF9Vnhm.png,c6 8hr 1,C6 8HR 1.tiff,HUVEC/8h,HUVEC,C6,8,1.0,,ok,,,,Originais (1),,
B1_8hr 2_png.rf.XKx5gS3ghJ7c4u8nIxAL.png,b1 8hr 2,B1_8hr 2.tiff,HUVEC/8h,HUVEC,B1,8,0.9395,0.0,ambiguo,,,,Controle,,
B1 8hr 2_png.rf.L73Y3X4Dx7HELGkPVNlg.png,b1 8hr 2,,,HUVEC,B1,8,,,sem_candidato,,,,,,
B1 8HR 2_png.rf.QL7rySDMj4R5jb45K8vq.png,b1 8hr 2,B1 8HR 2 (2).tiff,HUVEC/8h,HUVEC,B1,8,1.0,0.2299,ok,,,,Originais (1),,
B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,b1 8hr 2,B1 8hr 2.tiff,HUVEC/8h,HUVEC,B1,8,0.4598,-0.0574,ambiguo,,,,Controle,,
Snap-58_209_png.rf.dbUw0s4aSvUw7mzdslRe.png,snap-58,Snap-58 (2).tiff,SKOV/24h,SKOV,snap-58,24,0.9997,0.1862,ok,P1,GEO+PTX,,,,
Snap-58_png.rf.5bdBujv1yq4UbPqw35L3.png,snap-58,Snap-58.tiff,SKOV/0h,SKOV,snap-58,0,0.9998,0.1931,ok,P2,CARBO+GEO,,,,
Snap-58_105_png.rf.S6dGBs8nCJirevpjONB2.png,snap-58,Snap-58.tiff,SKOV/24h,SKOV,snap-58,24,0.9953,0.1902,ok,P2,CARBO+GEO,,,,
Snap-58_149_png.rf.gGNFmJIkalAHR9rJANe3.png,snap-58,Snap-58 (2).tiff,SKOV/48h,SKOV,snap-58,48,0.9996,0.1873,ok,P1,GEO+PTX,,,,
Snap-58_0_png.rf.LwKLpPTz09rttth9yXyJ.png,snap-58,Snap-58.tiff,SKOV/48h,SKOV,snap-58,48,0.9994,0.2262,ok,P2,CARBO+GEO,,,,
B3 8HR 2_png.rf.0ng2hlYGkGmIuFw7pcZV.png,b3 8hr 2,B3 8HR 2 (2).tiff,HUVEC/8h,HUVEC,B3,8,1.0,0.1962,ok,,,,Originais (1),,
B3 8HR 2_png.rf.y0RoLUIBqx2jlBm8spIT.png,b3 8hr 2,B3 8HR 2.tiff,HUVEC/8h,HUVEC,B3,8,1.0,0.1962,ok,,,,originais,,
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,a1 24hr 1,A1 24HR 1 (2).tiff,HUVEC/24h,HUVEC,A1,24,1.0,0.7262,ok,,,,Originais (1),,
