file,cell,tp,part,res,n_ann,frac
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,HUVEC,24,test,nativo,0,0.0
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,HUVEC,24,test,nativo,0,0.0
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,HUVEC,24,test,nativo,0,0.0
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,HUVEC,24,test,640,0,0.0
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,HUVEC,24,test,nativo,0,0.0
Snap-09_21_png.rf.eX9WeCW8GgIO8pb44zNf.png,SKOV-3,48,test,nativo,0,0.0
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,HUVEC,24,test,640,0,0.0
E1 24H 1_png.rf.JjdLiNmCus3kSa50aOeW.png,HUVEC,24,test,nativo,0,0.0
Snap-08_141_png.rf.xxwXm4vgaTgEnxfrDBvk.png,SKOV-3,48,test,nativo,0,0.0
Snap-10_146_png.rf.J1zTbpCRqsOW6DtsIPzv.png,SKOV-3,48,test,nativo,0,0.0
B6 24h 1_png.rf.HqRokqEzDfBP5O3ZtezT.png,HUVEC,24,test,640,0,0.0
D4 24HR 1_png.rf.ZeWox4g9WSQYjCRdF5Hj.png,HUVEC,24,test,nativo,0,0.0
Snap-15_15_png.rf.oEkUKHxOZ7qcBLxMlF5e.png,SKOV-3,48,test,nativo,0,0.0
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,HUVEC,24,test,nativo,0,0.0
B6 24h 1_png.rf.Mqv4F4d5b4AUQiStkAzE.png,HUVEC,24,test,640,0,0.0
Snap-25_50_png.rf.CHeux2nrD5owQB0rBnrP.png,SKOV-3,48,test,nativo,0,0.0
D4 24H 2_png.rf.RklTkqfkG2jxmrJIVlDw.png,HUVEC,24,test,nativo,0,0.0
D4 12HR 1_png.rf.coQP5Rm68FoQiPA5lE4l.png,HUVEC,12,test,nativo,0,0.0
D1 24HR 1_png.rf.EHcrx6DNEOw8vqgtCyC2.png,HUVEC,24,test,nativo,0,0.0
B5 24HR _png.rf.g9PDGT1tjMWdiPw6OCJg.png,HUVEC,24,test,nativo,0,0.0
D1 24HR 2_png.rf.sKzjQXeeTmG65NxFRo5z.png,HUVEC,24,test,nativo,0,0.0
D4 24H 1_png.rf.4NmTRoRHXyugKUw10i8s.png,HUVEC,24,test,nativo,0,0.0
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,HUVEC,24,test,nativo,0,0.0
D4 24HR 2_png.rf.aSdWjnYDFFICPSVHPh41.png,HUVEC,24,test,nativo,0,0.0
B5 24HR 1_png.rf.TJTLDoAzR6YqhVVqJjBV.png,HUVEC,24,test,nativo,0,0.0
C5 24H 2_png.rf.1BqtMMJEWOuzOCOM43Zl.png,HUVEC,24,test,nativo,0,0.0
B4 24H 2_png.rf.Dy3NkPc0L9HXhRCtCbkW.png,HUVEC,24,test,nativo,0,0.0
C5 24H 1_png.rf.GRabFdMEvh7NdJQw7srC.png,HUVEC,24,test,nativo,0,0.0
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,HUVEC,24,test,nativo,0,0.0
Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png,SKOV-3,24,test,nativo,1,2.328
D1 24HR 1_png.rf.D7yfyoxo08GRgfqWxkKs.png,HUVEC,24,test,nativo,1,2.645
D4 12HR 2_png.rf.3mHz6QXfVp3bYuBorSyN.png,HUVEC,12,test,nativo,1,2.856
B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png,HUVEC,12,test,nativo,1,3.04
B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,HUVEC,24,test,nativo,2,3.19
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,HUVEC,12,test,nativo,2,3.492
Snap-37_175_png.rf.FF9MN09bmlSbN40cxQRu.png,SKOV-3,48,test,nativo,3,3.708
D1 24HR 2_png.rf.uoxKxnADebGlXimnPrEx.png,HUVEC,24,test,nativo,1,3.957
Snap-26_283_png.rf.YFDkIZNg1W2rRyv6xoZQ.png,SKOV-3,72,test,nativo,4,4.063
Snap-42_165_png.rf.3eAR7nfV8aWUfPbBc82Q.png,SKOV-3,48,test,nativo,3,4.072
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,HUVEC,24,test,nativo,1,4.263
B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png,HUVEC,8,test,nativo,1,4.476
B1 24HR 2_png.rf.Ls9u8THJDkrAcAUiOT0Q.png,HUVEC,24,test,nativo,1,4.498
Snap-31_281_png.rf.HrwVzS03qTHBX5RB7awf.png,SKOV-3,72,test,nativo,1,4.518
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,HUVEC,12,test,nativo,1,4.586
Snap-21_56_png.rf.ycoY7vPUknblypXrORx3.png,SKOV-3,48,test,nativo,3,4.592
D1 12HR 2_png.rf.E03XFlEmMbe4CLEeQ5L0.png,HUVEC,12,test,nativo,1,4.623
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,HUVEC,12,test,nativo,1,4.628
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,HUVEC,12,test,nativo,1,4.775
B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png,HUVEC,24,test,640,1,5.021
D4 8HR 1_png.rf.VEshHRtiysfYv1YrXVR9.png,HUVEC,8,test,nativo,1,5.04
D4 12H 1_png.rf.rmwAgsyRm1ZzZ55GuiPB.png,HUVEC,12,test,nativo,1,5.072
D1 12HR 1_png.rf.mtvtObh31Z25eXwo4BTB.png,HUVEC,12,test,nativo,1,5.313
B1 24HR 1_png.rf.ZOXgAwm7pCyA0PxFBFkk.png,HUVEC,24,test,nativo,2,5.392
Snap-09_66_png.rf.DXbLfCegxmVs4TDoenmh.png,SKOV-3,24,test,nativo,2,5.405
A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,HUVEC,24,test,nativo,2,5.408
D4 8HR 2_png.rf.1gESfR3nmJtUf5QdqE6H.png,HUVEC,8,test,nativo,1,5.495
A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,HUVEC,12,test,nativo,1,5.556
C5 12H 1_png.rf.eqPnAQCG5aI0rvfthMNV.png,HUVEC,12,test,nativo,1,5.565
E1 12H 2_png.rf.GKeGTBMimaglOZhGi5n6.png,HUVEC,12,test,nativo,1,5.695
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,HUVEC,12,test,nativo,1,5.853
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,HUVEC,8,test,nativo,1,6.112
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,HUVEC,8,test,nativo,1,6.157
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,HUVEC,24,test,640,1,6.286
D1 24H 1_png.rf.9St1pSdNBqUmYewNNUks.png,HUVEC,24,test,nativo,2,6.297
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,HUVEC,8,test,nativo,1,6.401
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,HUVEC,24,test,nativo,1,6.401
B5 12HR 1_png.rf.XqoVkA4DK3JbERfwmQPP.png,HUVEC,12,test,nativo,1,6.502
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,HUVEC,8,test,nativo,1,6.626
B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,HUVEC,24,test,nativo,1,6.778
B6 12HR 1_png.rf.gMy5B0cpXrZXzyMCZhuv.png,HUVEC,12,test,nativo,1,7.055
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,HUVEC,12,test,nativo,1,7.274
C5 12H 2_png.rf.yGOWuMwCESVagvk7Q4HY.png,HUVEC,12,test,nativo,1,7.345
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,HUVEC,8,test,nativo,2,7.403
B6 12HR 2_png.rf.BMDqWV1RTxKKoPMgnLal.png,HUVEC,12,test,nativo,1,7.696
Snap-20_104_png.rf.lu9wLu7mqVxquLAseXNa.png,SKOV-3,24,test,nativo,2,7.838
D1 8HR 1_png.rf.Pm37sn4g0olAl9FUCP58.png,HUVEC,8,test,nativo,1,7.86
D1 8HR 2_png.rf.We4y9DkVsrjwHtYEPH1S.png,HUVEC,8,test,nativo,1,7.876
D1 12HR 1_png.rf.Sa5pwYNBsukEYVE7qdCO.png,HUVEC,12,test,nativo,1,7.922
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,HUVEC,24,test,nativo,1,7.939
D1 24H 2_png.rf.JPXsJfPNRWwnAkf2OC68.png,HUVEC,24,test,nativo,1,8.063
B6 12hr 1_png.rf.wMEDLQnrMWwVbcfKlQek.png,HUVEC,12,test,640,1,8.105
Snap-18_122_png.rf.rEzRHI9DOsMmEv8NXGFz.png,SKOV-3,48,test,nativo,1,8.208
A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,HUVEC,24,test,nativo,2,8.331
B5 8HR 1_png.rf.Ym4RLm5f7bEAlTD8XV4Q.png,HUVEC,8,test,nativo,1,8.574
D4 12H 2_png.rf.txyJ67o8LXpC3sVtUoTH.png,HUVEC,12,test,nativo,2,8.718
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,HUVEC,8,test,nativo,1,8.741
B1 24H 1_png.rf.GJ99b6zJDkCcdldeprAL.png,HUVEC,24,test,nativo,1,8.777
B5 12HR 2_png.rf.EZH0RYIN3t8Q75rFyebV.png,HUVEC,12,test,nativo,1,8.807
E1 12H 1_png.rf.MXhOPdUnNbYD4WTRbftP.png,HUVEC,12,test,nativo,1,8.825
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,HUVEC,12,test,nativo,1,8.923
C5 12H 2_png.rf.oLP5pb7BztRNGjNEDlAS.png,HUVEC,12,test,nativo,1,9.146
C5 8H 1_png.rf.QRwHfTeZ3iXOWs30KZOS.png,HUVEC,8,test,nativo,1,9.167
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,HUVEC,12,test,nativo,1,9.234
D1 12HR 2_png.rf.c61b9Qj6PnDGEcivk5oi.png,HUVEC,12,test,nativo,1,9.236
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,HUVEC,24,test,640,1,9.368
B1 12HR 1_png.rf.iGQ0raXb1cPFjLpTE8Qs.png,HUVEC,12,test,nativo,1,9.513
