series_key,campo,timepoint_h,cell_line,braco,seed,referencia,ai,diferenca
Controle||None||B1||c1,1,12,HUVEC,YOLO M,42,0.266200,0.281479,0.015279
Controle||None||B1||c1,1,8,HUVEC,YOLO M,42,0.206700,0.230046,0.023346
LUIS RAW||PEP+GB||A3||c2,2,12,HUVEC,YOLO M,42,0.823500,0.793568,-0.029932
LUIS RAW||PEP+GB||A3||c2,2,24,HUVEC,YOLO M,42,1.000000,1.000000,0.000000
LUIS RAW||PEP+GB||A3||c2,2,8,HUVEC,YOLO M,42,0.427300,0.476143,0.048843
LUIS RAW||PEP+MET3||A6||c1,1,12,HUVEC,YOLO M,42,0.462400,0.308038,-0.154362
LUIS RAW||PEP+MET3||A6||c1,1,24,HUVEC,YOLO M,42,0.684400,0.672755,-0.011645
LUIS RAW||PEP+MET3||A6||c1,1,8,HUVEC,YOLO M,42,0.289400,0.256892,-0.032508
LUIS RAW||PEP+MET3||A6||c2,2,12,HUVEC,YOLO M,42,0.338900,0.324063,-0.014837
LUIS RAW||PEP+MET3||A6||c2,2,24,HUVEC,YOLO M,42,0.635100,0.616678,-0.018422
LUIS RAW||PEP+MET3||A6||c2,2,8,HUVEC,YOLO M,42,0.120000,1.000000,0.880000
LUIS RAW||PEP||E1||c1,1,12,HUVEC,YOLO M,42,0.681400,1.000000,0.318600
LUIS RAW||PEP||E1||c1,1,24,HUVEC,YOLO M,42,1.000000,1.000000,0.000000
LUIS RAW||PEP||E1||c1,1,8,HUVEC,YOLO M,42,0.536500,0.522410,-0.014090
LUIS RAW||PEP||E1||c2,2,12,HUVEC,YOLO M,42,0.784800,0.595669,-0.189131
LUIS RAW||PEP||E1||c2,2,8,HUVEC,YOLO M,42,0.667900,0.497368,-0.170532
LUIS RAW||PET||C5||c1,1,12,HUVEC,YOLO M,42,0.347500,0.346806,-0.000694
LUIS RAW||PET||C5||c1,1,8,HUVEC,YOLO M,42,0.290400,0.286011,-0.004389
LUIS RAW||PET||F2||c1,1,12,HUVEC,YOLO M,42,0.021200,1.000000,0.978800
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,HUVEC,YOLO M,42,0.863000,1.000000,0.137000
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,HUVEC,YOLO M,42,0.724300,0.490231,-0.234069
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,HUVEC,YOLO M,42,0.422700,0.376929,-0.045771
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,HUVEC,YOLO M,42,0.753100,0.705755,-0.047345
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,HUVEC,YOLO M,42,0.548400,0.519606,-0.028794
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,HUVEC,YOLO M,42,0.008200,0.388076,0.379876
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,HUVEC,YOLO M,42,0.062700,0.362421,0.299721
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,HUVEC,YOLO M,42,0.593100,0.584103,-0.008997
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,HUVEC,YOLO M,42,0.725500,0.730275,0.004775
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,HUVEC,YOLO M,42,0.584400,0.587189,0.002789
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,HUVEC,YOLO M,42,0.876200,1.000000,0.123800
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,HUVEC,YOLO M,42,0.604000,0.576167,-0.027833
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,HUVEC,YOLO M,42,0.614700,0.605628,-0.009072
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,HUVEC,YOLO M,42,0.698100,0.696754,-0.001346
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,HUVEC,YOLO M,42,0.594200,0.576350,-0.017850
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,HUVEC,YOLO M,42,0.117400,0.160407,0.043007
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,HUVEC,YOLO M,42,0.379300,0.382349,0.003049
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,HUVEC,YOLO M,42,0.082000,0.125513,0.043513
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,HUVEC,YOLO M,42,0.140500,0.147181,0.006681
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,HUVEC,YOLO M,42,0.453700,0.416756,-0.036944
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,HUVEC,YOLO M,42,0.108900,0.103891,-0.005009
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,HUVEC,YOLO M,42,0.295900,0.316055,0.020155
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,HUVEC,YOLO M,42,0.231400,0.227046,-0.004354
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,HUVEC,YOLO M,42,0.215700,0.222737,0.007037
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,HUVEC,YOLO M,42,0.579400,0.536961,-0.042439
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,HUVEC,YOLO M,42,0.230100,0.549912,0.319812
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,HUVEC,YOLO M,42,0.103000,0.116276,0.013276
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,HUVEC,YOLO M,42,0.437100,0.445609,0.008509
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,HUVEC,YOLO M,42,-0.026600,0.010954,0.037554
Originais (1)||None||A1||c1,1,12,HUVEC,YOLO M,42,0.720300,1.000000,0.279700
Originais (1)||None||A1||c1,1,24,HUVEC,YOLO M,42,1.000000,1.000000,0.000000
Originais (1)||None||A1||c1,1,8,HUVEC,YOLO M,42,0.507400,0.566237,0.058837
Originais (1)||None||A1||c2,2,12,HUVEC,YOLO M,42,0.707700,0.674422,-0.033278
Originais (1)||None||A1||c2,2,24,HUVEC,YOLO M,42,1.000000,1.000000,0.000000
Originais (1)||None||A1||c2,2,8,HUVEC,YOLO M,42,0.489000,0.491660,0.002660
Originais (1)||None||A5||c1,1,12,HUVEC,YOLO M,42,0.831100,1.000000,0.168900
Originais (1)||None||A5||c1,1,24,HUVEC,YOLO M,42,1.000000,1.000000,0.000000
Originais (1)||None||A5||c1,1,8,HUVEC,YOLO M,42,0.616300,0.575703,-0.040597
Originais (1)||None||A5||c2,2,12,HUVEC,YOLO M,42,0.830300,0.730572,-0.099728
Originais (1)||None||A5||c2,2,24,HUVEC,YOLO M,42,1.000000,1.000000,0.000000
Originais (1)||None||A5||c2,2,8,HUVEC,YOLO M,42,0.597800,0.575690,-0.022110
Originais (1)||None||B5||c1,1,12,HUVEC,YOLO M,42,0.641600,0.650018,0.008418
Originais (1)||None||B5||c1,1,8,HUVEC,YOLO M,42,0.503900,0.507499,0.003599
Originais (1)||None||B5||c2,2,12,HUVEC,YOLO M,42,0.284300,0.571147,0.286847
Originais (1)||None||B5||c2,2,8,HUVEC,YOLO M,42,0.235200,0.458862,0.223662
Originais (1)||None||D1||c2,2,12,HUVEC,YOLO M,42,0.432000,1.000000,0.568000
Originais (1)||None||D1||c2,2,8,HUVEC,YOLO M,42,0.256100,0.504590,0.248490
P1|CT|F10,F10,48,SKOV-3,YOLO M,42,1.000000,1.000000,0.000000
P1|CT|F8,F8,24,SKOV-3,YOLO M,42,1.000000,1.000000,0.000000
P1|CT|F8,F8,48,SKOV-3,YOLO M,42,1.000000,1.000000,0.000000
P1|PTX|F2,F2,24,SKOV-3,YOLO M,42,0.438400,0.505514,0.067114
P1|PTX|F2,F2,48,SKOV-3,YOLO M,42,0.769500,0.701596,-0.067904
P1|PTX|F9,F9,24,SKOV-3,YOLO M,42,0.148900,0.255132,0.106232
P1|PTX|F9,F9,48,SKOV-3,YOLO M,42,0.479300,0.365375,-0.113925
P2|CARBO+GEO|F14,F14,48,SKOV-3,YOLO M,42,0.497100,0.459314,-0.037786
P2|CARBO+GEO|F8,F8,24,SKOV-3,YOLO M,42,0.504400,0.535288,0.030888
P2|CARBO+GEO|F8,F8,48,SKOV-3,YOLO M,42,0.595700,1.000000,0.404300
P2|CARBO|F9,F9,24,SKOV-3,YOLO M,42,0.536200,1.000000,0.463800
P2|CARBO|F9,F9,48,SKOV-3,YOLO M,42,1.000000,1.000000,0.000000
P2|CT|F9,F9,24,SKOV-3,YOLO M,42,0.847900,0.871985,0.024085
P2|CT|F9,F9,48,SKOV-3,YOLO M,42,1.000000,1.000000,0.000000
P2|GEO|F11,F11,24,SKOV-3,YOLO M,42,0.471200,0.467516,-0.003684
Pré-Eclâmpsia||None||B6||c1,1,12,HUVEC,YOLO M,42,0.713500,0.677602,-0.035898
Pré-Eclâmpsia||None||B6||c1,1,24,HUVEC,YOLO M,42,1.000000,1.000000,0.000000
Saudável||None||B1||c1,1,12,HUVEC,YOLO M,42,0.247400,-0.150538,-0.397938
Saudável||None||B1||c1,1,24,HUVEC,YOLO M,42,0.877200,1.000000,0.122800
Saudável||None||B1||c2,2,24,HUVEC,YOLO M,42,0.623700,0.631725,0.008025
originais||None||A1||c1,1,8,HUVEC,YOLO M,42,0.418700,0.397531,-0.021169
originais||None||A1||c2,2,8,HUVEC,YOLO M,42,0.265500,0.297113,0.031613
originais||None||B5||c1,1,24,HUVEC,YOLO M,42,0.467400,1.000000,0.532600
originais||None||D1||c1,1,12,HUVEC,YOLO M,42,0.551300,0.576964,0.025664
originais||None||D1||c1,1,24,HUVEC,YOLO M,42,0.883500,0.837609,-0.045891
originais||None||D1||c1,1,8,HUVEC,YOLO M,42,0.437600,0.463978,0.026378
originais||None||D1||c2,2,12,HUVEC,YOLO M,42,0.570200,0.563930,-0.006270
originais||None||D1||c2,2,24,HUVEC,YOLO M,42,0.792900,0.802082,0.009182
originais||None||D1||c2,2,8,HUVEC,YOLO M,42,0.446700,0.440105,-0.006595
originais||None||D4||c1,1,24,HUVEC,YOLO M,42,0.809300,1.000000,0.190700
originais||None||D4||c1,1,8,HUVEC,YOLO M,42,0.600300,0.608269,0.007969
Controle||None||B1||c1,1,12,HUVEC,YOLO M,43,0.266200,0.276535,0.010335
Controle||None||B1||c1,1,8,HUVEC,YOLO M,43,0.206700,0.236857,0.030157
LUIS RAW||PEP+GB||A3||c2,2,12,HUVEC,YOLO M,43,0.823500,0.791603,-0.031897
LUIS RAW||PEP+GB||A3||c2,2,24,HUVEC,YOLO M,43,1.000000,1.000000,0.000000
LUIS RAW||PEP+GB||A3||c2,2,8,HUVEC,YOLO M,43,0.427300,0.449695,0.022395
LUIS RAW||PEP+MET3||A6||c1,1,12,HUVEC,YOLO M,43,0.462400,0.309133,-0.153267
