arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,1509,15.087,1,640,640
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,994,9.938,1,640,640
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,103,1.035,1,640,640
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,465,4.654,1,640,640
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,210,2.095,1,640,640
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,2193,21.927,1,640,640
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,2120,21.195,1,640,640
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,2433,24.332,1,640,640
B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,1831,18.31,1,640,640
B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,1740,17.395,1,640,640
B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,2610,26.102,1,640,640
B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,1609,16.091,1,640,640
B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,1595,15.951,1,640,640
B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png,260,2.602,1,640,640
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,689,6.89,1,640,640
E1 0H 1_png.rf.O4klFnPAFBZQG7ZiiWoa.png,2293,22.932,1,640,640
E1 0H 2_png.rf.dwk6Z6HVga7ttj23PmV9.png,2157,21.572,1,640,640
E1 8H 1_png.rf.8l6bvVJjLSjiFIlOhJkG.png,1063,10.63,1,640,640
E1 8H 2_png.rf.5qtx5quA0obTJbOUZCxP.png,716,7.165,1,640,640
E1 12H 1_png.rf.MXhOPdUnNbYD4WTRbftP.png,731,7.306,1,640,640
E1 12H 2_png.rf.GKeGTBMimaglOZhGi5n6.png,464,4.643,1,640,640
E1 24H 1_png.rf.JjdLiNmCus3kSa50aOeW.png,0,0.0,0,640,640
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,2088,20.883,1,640,640
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,503,5.029,1,640,640
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,1196,11.959,1,640,640
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,407,4.073,1,640,640
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,368,3.685,1,640,640
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,0,0.0,0,640,640
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,0,0.0,0,640,640
B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,1326,13.261,1,640,640
B4 8H 1_png.rf.OVZZyofXQpVrU06rEdEV.png,1466,14.665,1,640,640
B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png,334,3.339,1,640,640
B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png,107,1.069,1,640,640
B4 12H 2_png.rf.BUDIsAimJHwizKA26kde.png,1387,13.871,1,640,640
B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,708,7.084,1,640,640
B4 24H 2_png.rf.Dy3NkPc0L9HXhRCtCbkW.png,0,0.0,0,640,640
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,2299,22.991,1,640,640
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,1634,16.337,1,640,640
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,2023,20.233,1,640,640
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,1236,12.361,1,640,640
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,1520,15.2,1,640,640
A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,726,7.255,1,640,640
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,839,8.389,1,640,640
C5 0H 1_png.rf.OdwF3vyzWYOgZ8CvxU5t.png,2101,21.009,1,640,640
C5 8H 1_png.rf.m0k3TjlxKvLXDFhuBq52.png,1491,14.907,1,640,640
C5 12H 1_png.rf.OLiywuVh8Y6xj17HnU6e.png,1371,13.709,1,640,640
C5 12H 2_png.rf.yGOWuMwCESVagvk7Q4HY.png,989,9.889,1,640,640
F2 0H 1_png.rf.zPl6vPkH5HpqtxJsWJxj.png,2415,24.153,1,640,640
F2 8H 2_png.rf.dUFZVFJ0aVESmoGKjJ05.png,1404,14.038,1,640,640
F2 12H 1_png.rf.h05DU2gxBlXL6JdotHmg.png,2364,23.64,1,640,640
F2 12H 2_png.rf.2goGI5xvDCGG2PJZ8Its.png,2552,25.522,1,640,640
