arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,1705,17.051908,1,640,640
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,1078,10.783292,1,640,640
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,119,1.185298,1,640,640
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,536,5.35956,1,640,640
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,221,2.209063,1,640,640
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,2360,23.598863,1,640,640
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,2383,23.829442,1,640,640
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,2699,26.993294,1,640,640
B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,2050,20.496864,1,640,640
B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,1898,18.98382,1,640,640
B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,3001,30.005496,1,640,640
B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,1844,18.442439,1,640,640
B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,1790,17.900509,1,640,640
B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png,301,3.012792,1,640,640
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,783,7.82503,1,640,640
E1 0H 1_png.rf.O4klFnPAFBZQG7ZiiWoa.png,2502,25.021742,1,640,640
E1 0H 2_png.rf.dwk6Z6HVga7ttj23PmV9.png,2443,24.427918,1,640,640
E1 8H 1_png.rf.8l6bvVJjLSjiFIlOhJkG.png,1156,11.563118,1,640,640
E1 8H 2_png.rf.5qtx5quA0obTJbOUZCxP.png,824,8.236282,1,640,640
E1 12H 1_png.rf.MXhOPdUnNbYD4WTRbftP.png,817,8.170464,1,640,640
E1 12H 2_png.rf.GKeGTBMimaglOZhGi5n6.png,517,5.171321,1,640,640
E1 24H 1_png.rf.JjdLiNmCus3kSa50aOeW.png,0,0.0,0,640,640
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,2425,24.246779,1,640,640
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,561,5.606368,1,640,640
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,1322,13.221968,1,640,640
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,451,4.51357,1,640,640
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,419,4.193108,1,640,640
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,0,0.0,0,640,640
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,0,0.0,0,640,640
B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,1504,15.044281,1,640,640
B4 8H 1_png.rf.OVZZyofXQpVrU06rEdEV.png,1748,17.480084,1,640,640
B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png,369,3.694084,1,640,640
B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png,118,1.178881,1,640,640
B4 12H 2_png.rf.BUDIsAimJHwizKA26kde.png,1516,15.156249,1,640,640
B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,808,8.080697,1,640,640
B4 24H 2_png.rf.Dy3NkPc0L9HXhRCtCbkW.png,0,0.0,0,640,640
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,2566,25.661896,1,640,640
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,1784,17.836259,1,640,640
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,2210,22.100454,1,640,640
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,1411,14.11453,1,640,640
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,1740,17.403595,1,640,640
A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,826,8.258004,1,640,640
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,921,9.208093,1,640,640
C5 0H 1_png.rf.OdwF3vyzWYOgZ8CvxU5t.png,2369,23.693963,1,640,640
C5 8H 1_png.rf.m0k3TjlxKvLXDFhuBq52.png,1675,16.754285,1,640,640
C5 12H 1_png.rf.OLiywuVh8Y6xj17HnU6e.png,1545,15.454813,1,640,640
C5 12H 2_png.rf.yGOWuMwCESVagvk7Q4HY.png,1137,11.36523,1,640,640
F2 0H 1_png.rf.zPl6vPkH5HpqtxJsWJxj.png,2723,27.232817,1,640,640
F2 8H 2_png.rf.dUFZVFJ0aVESmoGKjJ05.png,1604,16.042788,1,640,640
F2 12H 1_png.rf.h05DU2gxBlXL6JdotHmg.png,2653,26.530478,1,640,640
F2 12H 2_png.rf.2goGI5xvDCGG2PJZ8Its.png,2883,28.832571,1,640,640
D4 0H 1_png.rf.hIDWQ46StqSUcKyGmBYY.png,2132,21.320109,1,640,640
D4 0H 2_png.rf.7RFXNZEElcEIxiB134la.png,2462,24.615702,1,640,640
D4 8H 2_png.rf.mnoVDerLhE6PpOQcbUog.png,1472,14.718758,1,640,640
D4 12H 1_png.rf.rmwAgsyRm1ZzZ55GuiPB.png,283,2.825636,1,640,640
D4 12H 2_png.rf.txyJ67o8LXpC3sVtUoTH.png,696,6.961408,1,640,640
C5 0H 1_png.rf.qfmzlYXXLFM1UbctuHo5.png,2269,22.691618,1,640,640
C5 0H 2_png.rf.UQiYCwrvqp79phsQH2z3.png,7556,75.557072,1,640,640
C5 8H 1_png.rf.QRwHfTeZ3iXOWs30KZOS.png,1006,10.063627,1,640,640
C5 8H 2_png.rf.Su3UAyP9dztNqZtfn0u1.png,6975,69.746757,1,640,640
C5 12H 1_png.rf.eqPnAQCG5aI0rvfthMNV.png,536,5.363006,1,640,640
C5 12H 2_png.rf.oLP5pb7BztRNGjNEDlAS.png,7100,70.998669,1,640,640
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,4305,43.052547,1,640,640
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,1769,17.691518,1,640,640
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,6075,60.754669,1,640,640
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,1690,16.901716,1,640,640
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,7786,77.862411,1,640,640
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,1275,12.754362,1,640,640
B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,3721,37.210539,1,640,640
B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,3145,31.449505,1,640,640
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,1450,14.498263,1,640,640
B1 8H 2_png.rf.gA6SnVr547LgfEenVrRi.png,1210,12.100211,1,640,640
B1 12H 1_png.rf.VB9B0BXSFCbQoytWKIkL.png,1435,14.352244,1,640,640
B1 24H 1_png.rf.GJ99b6zJDkCcdldeprAL.png,1011,10.105304,1,640,640
B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,393,3.933375,1,640,640
D3 0H 1_png.rf.jWsUip53LaCF4OaEEFcb.png,2505,25.046376,1,640,640
D3 0H 2_png.rf.lkEcbAGS1IAwabi3cMT3.png,2702,27.021947,1,640,640
D3 8H 1_png.rf.6ah0Jg4O5oakLSomUxcX.png,2263,22.632575,1,640,640
D3 8H 2_png.rf.RmIwn01JNbgfY0VcrlAP.png,2485,24.84913,1,640,640
D3 12H 1_png.rf.vDKmMF3YJlFSbIbFZHci.png,2146,21.45645,1,640,640
D3 12H 2_png.rf.bk65RyMB9bMlU59S1RY7.png,2385,23.847977,1,640,640
D3 24H 1_png.rf.lgES3xZvT7KoszPGhV44.png,1493,14.927331,1,640,640
D3 24H 2_png.rf.vu9MuWKRyoy3WKGkVrI5.png,1479,14.791364,1,640,640
D1 0H 1_png.rf.fw3oXHFKRwGBIpMcBKY2.png,1775,17.7491,1,640,640
D1 0H 2_png.rf.In3g26PLvIPVilZ9guvK.png,1932,19.317976,1,640,640
D1 8H 1_png.rf.AmYzGCscmIMNbZlAIVL4.png,1400,14.00112,1,640,640
D1 8H 2_png.rf.1Guur0r0WOYFqgYbD8Ix.png,1521,15.208533,1,640,640
