arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,1784,17.835261,1,640,640
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,1143,11.434269,1,640,640
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,142,1.418221,1,640,640
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,640,6.401089,1,640,640
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,272,2.71789,1,640,640
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,2136,21.355942,1,640,640
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,2125,21.249192,1,640,640
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,2418,24.178104,1,640,640
B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,1830,18.303847,1,640,640
B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,1909,19.093019,1,640,640
B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,2966,29.659874,1,640,640
B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,1920,19.201038,1,640,640
B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,1877,18.767177,1,640,640
B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png,359,3.591893,1,640,640
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,939,9.388471,1,640,640
E1 0H 1_png.rf.O4klFnPAFBZQG7ZiiWoa.png,2254,22.537894,1,640,640
E1 0H 2_png.rf.dwk6Z6HVga7ttj23PmV9.png,2173,21.731094,1,640,640
E1 8H 1_png.rf.8l6bvVJjLSjiFIlOhJkG.png,1164,11.642525,1,640,640
E1 8H 2_png.rf.5qtx5quA0obTJbOUZCxP.png,814,8.141485,1,640,640
E1 12H 1_png.rf.MXhOPdUnNbYD4WTRbftP.png,858,8.575978,1,640,640
E1 12H 2_png.rf.GKeGTBMimaglOZhGi5n6.png,544,5.435355,1,640,640
E1 24H 1_png.rf.JjdLiNmCus3kSa50aOeW.png,0,0.0,0,640,640
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,2139,21.393607,1,640,640
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,560,5.598361,1,640,640
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,1324,13.239817,1,640,640
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,475,4.75207,1,640,640
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,438,4.375972,1,640,640
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,0,0.0,0,640,640
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,0,0.0,0,640,640
B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,1338,13.375262,1,640,640
B4 8H 1_png.rf.OVZZyofXQpVrU06rEdEV.png,1708,17.077346,1,640,640
B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png,370,3.698243,1,640,640
B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png,124,1.243207,1,640,640
B4 12H 2_png.rf.BUDIsAimJHwizKA26kde.png,1603,16.033161,1,640,640
B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,968,9.681217,1,640,640
B4 24H 2_png.rf.Dy3NkPc0L9HXhRCtCbkW.png,0,0.0,0,640,640
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,2294,22.938605,1,640,640
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,1794,17.936444,1,640,640
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,2222,22.220958,1,640,640
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,1471,14.713161,1,640,640
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,1813,18.12549,1,640,640
A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,990,9.900646,1,640,640
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,1117,11.17441,1,640,640
C5 0H 1_png.rf.OdwF3vyzWYOgZ8CvxU5t.png,2111,21.10655,1,640,640
C5 8H 1_png.rf.m0k3TjlxKvLXDFhuBq52.png,1668,16.684997,1,640,640
C5 12H 1_png.rf.OLiywuVh8Y6xj17HnU6e.png,1618,16.178528,1,640,640
C5 12H 2_png.rf.yGOWuMwCESVagvk7Q4HY.png,1182,11.822088,1,640,640
F2 0H 1_png.rf.zPl6vPkH5HpqtxJsWJxj.png,2426,24.26101,1,640,640
F2 8H 2_png.rf.dUFZVFJ0aVESmoGKjJ05.png,1589,15.888616,1,640,640
F2 12H 1_png.rf.h05DU2gxBlXL6JdotHmg.png,2781,27.814543,1,640,640
F2 12H 2_png.rf.2goGI5xvDCGG2PJZ8Its.png,3016,30.161754,1,640,640
D4 0H 1_png.rf.hIDWQ46StqSUcKyGmBYY.png,1892,18.917875,1,640,640
D4 0H 2_png.rf.7RFXNZEElcEIxiB134la.png,2231,22.313204,1,640,640
D4 8H 2_png.rf.mnoVDerLhE6PpOQcbUog.png,1472,14.722318,1,640,640
D4 12H 1_png.rf.rmwAgsyRm1ZzZ55GuiPB.png,298,2.978538,1,640,640
D4 12H 2_png.rf.txyJ67o8LXpC3sVtUoTH.png,735,7.350834,1,640,640
C5 0H 1_png.rf.qfmzlYXXLFM1UbctuHo5.png,2032,20.316582,1,640,640
C5 0H 2_png.rf.UQiYCwrvqp79phsQH2z3.png,6650,66.496448,1,640,640
C5 8H 1_png.rf.QRwHfTeZ3iXOWs30KZOS.png,1012,10.122867,1,640,640
C5 8H 2_png.rf.Su3UAyP9dztNqZtfn0u1.png,6888,68.884851,1,640,640
C5 12H 1_png.rf.eqPnAQCG5aI0rvfthMNV.png,573,5.726087,1,640,640
C5 12H 2_png.rf.oLP5pb7BztRNGjNEDlAS.png,7474,74.737182,1,640,640
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,3838,38.377516,1,640,640
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,1754,17.537248,1,640,640
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,6329,63.294305,1,640,640
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,1759,17.594308,1,640,640
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,9418,94.182759,1,640,640
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,1545,15.445641,1,640,640
B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,3295,32.945797,1,640,640
