arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,763796,15.150739,1,2452,2056
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,595828,11.818907,1,2452,2056
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,860110,17.061233,1,2452,2056
A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,884175,17.538589,1,2452,2056
A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,270063,5.356998,1,2452,2056
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,216972,4.30388,1,2452,2056
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,475144,9.425007,2,2452,2056
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,272823,5.411746,1,2452,2056
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,73602,17.969238,1,640,640
A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,55619,13.578857,1,640,640
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,0.0,0,2452,2056
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,1365,0.027076,2,2452,2056
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,260,0.005157,1,2452,2056
A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,257525,5.108293,2,2452,2056
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,4816,1.175781,4,640,640
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,3050,0.744629,2,640,640
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,28973,7.073486,1,640,640
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,346636,6.875908,1,2452,2056
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,328001,6.506263,1,2452,2056
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,445931,8.845535,1,2452,2056
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,632339,12.543144,1,2452,2056
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,1948125,38.643214,6,2452,2056
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,792498,15.720074,2,2452,2056
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,774988,15.372744,1,2452,2056
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,547827,10.866755,2,2452,2056
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,589833,11.69999,1,2452,2056
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,229560,4.553577,4,2452,2056
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,719322,14.268548,7,2452,2056
A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,345485,6.853077,4,2452,2056
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,1003343,19.902418,1,2452,2056
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,359251,7.126141,1,2452,2056
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,282530,5.604295,2,2452,2056
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,0,0.0,0,2452,2056
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,0,0.0,0,2452,2056
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,432856,8.586178,3,2452,2056
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,569867,11.303942,2,2452,2056
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,758413,15.043961,1,2452,2056
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,834706,16.557317,1,2452,2056
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,459286,9.110446,1,2452,2056
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,209422,4.154117,1,2452,2056
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,504281,10.002971,1,2452,2056
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,213017,4.225428,1,2452,2056
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,0,0.0,0,2452,2056
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,322913,6.405337,2,2452,2056
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,188795,3.744958,1,2452,2056
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,534109,10.594643,1,2452,2056
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,310935,6.16774,1,2452,2056
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,351305,6.968523,1,2452,2056
A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png,985768,19.553799,5,2452,2056
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,1156773,22.945872,2,2452,2056
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,732494,14.529829,2,2452,2056
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,823231,16.329698,1,2452,2056
