arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,777496,15.422493,1,2452,2056
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,605170,12.004216,1,2452,2056
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,878806,17.432089,1,2452,2056
A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900815,17.868662,1,2452,2056
A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,281935,5.592493,1,2452,2056
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,0,0.0,0,2452,2056
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,496068,9.840058,1,2452,2056
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,286120,5.675507,1,2452,2056
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,70894,17.308105,1,640,640
A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,53264,13.003906,1,640,640
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,0.0,0,2452,2056
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,0.0,0,2452,2056
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,0.0,0,2452,2056
A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,254173,5.041803,1,2452,2056
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,0,0.0,0,640,640
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,0,0.0,0,640,640
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,30118,7.353027,1,640,640
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,364596,7.232165,1,2452,2056
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,337249,6.689707,1,2452,2056
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,446732,8.861423,1,2452,2056
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,633171,12.559647,1,2452,2056
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,1990954,39.492775,1,2452,2056
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,651175,12.916776,1,2452,2056
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,785177,15.574854,1,2452,2056
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,479345,9.508338,1,2452,2056
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,603748,11.976009,1,2452,2056
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,746026,14.798251,1,2452,2056
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,843467,16.731101,1,2452,2056
A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,427980,8.489457,1,2452,2056
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,1083442,21.491271,1,2452,2056
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,365845,7.25694,1,2452,2056
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,223657,4.436484,1,2452,2056
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,0,0.0,0,2452,2056
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,0,0.0,0,2452,2056
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,310521,6.159528,1,2452,2056
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,567569,11.258359,1,2452,2056
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,776013,15.393076,1,2452,2056
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,848564,16.832206,1,2452,2056
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,477947,9.480607,1,2452,2056
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,0,0.0,0,2452,2056
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,491924,9.757857,1,2452,2056
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,228627,4.535069,1,2452,2056
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,0,0.0,0,2452,2056
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,214931,4.263394,1,2452,2056
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,544775,10.806215,1,2452,2056
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,329260,6.531236,1,2452,2056
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,360054,7.142069,1,2452,2056
A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png,1135532,22.524533,1,2452,2056
