arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,779321,15.458694,1,2452,2056
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,607204,12.044563,1,2452,2056
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,872793,17.312815,1,2452,2056
A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,898621,17.825142,1,2452,2056
A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,279631,5.54679,1,2452,2056
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,0,0.0,0,2452,2056
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,492731,9.773864,1,2452,2056
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,0,0.0,0,2452,2056
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,73377,17.914307,1,640,640
A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,54741,13.364502,1,640,640
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,0.0,0,2452,2056
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,0.0,0,2452,2056
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,0.0,0,2452,2056
A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,0,0.0,0,2452,2056
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,0,0.0,0,640,640
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,0,0.0,0,640,640
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,0,0.0,0,640,640
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,354087,7.023707,1,2452,2056
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,330518,6.55619,1,2452,2056
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,452386,8.973577,1,2452,2056
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,633306,12.562325,1,2452,2056
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,1992469,39.522827,1,2452,2056
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,685396,13.595588,1,2452,2056
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,800429,15.877395,1,2452,2056
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,490203,9.723719,1,2452,2056
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,605288,12.006557,1,2452,2056
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,0,0.0,0,2452,2056
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,846766,16.79654,1,2452,2056
A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,0,0.0,0,2452,2056
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,1096508,21.750449,1,2452,2056
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,392414,7.783966,1,2452,2056
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,0,0.0,0,2452,2056
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,0,0.0,0,2452,2056
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,0,0.0,0,2452,2056
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,0,0.0,0,2452,2056
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,600390,11.9094,1,2452,2056
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,774703,15.367091,1,2452,2056
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,848940,16.839664,1,2452,2056
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,473175,9.38595,1,2452,2056
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,0,0.0,0,2452,2056
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,501577,9.949335,1,2452,2056
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,0,0.0,0,2452,2056
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,0,0.0,0,2452,2056
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,210769,4.180836,1,2452,2056
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,548174,10.873638,1,2452,2056
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,321797,6.383199,1,2452,2056
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,0,0.0,0,2452,2056
A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png,1174196,23.291477,1,2452,2056
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,1251389,24.822685,1,2452,2056
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,787558,15.622084,1,2452,2056
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,852189,16.904111,1,2452,2056
A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,0,0.0,0,2452,2056
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,478199,9.485606,1,2452,2056
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,874114,17.339018,1,2452,2056
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,0,0.0,0,2452,2056
B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,1672263,33.171186,1,2452,2056
B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,1416752,28.102843,1,2452,2056
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,805419,15.976377,1,2452,2056
B1 0HR 2_png.rf.GJOlprTE8cvwD4CrUmlP.png,764058,15.155936,1,2452,2056
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,110069,26.872314,1,640,640
B1 0hr 1_png.rf.IpACHL1Orw6aFOfMt2L4.png,87770,21.428223,1,640,640
B1 0hr 1_png.rf.MsTYgRqpBawgbfwCxIBh.png,87253,21.302002,1,640,640
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,116797,28.514893,1,640,640
B1 0hr_1_png.rf.DUGXTEiLp7a24s7ag9dO.png,103911,25.368896,1,640,640
B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,107731,26.301514,1,640,640
B1 12H 1_png.rf.VB9B0BXSFCbQoytWKIkL.png,708934,14.06249,1,2452,2056
B1 12H 2_png.rf.cFU7xmBfmqqkIIa5q7nh.png,517681,10.268775,1,2452,2056
B1 12HR 1_png.rf.iGQ0raXb1cPFjLpTE8Qs.png,481413,9.549359,1,2452,2056
B1 12hr 1_png.rf.Basp8dmX2exqZZBqydBx.png,50570,12.346191,1,640,640
B1 12hr 1_png.rf.MkOpH7SVtG5q4EYuFmK2.png,51166,12.491699,1,640,640
B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,80405,19.630127,1,640,640
B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,77058,18.812988,1,640,640
B1 24H 1_png.rf.GJ99b6zJDkCcdldeprAL.png,455647,9.038262,1,2452,2056
B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,0,0.0,0,2452,2056
B1 24HR 1_png.rf.ZOXgAwm7pCyA0PxFBFkk.png,0,0.0,0,2452,2056
B1 24HR 2_png.rf.Ls9u8THJDkrAcAUiOT0Q.png,221555,4.394788,1,2452,2056
B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png,0,0.0,0,640,640
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,40136,9.798828,1,640,640
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,695391,13.79385,1,2452,2056
