arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,784303,15.557518,1,2452,2056
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,607919,12.058746,1,2452,2056
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,885569,17.566241,1,2452,2056
A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,903338,17.918708,1,2452,2056
A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,286449,5.682033,1,2452,2056
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,239506,4.750866,1,2452,2056
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,492252,9.764363,1,2452,2056
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,289147,5.735551,1,2452,2056
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,73219,17.875732,1,640,640
A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,54900,13.40332,1,640,640
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,0.0,0,2452,2056
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,0.0,0,2452,2056
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,0.0,0,2452,2056
A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,0,0.0,0,2452,2056
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,0,0.0,0,640,640
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,0,0.0,0,640,640
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,30528,7.453125,1,640,640
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,355971,7.061079,1,2452,2056
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,338960,6.723647,1,2452,2056
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,450941,8.944914,1,2452,2056
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,641235,12.719606,1,2452,2056
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,2002315,39.718133,1,2452,2056
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,676836,13.425791,1,2452,2056
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,796282,15.795134,1,2452,2056
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,489316,9.706124,1,2452,2056
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,610625,12.112422,1,2452,2056
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,773222,15.337714,1,2452,2056
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,850572,16.872036,1,2452,2056
A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,446875,8.86426,1,2452,2056
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,1095792,21.736246,1,2452,2056
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,382034,7.578067,1,2452,2056
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,0,0.0,0,2452,2056
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,0,0.0,0,2452,2056
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,0,0.0,0,2452,2056
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,311345,6.175872,1,2452,2056
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,600996,11.92142,1,2452,2056
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,782981,15.531294,1,2452,2056
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,854935,16.958581,1,2452,2056
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,482990,9.580641,1,2452,2056
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,226705,4.496944,1,2452,2056
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,503977,9.996941,1,2452,2056
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,0,0.0,0,2452,2056
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,0,0.0,0,2452,2056
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,213325,4.231537,1,2452,2056
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,551146,10.932591,1,2452,2056
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,326237,6.471272,1,2452,2056
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,363000,7.200507,1,2452,2056
A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png,1169317,23.194696,1,2452,2056
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,1245524,24.706346,1,2452,2056
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,799226,15.853532,1,2452,2056
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,840985,16.681868,1,2452,2056
A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,412674,8.185845,1,2452,2056
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,489014,9.700134,1,2452,2056
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,863704,17.132524,1,2452,2056
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,971378,19.268357,1,2452,2056
B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,1679474,33.314225,1,2452,2056
B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,1444418,28.651629,1,2452,2056
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,818282,16.231529,1,2452,2056
B1 0HR 2_png.rf.GJOlprTE8cvwD4CrUmlP.png,768359,15.241251,1,2452,2056
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,110787,27.047607,1,640,640
B1 0hr 1_png.rf.IpACHL1Orw6aFOfMt2L4.png,88246,21.544434,1,640,640
B1 0hr 1_png.rf.MsTYgRqpBawgbfwCxIBh.png,87921,21.465088,1,640,640
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,118152,28.845703,1,640,640
B1 0hr_1_png.rf.DUGXTEiLp7a24s7ag9dO.png,104650,25.549316,1,640,640
