arquivo,area_px,area_pct,n_instancias,orig_w,orig_h
A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,779475,15.461749,1,2452,2056
A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,605090,12.002629,1,2452,2056
A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,883342,17.522066,1,2452,2056
A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,900643,17.86525,1,2452,2056
A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,280907,5.572101,1,2452,2056
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,0,0.0,0,2452,2056
A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,497721,9.872847,1,2452,2056
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,288539,5.72349,1,2452,2056
A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,73382,17.915527,1,640,640
A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,54220,13.237305,1,640,640
A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,0,0.0,0,2452,2056
A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,0,0.0,0,2452,2056
A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,0,0.0,0,2452,2056
A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,0,0.0,0,2452,2056
A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,0,0.0,0,640,640
A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,0,0.0,0,640,640
A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,0,0.0,0,640,640
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,357270,7.086846,1,2452,2056
A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,338946,6.723369,1,2452,2056
A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,448699,8.900441,1,2452,2056
A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,635117,12.598248,1,2452,2056
A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,2001678,39.705497,1,2452,2056
A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,672911,13.347934,1,2452,2056
A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,792897,15.727989,1,2452,2056
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,487278,9.665698,1,2452,2056
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,609225,12.084652,1,2452,2056
A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,774460,15.362271,1,2452,2056
A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,845626,16.773927,1,2452,2056
A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,0,0.0,0,2452,2056
A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,1094050,21.701692,1,2452,2056
A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,375861,7.455619,1,2452,2056
A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,0,0.0,0,2452,2056
A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,0,0.0,0,2452,2056
A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,0,0.0,0,2452,2056
A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,310425,6.157623,1,2452,2056
A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,568732,11.281428,1,2452,2056
A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,775867,15.39018,1,2452,2056
A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,848647,16.833852,1,2452,2056
A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,478577,9.493104,1,2452,2056
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,0,0.0,0,2452,2056
A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,508147,10.079658,1,2452,2056
A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,0,0.0,0,2452,2056
A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,0,0.0,0,2452,2056
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,0,0.0,0,2452,2056
A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,208013,4.126168,1,2452,2056
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,547436,10.858999,1,2452,2056
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,319919,6.345947,1,2452,2056
A5 8HR 2_png.rf.7U0SE5K1r1eXtmiCBL1Q.png,355025,7.042314,1,2452,2056
A6 0H 1_png.rf.rKpcg4iYJ50H0XfmG98n.png,1148498,22.781728,1,2452,2056
A6 0H 2_png.rf.xTjPOuBdGBBEAQh6qzcS.png,1233994,24.477636,1,2452,2056
A6 12H 1_png.rf.ttiuv3CjzGc6GvMTytlM.png,808615,16.039773,1,2452,2056
A6 12H 2_png.rf.bsoBQRnwC6AtJ5KRBKDv.png,841268,16.687481,1,2452,2056
A6 24H 1_png.rf.nNdt9zlpThgANxpw0Afd.png,0,0.0,0,2452,2056
A6 24H 2_png.rf.fnzQMmHMSJJ6YxflXcKp.png,463719,9.198379,1,2452,2056
A6 8H 1_png.rf.0Ed4k50VKrxz80UdTuUb.png,834117,16.545633,1,2452,2056
A6 8H 2_png.rf.8H5VYogwRaw3bc7Ufnp7.png,947115,18.787074,1,2452,2056
B1 0H 1_png.rf.j3ckb2OmuPoN1D2ZNrsL.png,1672771,33.181263,1,2452,2056
B1 0H 2_png.rf.M9qDqnfqVRQAN3kixv3Y.png,1440275,28.569448,1,2452,2056
B1 0HR 1_png.rf.eIMkkfHeHfLEZ04ezC1L.png,805997,15.987842,1,2452,2056
B1 0HR 2_png.rf.GJOlprTE8cvwD4CrUmlP.png,758198,15.039696,1,2452,2056
B1 0hr 1_png.rf.HQmAp3GBzLOJSBnrI49n.png,110557,26.991455,1,640,640
B1 0hr 1_png.rf.IpACHL1Orw6aFOfMt2L4.png,88743,21.665771,1,640,640
B1 0hr 1_png.rf.MsTYgRqpBawgbfwCxIBh.png,86776,21.185547,1,640,640
B1 0hr 2_png.rf.XjumgmgMNkQhrRGLEgFA.png,118773,28.997314,1,640,640
B1 0hr_1_png.rf.DUGXTEiLp7a24s7ag9dO.png,103647,25.304443,1,640,640
B1 0hr_2_png.rf.wWUkB0l85vJDlD6q526J.png,107026,26.129395,1,640,640
B1 12H 1_png.rf.VB9B0BXSFCbQoytWKIkL.png,688780,13.662713,1,2452,2056
B1 12H 2_png.rf.cFU7xmBfmqqkIIa5q7nh.png,525576,10.425381,1,2452,2056
B1 12HR 1_png.rf.iGQ0raXb1cPFjLpTE8Qs.png,479887,9.519089,1,2452,2056
B1 12hr 1_png.rf.Basp8dmX2exqZZBqydBx.png,50769,12.394775,1,640,640
B1 12hr 1_png.rf.MkOpH7SVtG5q4EYuFmK2.png,50329,12.287354,1,640,640
B1 12hr 1_png.rf.sRUPpw6VBKsEL7UWcuqg.png,80324,19.610352,1,640,640
B1 12hr_1_png.rf.dB4OztvLmzVa4BGq5jCN.png,76952,18.787109,1,640,640
B1 24H 1_png.rf.GJ99b6zJDkCcdldeprAL.png,441477,8.757185,1,2452,2056
B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,0,0.0,0,2452,2056
B1 24HR 1_png.rf.ZOXgAwm7pCyA0PxFBFkk.png,259099,5.139515,1,2452,2056
B1 24HR 2_png.rf.Ls9u8THJDkrAcAUiOT0Q.png,222814,4.419762,1,2452,2056
B1 24hr 1_png.rf.wZriPsVdQe9B1XYh0ypQ.png,0,0.0,0,640,640
B1 24hr 2_png.rf.kOhjizJROLOCgNfM1IF5.png,39498,9.643066,1,640,640
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,686322,13.613956,1,2452,2056
B1 8H 2_png.rf.gA6SnVr547LgfEenVrRi.png,598644,11.874766,1,2452,2056
B1 8HR 1_png.rf.AMXvM5M5gyDuLKC5DTa9.png,577527,11.455887,1,2452,2056
B1 8HR 2_png.rf.QKXzmdKQE41ccuWFgbwS.png,500727,9.932474,1,2452,2056
B1 8hr 1_png.rf.pwZlWzk9sZA3CwldABe9.png,83939,20.49292,1,640,640
B1 8hr 1_png.rf.xNkp4JfkmuylOQerzD1Q.png,85579,20.893311,1,640,640
B1 8hr 2_png.rf.L73Y3X4Dx7HELGkPVNlg.png,59144,14.439453,1,640,640
B4 0H 1_png.rf.UkNByK7H1jadGiO9HCAd.png,811962,16.106164,1,2452,2056
B4 0H 2_png.rf.rXION3PvUG9p2y5KH5ZG.png,1130894,22.432533,1,2452,2056
B4 12H 1_png.rf.1ULnxID5MP426B41agfS.png,0,0.0,0,2452,2056
B4 12H 2_png.rf.BUDIsAimJHwizKA26kde.png,765001,15.174641,1,2452,2056
B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,376036,7.45909,1,2452,2056
B4 24H 2_png.rf.Dy3NkPc0L9HXhRCtCbkW.png,0,0.0,0,2452,2056
B4 8H 1_png.rf.OVZZyofXQpVrU06rEdEV.png,798030,15.829808,1,2452,2056
B4 8H 2_png.rf.ShxIhASvXw8lGbZkLgUb.png,0,0.0,0,2452,2056
B5 0HR 1_png.rf.HyxAq2SZFEx1y342m6b9.png,1095710,21.73462,1,2452,2056
B5 0HR 1_png.rf.J6hP1h51BcAFg4KFN6lN.png,928711,18.42201,1,2452,2056
B5 0HR 2_png.rf.MUU0CWJgRWrZIA9N0J2X.png,1029081,20.41296,1,2452,2056
B5 12HR 1_png.rf.XqoVkA4DK3JbERfwmQPP.png,327124,6.488866,1,2452,2056
B5 12HR 2_png.rf.EZH0RYIN3t8Q75rFyebV.png,451317,8.952372,1,2452,2056
B5 12HR 2_png.rf.mSR2WAZaiHT4hljqFuAE.png,609835,12.096752,1,2452,2056
B5 24HR 1_png.rf.TJTLDoAzR6YqhVVqJjBV.png,0,0.0,0,2452,2056
B5 24HR _png.rf.g9PDGT1tjMWdiPw6OCJg.png,0,0.0,0,2452,2056
B5 8HR 1_png.rf.Ym4RLm5f7bEAlTD8XV4Q.png,455761,9.040524,1,2452,2056
B5 8HR 2_png.rf.1bM2nfrE3C3SuMgkQzIF.png,565128,11.209939,1,2452,2056
B5 8HR 2_png.rf.BzRPidTOrz4nL1zIlvSL.png,778865,15.449649,1,2452,2056
B6 0HR 1_png.rf.G9IIgGta9Gbbj9yqetJW.png,901064,17.873601,1,2452,2056
B6 0hr 1_png.rf.tP2kS9n37GFU0hMWW7mV.png,105463,25.747803,1,640,640
B6 12HR 1_png.rf.gMy5B0cpXrZXzyMCZhuv.png,329453,6.535065,1,2452,2056
B6 12HR 2_png.rf.BMDqWV1RTxKKoPMgnLal.png,401606,7.966299,1,2452,2056
B6 12hr 1_png.rf.wMEDLQnrMWwVbcfKlQek.png,32618,7.963379,2,640,640
B6 12hr 2_png.rf.y4b1NNhMuInMAANEGR5y.png,67489,16.476807,1,640,640
B6 24h 1_png.rf.HqRokqEzDfBP5O3ZtezT.png,0,0.0,0,640,640
B6 24h 1_png.rf.Mqv4F4d5b4AUQiStkAzE.png,0,0.0,0,640,640
C5 0H 1_png.rf.OdwF3vyzWYOgZ8CvxU5t.png,1104528,21.909535,1,2452,2056
C5 0H 1_png.rf.qfmzlYXXLFM1UbctuHo5.png,1046935,20.767114,1,2452,2056
C5 0H 2_png.rf.UQiYCwrvqp79phsQH2z3.png,1123464,22.285151,1,2452,2056
C5 12H 1_png.rf.OLiywuVh8Y6xj17HnU6e.png,709765,14.078974,1,2452,2056
C5 12H 1_png.rf.eqPnAQCG5aI0rvfthMNV.png,302047,5.991436,1,2452,2056
C5 12H 2_png.rf.oLP5pb7BztRNGjNEDlAS.png,506185,10.040739,1,2452,2056
C5 12H 2_png.rf.yGOWuMwCESVagvk7Q4HY.png,401107,7.956401,1,2452,2056
C5 24H 1_png.rf.GRabFdMEvh7NdJQw7srC.png,0,0.0,0,2452,2056
C5 24H 2_png.rf.1BqtMMJEWOuzOCOM43Zl.png,0,0.0,0,2452,2056
C5 8H 1_png.rf.QRwHfTeZ3iXOWs30KZOS.png,502091,9.95953,1,2452,2056
C5 8H 1_png.rf.m0k3TjlxKvLXDFhuBq52.png,789556,15.661717,1,2452,2056
C5 8H 2_png.rf.Su3UAyP9dztNqZtfn0u1.png,726442,14.409781,1,2452,2056
D1 0H 1_png.rf.fw3oXHFKRwGBIpMcBKY2.png,811762,16.102197,1,2452,2056
D1 0H 2_png.rf.In3g26PLvIPVilZ9guvK.png,906530,17.982025,1,2452,2056
D1 0HR 1_png.rf.X95BBgcop2LdYBHvWj7G.png,937785,18.602003,1,2452,2056
D1 0HR 1_png.rf.pXGKiyw6dpCjGOogRcBS.png,836504,16.592982,1,2452,2056
D1 0HR 2_png.rf.Ak8bfHD2sNvAS5ARU8WU.png,853878,16.937615,1,2452,2056
D1 0HR 2_png.rf.pBkydjxMgVt0vB999uLo.png,1050903,20.845823,1,2452,2056
D1 12H 1_png.rf.mKsxEDejqQN6qCQxLyns.png,563374,11.175146,1,2452,2056
D1 12H 2_png.rf.hM6Jhc6UJKSMWKFN6Pta.png,710192,14.087444,1,2452,2056
D1 12HR 1_png.rf.Sa5pwYNBsukEYVE7qdCO.png,403249,7.99889,1,2452,2056
D1 12HR 1_png.rf.mtvtObh31Z25eXwo4BTB.png,266632,5.288941,1,2452,2056
D1 12HR 2_png.rf.E03XFlEmMbe4CLEeQ5L0.png,0,0.0,0,2452,2056
D1 12HR 2_png.rf.c61b9Qj6PnDGEcivk5oi.png,462229,9.168824,1,2452,2056
D1 24H 1_png.rf.9St1pSdNBqUmYewNNUks.png,0,0.0,0,2452,2056
D1 24H 2_png.rf.JPXsJfPNRWwnAkf2OC68.png,0,0.0,0,2452,2056
D1 24HR 1_png.rf.D7yfyoxo08GRgfqWxkKs.png,0,0.0,0,2452,2056
D1 24HR 1_png.rf.EHcrx6DNEOw8vqgtCyC2.png,0,0.0,0,2452,2056
D1 24HR 2_png.rf.sKzjQXeeTmG65NxFRo5z.png,0,0.0,0,2452,2056
