analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.21229909924381765
Controle||None||B1||c1,1,12,0.2662,0.2653557856513262
LUIS RAW||PEP+GB||A3||c1,1,8,0.7592,-0.2528938460781924
LUIS RAW||PEP+GB||A3||c1,1,12,0.805,-0.039845459200297875
LUIS RAW||PEP+GB||A3||c1,1,24,1.0,1.0
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.43203172599429884
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.7184113508217946
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.1991229428102437
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.25693063532053295
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.6017856172092185
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.8278227560931222
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.2883383120066215
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.6398524318448217
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.5664557892002894
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.5844466707174133
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.3649709160155338
LUIS RAW||PEP||E1||c2,2,12,0.7848,0.6301522330619533
LUIS RAW||PET||C5||c1,1,8,0.2904,0.2809072254890385
LUIS RAW||PET||C5||c1,1,12,0.3475,0.3479991653294326
LUIS RAW||PET||F2||c1,1,12,0.0212,0.4965597509230614
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,0.756556069026647
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.542908997749778
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.7567118584440258
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.5423479011342831
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7272977161131378
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.42896507288255525
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.5693868330856225
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.42439188376611486
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.5034978952540162
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.6294312904126802
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.5589615512270055
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.8337886377981601
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.6307618719291828
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.6021877476340348
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.6972304115283993
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.10712111482571993
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,0.16323749500795068
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.37784758672766433
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,0.04966374249948944
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,0.3273818058578933
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.3983614235871233
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.24250273282590112
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.3119101303316637
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,0.3535863197250686
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.23742175097416665
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,0.5794,0.5132459026374657
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,-0.0041790432377621705
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,0.103,0.1191647643497453
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.441317760767489
Originais (1)||None||A1||c1,1,8,0.5074,0.5705646437444405
Originais (1)||None||A1||c1,1,12,0.7203,0.7159293681978152
Originais (1)||None||A1||c1,1,24,1.0,1.0
Originais (1)||None||A1||c2,2,8,0.489,0.4815418674605757
Originais (1)||None||A1||c2,2,12,0.7077,0.682804519462339
Originais (1)||None||A1||c2,2,24,1.0,0.9996977357967035
Originais (1)||None||A5||c1,1,8,0.6163,0.5900188786716477
Originais (1)||None||A5||c1,1,12,0.8311,0.7238681355262754
Originais (1)||None||A5||c1,1,24,1.0,1.0
Originais (1)||None||A5||c2,2,8,0.5978,0.5791272825180552
Originais (1)||None||A5||c2,2,12,0.8303,0.7447999576259849
Originais (1)||None||A5||c2,2,24,1.0,1.0
Originais (1)||None||B5||c1,1,8,0.5039,0.5051119919987268
