series_key,campo,timepoint_h,referencia,ai,diferenca,ai_serie_plausivel,ai_motivo
Controle||None||B1||c1,1,8,0.2067,0.22121,0.01451,sim,plausivel
Controle||None||B1||c1,1,12,0.2662,0.265114,-0.001086,sim,plausivel
LUIS RAW||PEP+GB||A3||c1,1,8,0.7592,0.211879,-0.547321,sim,plausivel
LUIS RAW||PEP+GB||A3||c1,1,12,0.805,0.323389,-0.481611,sim,plausivel
LUIS RAW||PEP+GB||A3||c1,1,24,1.0,1.0,0.0,sim,plausivel
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.436798,0.009498,sim,plausivel
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.710971,-0.112529,sim,plausivel
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0,0.0,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.230742,-0.058658,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.264104,-0.198296,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.65837,-0.02603,sim,plausivel
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.475944,0.355944,nao,nao_monotonica
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.3162,-0.0227,nao,nao_monotonica
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.629686,-0.005414,nao,nao_monotonica
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.505658,-0.030842,sim,plausivel
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.558355,-0.123045,sim,plausivel
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0,0.0,sim,plausivel
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.44369,-0.22421,sim,plausivel
LUIS RAW||PEP||E1||c2,2,12,0.7848,0.677358,-0.107442,sim,plausivel
LUIS RAW||PET||C5||c1,1,8,0.2904,0.272378,-0.018022,sim,plausivel
LUIS RAW||PET||C5||c1,1,12,0.3475,0.329696,-0.017804,sim,plausivel
LUIS RAW||PET||F2||c1,1,12,0.0212,0.477312,0.456112,sim,plausivel
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,0.752148,-0.110852,sim,plausivel
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.649364,0.226664,sim,plausivel
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.778592,0.054292,sim,plausivel
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.550056,0.001656,sim,plausivel
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.736211,-0.016889,sim,plausivel
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.47906,0.41636,sim,plausivel
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.635404,0.627204,sim,plausivel
