series_key,campo,timepoint_h,referencia,ai,diferenca,ai_serie_plausivel,ai_motivo
Controle||None||B1||c1,1,8,0.2067,0.236857,0.030157,sim,plausivel
Controle||None||B1||c1,1,12,0.2662,0.276535,0.010335,sim,plausivel
LUIS RAW||PEP+GB||A3||c1,1,8,0.7592,1.0,0.2408,nao,nao_monotonica
LUIS RAW||PEP+GB||A3||c1,1,12,0.805,0.139462,-0.665538,nao,nao_monotonica
LUIS RAW||PEP+GB||A3||c1,1,24,1.0,1.0,0.0,nao,nao_monotonica
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.449695,0.022395,sim,plausivel
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.791603,-0.031897,sim,plausivel
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0,0.0,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.277369,-0.012031,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.309133,-0.153267,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.613528,-0.070872,sim,plausivel
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.192827,0.072827,sim,plausivel
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.317061,-0.021839,sim,plausivel
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,1.0,0.3649,sim,plausivel
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.509306,-0.027194,sim,plausivel
LUIS RAW||PEP||E1||c1,1,12,0.6814,1.0,0.3186,sim,plausivel
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0,0.0,sim,plausivel
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.504373,-0.163527,sim,plausivel
LUIS RAW||PEP||E1||c2,2,12,0.7848,1.0,0.2152,sim,plausivel
LUIS RAW||PET||C5||c1,1,8,0.2904,0.280708,-0.009692,sim,plausivel
LUIS RAW||PET||C5||c1,1,12,0.3475,0.343693,-0.003807,sim,plausivel
