analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.22513593875719642
Controle||None||B1||c1,1,12,0.2662,0.27346873171675473
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.4669384740393299
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,1.0
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.2570639182878407
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.30851969601317886
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.6403451540153914
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.2039255304029652
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.32105947714129845
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,1.0
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.49837670060299194
LUIS RAW||PEP||E1||c1,1,12,0.6814,1.0
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.5008598460616616
LUIS RAW||PEP||E1||c2,2,12,0.7848,1.0
LUIS RAW||PET||C5||c1,1,8,0.2904,0.2912818864066757
LUIS RAW||PET||C5||c1,1,12,0.3475,0.3501145454620505
LUIS RAW||PET||F2||c1,1,12,0.0212,0.5598570554570332
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,1.0
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.3765224380753483
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,1.0
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.5159805814117032
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7037758522461676
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.35627777188662096
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.533796451740021
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.5880312318506269
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.5845302087436757
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.7353123112826375
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.5686902145994579
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.9301662044586834
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.5710374868755513
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.6001738509354781
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.6936652073732139
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.12033064540790347
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,0.15955873752227
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.3821043386367578
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,0.09699294181091721
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,0.14945159154384494
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.4197380824856383
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.20862009899660686
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.30581563067249723
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,1.0
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.22176201879894478
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,0.5794,0.5372190106358963
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,0.003635850751484341
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,0.103,0.10988479255050572
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.448394727284629
Originais (1)||None||A1||c1,1,8,0.5074,0.5633996726694558
Originais (1)||None||A1||c1,1,12,0.7203,1.0
Originais (1)||None||A1||c1,1,24,1.0,1.0
Originais (1)||None||A1||c2,2,8,0.489,0.493112276322439
Originais (1)||None||A1||c2,2,12,0.7077,1.0
Originais (1)||None||A1||c2,2,24,1.0,1.0
Originais (1)||None||A5||c1,1,8,0.6163,0.5780009998993382
Originais (1)||None||A5||c1,1,12,0.8311,1.0
Originais (1)||None||A5||c1,1,24,1.0,1.0
Originais (1)||None||A5||c2,2,8,0.5978,0.5758702409989142
Originais (1)||None||A5||c2,2,12,0.8303,1.0
Originais (1)||None||A5||c2,2,24,1.0,1.0
Originais (1)||None||B5||c1,1,8,0.5039,0.5070851901589175
Originais (1)||None||B5||c1,1,12,0.6416,0.6429885120753859
Originais (1)||None||B5||c2,2,8,0.2352,0.44976599854693927
Originais (1)||None||B5||c2,2,12,0.2843,0.5615339598592355
Originais (1)||None||D1||c2,2,8,0.2561,0.4968739708283649
Originais (1)||None||D1||c2,2,12,0.432,1.0
P1|CT|F10,F10,48,1.0,1.0
P1|CT|F8,F8,24,1.0,1.0
P1|CT|F8,F8,48,1.0,1.0
P1|PTX|F2,F2,24,0.4384,0.49127046802642055
P1|PTX|F2,F2,48,0.7695,0.6991236855379406
P1|PTX|F9,F9,24,0.1489,0.17004050196817996
P1|PTX|F9,F9,48,0.4793,0.3268923174434959
P2|CARBO+GEO|F14,F14,48,0.4971,0.3740946852476755
P2|CARBO+GEO|F8,F8,24,0.5044,0.49549796160613496
P2|CARBO+GEO|F8,F8,48,0.5957,0.5817596138084377
P2|CARBO|F9,F9,24,0.5362,1.0
P2|CARBO|F9,F9,48,1.0,1.0
P2|CT|F9,F9,24,0.8479,0.8552811595445042
P2|CT|F9,F9,48,1.0,1.0
P2|GEO|F11,F11,24,0.4712,0.46299634337615353
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.6839125849710546
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0
Saudável||None||B1||c1,1,12,0.2474,-0.1651461402601612
Saudável||None||B1||c1,1,24,0.8772,1.0
Saudável||None||B1||c2,2,24,0.6237,0.6312439179126494
originais||None||A1||c1,1,8,0.4187,0.4083931699203807
originais||None||A1||c2,2,8,0.2655,0.29172364453361227
originais||None||B5||c1,1,24,0.4674,1.0
originais||None||D1||c1,1,8,0.4376,0.45668354719649545
originais||None||D1||c1,1,12,0.5513,0.5717086739621601
originais||None||D1||c1,1,24,0.8835,0.836923949224746
originais||None||D1||c2,2,8,0.4467,0.426021838856232
originais||None||D1||c2,2,12,0.5702,0.5497343819676126
originais||None||D1||c2,2,24,0.7929,0.8156088837461574
originais||None||D4||c1,1,8,0.6003,0.6090020433707641
originais||None||D4||c1,1,24,0.8093,1.0
