series_key,campo,timepoint_h,referencia,ai,diferenca,ai_serie_plausivel,ai_motivo
Controle||None||B1||c1,1,8,0.2067,0.229119,0.022419,sim,plausivel
Controle||None||B1||c1,1,12,0.2662,0.279184,0.012984,sim,plausivel
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.471579,0.044279,sim,plausivel
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,1.0,0.1765,sim,plausivel
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0,0.0,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,8,0.2894,0.239889,-0.049511,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,12,0.4624,0.316004,-0.146396,sim,plausivel
LUIS RAW||PEP+MET3||A6||c1,1,24,0.6844,0.607959,-0.076441,sim,plausivel
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.185834,0.065834,sim,plausivel
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.322759,-0.016141,sim,plausivel
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.615073,-0.020027,sim,plausivel
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.48566,-0.05084,sim,plausivel
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.56577,-0.11563,sim,plausivel
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0,0.0,sim,plausivel
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.496913,-0.170987,sim,plausivel
LUIS RAW||PEP||E1||c2,2,12,0.7848,1.0,0.2152,sim,plausivel
LUIS RAW||PET||C5||c1,1,8,0.2904,0.287085,-0.003315,sim,plausivel
LUIS RAW||PET||C5||c1,1,12,0.3475,0.347616,0.000116,sim,plausivel
LUIS RAW||PET||F2||c1,1,12,0.0212,0.528061,0.506861,sim,plausivel
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,1.0,0.137,sim,plausivel
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.386395,-0.036305,sim,plausivel
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.47092,-0.25338,sim,plausivel
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.517166,-0.031234,sim,plausivel
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.704311,-0.048789,sim,plausivel
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.354135,0.291435,sim,plausivel
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.401567,0.393367,sim,plausivel
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.585565,0.001165,sim,plausivel
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.579382,-0.013718,sim,plausivel
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.734421,0.008921,sim,plausivel
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.571282,-0.032718,sim,plausivel
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.934502,0.058302,sim,plausivel
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.576741,-0.017459,sim,plausivel
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.601368,-0.013332,sim,plausivel
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.69379,-0.00431,sim,plausivel
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.119646,0.037646,sim,plausivel
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,0.153267,0.035867,sim,plausivel
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.37285,-0.00645,sim,plausivel
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,0.096225,-0.012675,sim,plausivel
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,0.147138,0.006638,sim,plausivel
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.456121,0.002421,sim,plausivel
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.209461,-0.021939,sim,plausivel
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.302311,0.006411,sim,plausivel
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,0.1529,-0.0772,sim,plausivel
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.216976,0.001276,sim,plausivel
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,0.5794,0.538831,-0.040569,sim,plausivel
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,0.002955,0.029555,sim,plausivel
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,0.103,0.11685,0.01385,sim,plausivel
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.446996,0.009896,sim,plausivel
Originais (1)||None||A1||c1,1,8,0.5074,0.569935,0.062535,sim,plausivel
Originais (1)||None||A1||c1,1,12,0.7203,1.0,0.2797,sim,plausivel
Originais (1)||None||A1||c1,1,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||A1||c2,2,8,0.489,0.495482,0.006482,sim,plausivel
Originais (1)||None||A1||c2,2,12,0.7077,1.0,0.2923,sim,plausivel
Originais (1)||None||A1||c2,2,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||A5||c1,1,8,0.6163,0.59099,-0.02531,sim,plausivel
Originais (1)||None||A5||c1,1,12,0.8311,1.0,0.1689,sim,plausivel
Originais (1)||None||A5||c1,1,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||A5||c2,2,8,0.5978,0.576078,-0.021722,sim,plausivel
Originais (1)||None||A5||c2,2,12,0.8303,1.0,0.1697,sim,plausivel
Originais (1)||None||A5||c2,2,24,1.0,1.0,0.0,sim,plausivel
Originais (1)||None||B5||c1,1,8,0.5039,0.509972,0.006072,sim,plausivel
Originais (1)||None||B5||c1,1,12,0.6416,0.645977,0.004377,sim,plausivel
Originais (1)||None||B5||c2,2,8,0.2352,0.449198,0.213998,sim,plausivel
Originais (1)||None||B5||c2,2,12,0.2843,0.567122,0.282822,sim,plausivel
Originais (1)||None||D1||c2,2,8,0.2561,0.503851,0.247751,sim,plausivel
Originais (1)||None||D1||c2,2,12,0.432,1.0,0.568,sim,plausivel
P1|CT|F10,F10,48,1.0,1.0,0.0,sim,plausivel
P1|CT|F8,F8,24,1.0,1.0,0.0,sim,plausivel
P1|CT|F8,F8,48,1.0,1.0,0.0,sim,plausivel
P1|PTX|F2,F2,24,0.4384,0.498379,0.059979,sim,plausivel
P1|PTX|F2,F2,48,0.7695,0.70024,-0.06926,sim,plausivel
P1|PTX|F9,F9,24,0.1489,0.16207,0.01317,sim,plausivel
P1|PTX|F9,F9,48,0.4793,0.316525,-0.162775,sim,plausivel
P2|CARBO+GEO|F14,F14,48,0.4971,0.372714,-0.124386,sim,plausivel
P2|CARBO+GEO|F8,F8,24,0.5044,0.460421,-0.043979,sim,plausivel
P2|CARBO+GEO|F8,F8,48,0.5957,0.542899,-0.052801,sim,plausivel
P2|CARBO|F9,F9,24,0.5362,0.438335,-0.097865,sim,plausivel
P2|CARBO|F9,F9,48,1.0,1.0,0.0,sim,plausivel
P2|CT|F9,F9,24,0.8479,0.857068,0.009168,sim,plausivel
P2|CT|F9,F9,48,1.0,1.0,0.0,sim,plausivel
P2|GEO|F11,F11,24,0.4712,0.457115,-0.014085,sim,plausivel
Pré-Eclâmpsia||None||B6||c1,1,12,0.7135,0.874432,0.160932,sim,plausivel
Pré-Eclâmpsia||None||B6||c1,1,24,1.0,1.0,0.0,sim,plausivel
Saudável||None||B1||c1,1,12,0.2474,-0.160038,-0.407438,nao,"fora_[0,1]+nao_monotonica"
Saudável||None||B1||c1,1,24,0.8772,1.0,0.1228,nao,"fora_[0,1]+nao_monotonica"
Saudável||None||B1||c2,2,24,0.6237,0.637704,0.014004,sim,plausivel
originais||None||A1||c1,1,8,0.4187,0.409064,-0.009636,sim,plausivel
originais||None||A1||c2,2,8,0.2655,0.294801,0.029301,sim,plausivel
originais||None||B5||c1,1,24,0.4674,1.0,0.5326,sim,plausivel
originais||None||D1||c1,1,8,0.4376,0.454144,0.016544,sim,plausivel
originais||None||D1||c1,1,12,0.5513,0.576125,0.024825,sim,plausivel
originais||None||D1||c1,1,24,0.8835,1.0,0.1165,sim,plausivel
originais||None||D1||c2,2,8,0.4467,0.434721,-0.011979,sim,plausivel
originais||None||D1||c2,2,12,0.5702,0.550831,-0.019369,sim,plausivel
originais||None||D1||c2,2,24,0.7929,0.818285,0.025385,sim,plausivel
originais||None||D4||c1,1,8,0.6003,0.606683,0.006383,sim,plausivel
originais||None||D4||c1,1,24,0.8093,1.0,0.1907,sim,plausivel
