analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.20668582113376202
Controle||None||B1||c1,1,12,0.2662,0.26615588087745695
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.42733323756165303
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.8235406790212135
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.11995998434169888
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.3388717324170328
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.6351180896872689
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.5364556078841792
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.6814058956916099
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.6678564806230299
LUIS RAW||PEP||E1||c2,2,12,0.7848,0.7847672909326905
LUIS RAW||PET||C5||c1,1,8,0.2904,0.2904469513065829
LUIS RAW||PET||C5||c1,1,12,0.3475,0.34747013184825554
LUIS RAW||PET||F2||c1,1,12,0.0212,0.021239597565519734
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,0.8630232309174606
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.4226602271243963
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.7242744637340643
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.548436046796221
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7531450389152675
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.06272651240591029
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.008224142737663876
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.584439641864773
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.5931460327261501
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.725532571781414
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.6039940514127894
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.8761773245520855
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.5942017619533109
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.6146707447781873
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.6981151805087182
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.08202108722442834
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,0.11739467798621568
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.3793418229951161
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,0.10891980360065477
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,0.1405482815057284
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.45368248772504094
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.23142661094130118
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.29586426299045593
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,0.23012856344326443
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.21570709893795414
