analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.10596221885225186
Controle||None||B1||c1,1,12,0.2662,0.10090418863284038
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.3811320830564009
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.7954542214410126
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.031285555507843635
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.20982596805690668
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.5128557294569569
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.48342444950712793
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.619486274982037
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.6253531920666304
LUIS RAW||PEP||E1||c2,2,12,0.7848,0.7498812070851103
LUIS RAW||PET||C5||c1,1,8,0.2904,0.20948724448097863
LUIS RAW||PET||C5||c1,1,12,0.3475,0.23348306568340155
LUIS RAW||PET||F2||c1,1,12,0.0212,-0.14647094247106784
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,0.8425543037999775
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.3401970420742803
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.6705612515351896
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.5017436003752994
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7181569714827032
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,-0.03591775308058555
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,-0.12392743143212707
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.5554257194020834
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.538654020116739
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.6320977452753685
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.566156383904084
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.8317193636270834
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.5430332697926566
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.5415464617355641
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.597534113463727
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,-0.014319302334365847
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,-0.016605994798113446
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.18446613175294277
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,-0.016172523980384074
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,-0.027864453367665926
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.261516215547098
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.12673372344919953
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.16606689699481542
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,0.12751400473561966
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.04679773010496037
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,0.5794,0.41312356586072635
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,-0.12906602066999118
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,0.103,-0.03135306616885268
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.25122332116082163
Originais (1)||None||A1||c1,1,8,0.5074,0.44576150308137574
Originais (1)||None||A1||c1,1,12,0.7203,0.6572115116232639
Originais (1)||None||A1||c1,1,24,1.0,1.0
Originais (1)||None||A1||c2,2,8,0.489,0.4241218777431302
Originais (1)||None||A1||c2,2,12,0.7077,0.6526972846008258
Originais (1)||None||A1||c2,2,24,1.0,1.0
