series_key,campo,timepoint_h,referencia,ai,diferenca
Controle||None||B1||c1,1,8,0.2067,0.195562,-0.011138
Controle||None||B1||c1,1,12,0.2662,0.218503,-0.047697
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.454692,0.027392
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.827065,0.003565
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0,0.0
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.138783,0.018783
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.321812,-0.017088
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.641176,0.006076
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.537877,0.001377
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.673465,-0.007935
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0,0.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.662833,-0.005067
LUIS RAW||PEP||E1||c2,2,12,0.7848,0.788303,0.003503
LUIS RAW||PET||C5||c1,1,8,0.2904,0.292888,0.002488
LUIS RAW||PET||C5||c1,1,12,0.3475,0.347732,0.000232
LUIS RAW||PET||F2||c1,1,12,0.0212,0.02579,0.00459
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,0.867466,0.004466
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.402058,-0.020642
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.717196,-0.007104
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.556505,0.008105
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.763657,0.010557
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.0769,0.0142
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.060331,0.052131
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.610372,0.025972
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.614296,0.021196
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.728429,0.002929
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.61525,0.01125
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.87493,-0.00127
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.589072,-0.005128
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.607417,-0.007283
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.703749,0.005649
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.096373,0.014373
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,0.143331,0.025931
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.404012,0.024712
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,0.080409,-0.028491
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,0.117459,-0.023041
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.452617,-0.001083
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.211165,-0.020235
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.28744,-0.00846
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,0.212726,-0.017374
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.174791,-0.040909
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,0.5794,0.557937,-0.021463
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,-0.003517,0.023083
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,12,0.103,0.131702,0.028702
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,24,0.4371,0.449409,0.012309
Originais (1)||None||A1||c1,1,8,0.5074,0.501709,-0.005691
