analysis_unit,campo,timepoint_h,imagej,ai
Controle||None||B1||c1,1,8,0.2067,0.19556209127532964
Controle||None||B1||c1,1,12,0.2662,0.21850306940635236
LUIS RAW||PEP+GB||A3||c2,2,8,0.4273,0.4546917757612258
LUIS RAW||PEP+GB||A3||c2,2,12,0.8235,0.8270653598979065
LUIS RAW||PEP+GB||A3||c2,2,24,1.0,1.0
LUIS RAW||PEP+MET3||A6||c2,2,8,0.12,0.13878327618504882
LUIS RAW||PEP+MET3||A6||c2,2,12,0.3389,0.3218118022144584
LUIS RAW||PEP+MET3||A6||c2,2,24,0.6351,0.6411764352875564
LUIS RAW||PEP||E1||c1,1,8,0.5365,0.5378771789749891
LUIS RAW||PEP||E1||c1,1,12,0.6814,0.6734654205930187
LUIS RAW||PEP||E1||c1,1,24,1.0,1.0
LUIS RAW||PEP||E1||c2,2,8,0.6679,0.6628332385920077
LUIS RAW||PEP||E1||c2,2,12,0.7848,0.7883028344863448
LUIS RAW||PET||C5||c1,1,8,0.2904,0.2928880238396591
LUIS RAW||PET||C5||c1,1,12,0.3475,0.3477320362153009
LUIS RAW||PET||F2||c1,1,12,0.0212,0.02579017073408168
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,1,12,0.863,0.867466156012617
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,8,0.4227,0.40205816596252264
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,2,12,0.7243,0.7171964463983193
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,8,0.5484,0.5565046529515876
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,1,12,0.7531,0.7636569591467651
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,8,0.0627,0.07689968451927309
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,2,12,0.0082,0.06033059354126372
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,8,0.5844,0.6103721314007302
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,12,0.5931,0.6142962616048104
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,1,24,0.7255,0.7284289808325539
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,8,0.604,0.6152495563920641
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,2,24,0.8762,0.8749304639294004
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,8,0.5942,0.5890715130047939
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,12,0.6147,0.6074165832743879
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,2,24,0.6981,0.7037489558980099
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,8,0.082,0.09637326374083019
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,12,0.1174,0.14333115497427645
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,1,24,0.3793,0.4040123409470495
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,8,0.1089,0.08040934282048595
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,12,0.1405,0.11745896770502882
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,2,24,0.4537,0.452616645277263
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,8,0.2314,0.21116450974979006
Migração (PET e PEP) n3 - RAW||None||D1||c1,1,12,0.2959,0.28743998287237094
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,8,0.2301,0.21272637464711636
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,12,0.2157,0.17479118930471813
Migração (PET e PEP) n3 - RAW||None||D1||c2,2,24,0.5794,0.557936814912701
Migração (PET e PEP) n3 - RAW||None||D4||c1,1,8,-0.0266,-0.003516586363632642
