run,braco,ponto,arquivo,iou,pred_vazia,tem_ferida
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,0.970462,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,0.96725,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,0.973594,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,0.975075,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,0.916214,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,0.0,1,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 12HR 2_png.rf.6p7F3HADokVM7aGI7thQ.png,0.871908,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,0.91621,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 12hr 1_png.rf.hPnekH9tRkKoF84Y4HTD.png,0.932875,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 12hr 2_png.rf.Zc7e1rWOmWcCj4dykv3Z.png,0.916836,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 24HR 1_png.rf.1ApDRLrpQqSCaPcShIOu.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 24HR 1_png.rf.psHGzfQFFYu0q9OMf12P.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 24HR 2_png.rf.8ZCo4suYfwAmYJVAdrgi.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 24HR 2_png.rf.QvfIHR0lQkYJbWTuhsBX.png,0.797522,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 24h 1_png.rf.TlQXP6CHdUFWS07zQImN.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 24h 2_png.rf.o9mYSgMZsKvkMpLuHnpZ.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 24hr 1_png.rf.LkrEN1mHJhJhYU2lmydg.png,0.830447,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,0.900877,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 8HR 1_png.rf.VABkXkmpYjE9yLo5gSBX.png,0.900575,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 8HR 2_png.rf.bvjlWbubzYS3fVyOKsCU.png,0.916523,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A1 8HR 2_png.rf.emd32984S6mQhEIM0RXU.png,0.960188,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A2 0H 2_png.rf.wLkBHcGvevKm0A73Vxcz.png,0.97298,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A2 12H 1_png.rf.xnmVBn7WXmT4yiy3UMlx.png,0.935278,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A2 12H 2_png.rf.N7tpAQyq0PEGrhaTGLJT.png,0.963432,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,0.925268,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,0.942268,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A2 8H 1_png.rf.xvZ2Owwq7kfNeQBUdLj1.png,0.93226,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A2 8H 2_png.rf.7oLJskKDBKhwtDpwzZqy.png,0.939206,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A3 0H 1_png.rf.4oL1M95z5XQoppHkibCl.png,0.435775,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A3 0H 2_png.rf.QDCtQGDH1pznmeHT0BNJ.png,0.973197,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A3 12H 1_png.rf.TU0BGVsD3XJqPwGYBsiu.png,0.919556,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A3 12H 2_png.rf.r5xe4JQ4Ecgyw1raWv4H.png,0.874321,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A3 24H 1_png.rf.tfdHOCRouEH53EDqy7G0.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A3 24H 2_png.rf.TOtRUqMkxCrasCpSjZKO.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A3 8H 1_png.rf.d60KhXvDmSmp3Oia8S8T.png,0.778245,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A3 8H 2_png.rf.B5nEx5FtZ9JTiEjZrHJb.png,0.897837,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 0HR 1_png.rf.ckTpizxWhCzqrJmwetqV.png,0.976986,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 0HR 2_png.rf.C9gm2A2fkupz9aW1u7b9.png,0.978867,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 12HR 1_png.rf.1xA3zwCvRWDQRrGvHIhA.png,0.941102,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,0.0,1,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 12HR 2_png.rf.mzYpTwvbQHLWffHAkMOe.png,0.925771,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 12HR 2_png.rf.rAr8U7x7uLNYSny2Orvg.png,0.904569,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 24HR 1_png.rf.CpfIcPI5krfxTtJFGjKH.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,0.0,1,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 24HR 2_png.rf.JBrJ8KO8uH9Jn3iTJvZf.png,1.0,1,0
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 24HR 2_png.rf.xE7wqG2pbN9OFXjVvNjl.png,0.885431,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,0.941051,0,1
yolo11m-seg_black_coco_seed42,YOLO M,conf=0.8,A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,0.885987,0,1
