config,device,params_M,mediana_ms,p90_ms,img_por_s,peso_MB,n
S,cpu,10.1,174.49,189.32,5.731,20.5,40
M,cpu,22.4,345.35,358.71,2.896,45.2,40
X,cpu,62.1,698.7,745.99,1.431,124.8,40
M-white,cpu,22.4,333.72,351.54,2.996,45.2,40
M-scratch,cpu,22.4,332.77,349.82,3.005,45.2,40
U-Net,cpu,31.0,1603.73,1652.94,0.624,124.2,40
S,cuda,10.1,84.8,96.36,11.793,20.5,40
M,cuda,22.4,91.96,106.53,10.874,45.2,40
X,cuda,62.1,112.09,130.21,8.921,124.8,40
M-white,cuda,22.4,92.64,105.33,10.795,45.2,40
M-scratch,cuda,22.4,87.49,106.62,11.429,45.2,40
U-Net,cuda,31.0,164.69,188.15,6.072,124.2,40
