run,limiar,arquivo,area_px,iou,vazia,tem_ferida
unet_black_seed42,0.05,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,785781,0.961029,0,1
unet_black_seed42,0.1,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,779035,0.971347,0,1
unet_black_seed42,0.2,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,773020,0.975093,0,1
unet_black_seed42,0.3,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,769241,0.976454,0,1
unet_black_seed42,0.4,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,766297,0.977328,0,1
unet_black_seed42,0.5,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,763796,0.97778,0,1
unet_black_seed42,0.6,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,761178,0.977779,0,1
unet_black_seed42,0.7,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,758290,0.978154,0,1
unet_black_seed42,0.8,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,755228,0.977503,0,1
unet_black_seed42,0.9,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,750012,0.975529,0,1
unet_black_seed42,0.95,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,742824,0.970911,0,1
unet_black_seed42,0.98,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,731771,0.960743,0,1
unet_black_seed42,0.99,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,719324,0.945876,0,1
unet_black_seed42,0.995,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,700661,0.92203,0,1
unet_black_seed42,0.999,A1 0HR 1_png.rf.F8WfJZAyU8hXcsKytbcA.png,554936,0.730454,0,1
unet_black_seed42,0.05,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,620187,0.961271,0,1
unet_black_seed42,0.1,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,612228,0.97029,0,1
unet_black_seed42,0.2,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,605530,0.974918,0,1
unet_black_seed42,0.3,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,601644,0.976127,0,1
unet_black_seed42,0.4,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,598949,0.976934,0,1
unet_black_seed42,0.5,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,595828,0.976683,0,1
unet_black_seed42,0.6,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,592439,0.97599,0,1
unet_black_seed42,0.7,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,589799,0.975095,0,1
unet_black_seed42,0.8,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,586313,0.973091,0,1
unet_black_seed42,0.9,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,580982,0.967128,0,1
unet_black_seed42,0.95,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,574018,0.958233,0,1
unet_black_seed42,0.98,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,563077,0.941546,0,1
unet_black_seed42,0.99,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,552259,0.923749,0,1
unet_black_seed42,0.995,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,538401,0.900611,0,1
unet_black_seed42,0.999,A1 0HR 1_png.rf.bBmfdS8DK3Ixtw1fZ9P3.png,460142,0.769572,0,1
unet_black_seed42,0.05,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,889758,0.974414,0,1
unet_black_seed42,0.1,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,881119,0.978142,0,1
unet_black_seed42,0.2,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,872729,0.978415,0,1
unet_black_seed42,0.3,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,867615,0.976673,0,1
unet_black_seed42,0.4,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,863739,0.97476,0,1
unet_black_seed42,0.5,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,860094,0.973044,0,1
unet_black_seed42,0.6,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,856190,0.970232,0,1
unet_black_seed42,0.7,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,852255,0.967233,0,1
unet_black_seed42,0.8,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,847614,0.96338,0,1
unet_black_seed42,0.9,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,839911,0.956577,0,1
unet_black_seed42,0.95,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,829110,0.945996,0,1
unet_black_seed42,0.98,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,811551,0.927497,0,1
unet_black_seed42,0.99,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,792199,0.906216,0,1
unet_black_seed42,0.995,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,753134,0.862049,0,1
unet_black_seed42,0.999,A1 0HR 2_png.rf.hVdiwx06lI7rOZ5rr9vC.png,432708,0.495266,0,1
unet_black_seed42,0.05,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,912704,0.971651,0,1
unet_black_seed42,0.1,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,904092,0.974054,0,1
unet_black_seed42,0.2,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,896006,0.975296,0,1
unet_black_seed42,0.3,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,891263,0.974543,0,1
unet_black_seed42,0.4,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,887783,0.973483,0,1
unet_black_seed42,0.5,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,884175,0.97218,0,1
unet_black_seed42,0.6,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,881017,0.970992,0,1
unet_black_seed42,0.7,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,877267,0.969198,0,1
unet_black_seed42,0.8,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,873105,0.966669,0,1
unet_black_seed42,0.9,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,866608,0.96234,0,1
unet_black_seed42,0.95,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,857647,0.954995,0,1
unet_black_seed42,0.98,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,840973,0.939129,0,1
unet_black_seed42,0.99,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,821758,0.918109,0,1
unet_black_seed42,0.995,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,784206,0.875979,0,1
unet_black_seed42,0.999,A1 0HR 2_png.rf.wFANdrijgcCbWaNPdyi0.png,503167,0.561749,0,1
unet_black_seed42,0.05,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,308103,0.88866,0,1
unet_black_seed42,0.1,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,295691,0.905149,0,1
unet_black_seed42,0.2,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,284675,0.912194,0,1
unet_black_seed42,0.3,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,278423,0.913135,0,1
unet_black_seed42,0.4,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,273612,0.911259,0,1
unet_black_seed42,0.5,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,270063,0.907572,0,1
unet_black_seed42,0.6,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,266129,0.902911,0,1
unet_black_seed42,0.7,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,261806,0.89557,0,1
unet_black_seed42,0.8,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,256823,0.885811,0,1
unet_black_seed42,0.9,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,248324,0.866907,0,1
unet_black_seed42,0.95,A1 12HR 1_png.rf.8FGxD5kQMiDucxJswxPl.png,238040,0.836629,0,1
