run,limiar,n_pos,n_neg,tp,fp,fn,recall,precisao,iou_medio_pos
unet_black_seed42,0.05,205,29,205,9,0,1.0,0.957944,0.844434
unet_black_seed42,0.1,205,29,205,9,0,1.0,0.957944,0.853564
unet_black_seed42,0.2,205,29,205,9,0,1.0,0.957944,0.857116
unet_black_seed42,0.3,205,29,205,9,0,1.0,0.957944,0.857132
unet_black_seed42,0.4,205,29,205,9,0,1.0,0.957944,0.8562
unet_black_seed42,0.5,205,29,205,9,0,1.0,0.957944,0.854376
unet_black_seed42,0.6,205,29,205,9,0,1.0,0.957944,0.85182
unet_black_seed42,0.7,205,29,205,8,0,1.0,0.962441,0.848199
unet_black_seed42,0.8,205,29,205,7,0,1.0,0.966981,0.841909
unet_black_seed42,0.9,205,29,205,6,0,1.0,0.971564,0.824163
unet_black_seed42,0.95,205,29,205,5,0,1.0,0.97619,0.791204
unet_black_seed42,0.98,205,29,205,4,0,1.0,0.980861,0.727842
unet_black_seed42,0.99,205,29,203,3,2,0.990244,0.985437,0.656924
unet_black_seed42,0.995,205,29,202,2,3,0.985366,0.990196,0.560311
unet_black_seed42,0.999,205,29,184,0,21,0.897561,1.0,0.289172
unet_black_seed43,0.05,205,29,205,7,0,1.0,0.966981,0.847638
unet_black_seed43,0.1,205,29,205,7,0,1.0,0.966981,0.862449
unet_black_seed43,0.2,205,29,205,7,0,1.0,0.966981,0.86866
unet_black_seed43,0.3,205,29,205,6,0,1.0,0.971564,0.87029
unet_black_seed43,0.4,205,29,205,5,0,1.0,0.97619,0.870467
unet_black_seed43,0.5,205,29,205,5,0,1.0,0.97619,0.869964
unet_black_seed43,0.6,205,29,205,5,0,1.0,0.97619,0.868844
unet_black_seed43,0.7,205,29,205,5,0,1.0,0.97619,0.866594
unet_black_seed43,0.8,205,29,205,5,0,1.0,0.97619,0.861614
unet_black_seed43,0.9,205,29,204,3,1,0.995122,0.985507,0.84671
unet_black_seed43,0.95,205,29,204,2,1,0.995122,0.990291,0.819203
unet_black_seed43,0.98,205,29,204,1,1,0.995122,0.995122,0.755671
