run,conf,recall,precisao,iou_medio_pos,fn,fp,recall_0-2.5%,recall_2.5-5%,recall_5-10%,recall_10-100%
yolo11m-seg_black_coco_seed42,0.2,1.0,0.985577,0.884829,0,3,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed42,0.25,1.0,0.995146,0.886718,0,1,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed42,0.3,1.0,0.995146,0.889109,0,1,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed42,0.35,0.995122,1.0,0.889384,1,0,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed42,0.4,0.995122,1.0,0.889029,1,0,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed42,0.45,0.995122,1.0,0.888985,1,0,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed42,0.5,0.995122,1.0,0.888283,1,0,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed42,0.55,0.995122,1.0,0.888283,1,0,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed42,0.6,0.990244,1.0,0.887073,2,0,0.0,1.0,1.0,0.992593
yolo11m-seg_black_coco_seed42,0.65,0.97561,1.0,0.87623,5,0,0.0,1.0,0.980392,0.977778
yolo11m-seg_black_coco_seed42,0.7,0.960976,1.0,0.866122,8,0,0.0,0.944444,0.960784,0.97037
yolo11m-seg_black_coco_seed42,0.75,0.941463,1.0,0.847808,12,0,0.0,0.833333,0.921569,0.97037
yolo11m-seg_black_coco_seed42,0.8,0.892683,1.0,0.810992,22,0,0.0,0.555556,0.882353,0.948148
yolo11m-seg_black_coco_seed42,0.85,0.746341,1.0,0.688414,52,0,0.0,0.222222,0.686275,0.844444
yolo11m-seg_black_coco_seed42,0.9,0.492683,1.0,0.464163,104,0,0.0,0.0,0.176471,0.681481
yolo11m-seg_black_coco_seed42,0.95,0.009756,1.0,0.009414,203,0,0.0,0.0,0.0,0.014815
yolo11m-seg_black_coco_seed43,0.2,1.0,0.971564,0.884571,0,6,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed43,0.25,1.0,0.97619,0.88388,0,5,1.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed43,0.3,0.995122,0.980769,0.882079,1,4,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed43,0.35,0.995122,0.985507,0.883428,1,3,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed43,0.4,0.990244,0.990244,0.880145,2,2,0.0,1.0,0.980392,1.0
yolo11m-seg_black_coco_seed43,0.45,0.990244,1.0,0.880836,2,0,0.0,1.0,0.980392,1.0
yolo11m-seg_black_coco_seed43,0.5,0.985366,1.0,0.876941,3,0,0.0,0.944444,0.980392,1.0
yolo11m-seg_black_coco_seed43,0.55,0.980488,1.0,0.87095,4,0,0.0,0.888889,0.980392,1.0
yolo11m-seg_black_coco_seed43,0.6,0.980488,1.0,0.870219,4,0,0.0,0.888889,0.980392,1.0
yolo11m-seg_black_coco_seed43,0.65,0.965854,1.0,0.858665,7,0,0.0,0.833333,0.941176,1.0
yolo11m-seg_black_coco_seed43,0.7,0.960976,1.0,0.853313,8,0,0.0,0.833333,0.921569,1.0
yolo11m-seg_black_coco_seed43,0.75,0.941463,1.0,0.831089,12,0,0.0,0.833333,0.862745,0.992593
yolo11m-seg_black_coco_seed43,0.8,0.843902,1.0,0.756218,32,0,0.0,0.611111,0.745098,0.918519
yolo11m-seg_black_coco_seed43,0.85,0.62439,1.0,0.58046,77,0,0.0,0.166667,0.411765,0.77037
yolo11m-seg_black_coco_seed43,0.9,0.253659,1.0,0.243761,153,0,0.0,0.0,0.019608,0.377778
yolo11m-seg_black_coco_seed43,0.95,0.0,nan,0.0,205,0,0.0,0.0,0.0,0.0
yolo11m-seg_black_coco_seed44,0.2,0.995122,0.980769,0.893971,1,4,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed44,0.25,0.995122,0.995122,0.892589,1,1,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed44,0.3,0.995122,0.995122,0.893175,1,1,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed44,0.35,0.995122,1.0,0.8932,1,0,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed44,0.4,0.995122,1.0,0.893457,1,0,0.0,1.0,1.0,1.0
yolo11m-seg_black_coco_seed44,0.45,0.990244,1.0,0.889592,2,0,0.0,1.0,1.0,0.992593
yolo11m-seg_black_coco_seed44,0.5,0.990244,1.0,0.889622,2,0,0.0,1.0,1.0,0.992593
yolo11m-seg_black_coco_seed44,0.55,0.985366,1.0,0.884824,3,0,0.0,1.0,0.980392,0.992593
yolo11m-seg_black_coco_seed44,0.6,0.980488,1.0,0.880459,4,0,0.0,0.944444,0.980392,0.992593
