series_key,cell_line,analysis_unit,campo,well,timepoints_atuais,causa,n_candidatos_crus,candidatos
Controle||None||A1||c1,HUVEC,Controle||None||A1,1,A1,12;24,t0 ausente do pipeline,0,
Controle||None||A1||c2,HUVEC,Controle||None||A1,2,A1,12;24,t0 ausente do pipeline,0,
LUIS RAW||PET||C5||c2,HUVEC,LUIS RAW||PET||C5,2,C5,12,t0 ausente do pipeline,1,LUIS RAW\PET\0h\C5 0H 2.tiff
LUIS RAW||PET||F2||c2,HUVEC,LUIS RAW||PET||F2,2,F2,8;12,t0 ausente do pipeline,1,LUIS RAW\PET\0h\F2 0H 2.tiff
Migração (PET e PEP) n2 - RAW||PEP||A2||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,1,A2,12;24,t0 ausente do pipeline,1,Migração (PET e PEP) n2 - RAW\PEP\0h\A2 0H 1.tiff
Originais (1)||None||B5||c24,HUVEC,Originais (1)||None||B5,24,B5,24,t0 ausente do pipeline,0,
Pré-Eclâmpsia||None||B6||c2,HUVEC,Pré-Eclâmpsia||None||B6,2,B6,12,t0 ausente do pipeline,0,
originais||None||A5||c2,HUVEC,originais||None||A5,2,A5,12;24,t0 ausente do pipeline,1,originais\0hr\A5 0HR 2.tiff
originais||None||B5||c2,HUVEC,originais||None||B5,2,B5,8;12,t0 ausente do pipeline,1,originais\0hr\B5 0HR 2.tiff
P1|GEO+PTX|F1,SKOV-3,P1|GEO+PTX|F1,F1,F1,24;48;72,t0 ausente do pipeline,0,
P1|GEO+PTX|F6,SKOV-3,P1|GEO+PTX|F6,F6,F6,24;72,t0 ausente do pipeline,0,
P1|GEO|F11,SKOV-3,P1|GEO|F11,F11,F11,24;48;72,t0 ausente do pipeline,0,
P1|GEO|F6,SKOV-3,P1|GEO|F6,F6,F6,24;48;72,t0 ausente do pipeline,0,
P2|GEO|F8,SKOV-3,P2|GEO|F8,F8,F8,24,t0 presente porem invalido (IMG_INVALIDA),0,
