series_key,cell_line,analysis_unit,campo,n_timepoints,timepoints,area0_pct,closure_seq,closure_final,analisavel,motivo,procedencia_area,baseline_emprestado
Controle||None||A1||c1,HUVEC,Controle||None||A1,1,2,12;24,,,,nao,sem_baseline,automatica,nao
Controle||None||A1||c2,HUVEC,Controle||None||A1,2,2,12;24,,,,nao,sem_baseline,automatica,nao
Controle||None||B1||c1,HUVEC,Controle||None||B1,1,3,0;8;12,21.927,0h:0.0000;8h:0.2067;12h:0.2662,0.2662,sim,plausivel,corrigida,nao
Controle||None||B1||c2,HUVEC,Controle||None||B1,2,2,0;8,24.332,0h:0.0000;8h:-0.0727,-0.0727,nao,"fora_[0,1]",mista,nao
LUIS RAW||PEP+GB||A3||c1,HUVEC,LUIS RAW||PEP+GB||A3,1,4,0;8;12;24,20.883,0h:0.0000;8h:0.7592;12h:0.8050;24h:1.0000,1.0,sim,plausivel,corrigida,sim(c2)
LUIS RAW||PEP+GB||A3||c2,HUVEC,LUIS RAW||PEP+GB||A3,2,4,0;8;12;24,20.883,0h:0.0000;8h:0.4273;12h:0.8235;24h:1.0000,1.0,sim,plausivel,corrigida,nao
LUIS RAW||PEP+MCC||B4||c1,HUVEC,LUIS RAW||PEP+MCC||B4,1,4,0;8;12;24,13.261,0h:0.0000;8h:-0.1059;12h:0.9194;24h:0.4658,0.4658,nao,"fora_[0,1]+nao_monotonica",mista,nao
LUIS RAW||PEP+MCC||B4||c2,HUVEC,LUIS RAW||PEP+MCC||B4,2,4,0;8;12;24,13.261,0h:0.0000;8h:0.7482;12h:-0.0460;24h:1.0000,1.0,nao,nao_monotonica,corrigida,sim(c1)
LUIS RAW||PEP+MET3||A6||c1,HUVEC,LUIS RAW||PEP+MET3||A6,1,4,0;8;12;24,22.991,0h:0.0000;8h:0.2894;12h:0.4624;24h:0.6844,0.6844,sim,plausivel,mista,sim(c2)
LUIS RAW||PEP+MET3||A6||c2,HUVEC,LUIS RAW||PEP+MET3||A6,2,4,0;8;12;24,22.991,0h:0.0000;8h:0.1200;12h:0.3389;24h:0.6351,0.6351,sim,plausivel,corrigida,nao
LUIS RAW||PEP||E1||c1,HUVEC,LUIS RAW||PEP||E1,1,4,0;8;12;24,22.932,0h:0.0000;8h:0.5365;12h:0.6814;24h:1.0000,1.0,sim,plausivel,corrigida,nao
LUIS RAW||PEP||E1||c2,HUVEC,LUIS RAW||PEP||E1,2,3,0;8;12,21.572,0h:0.0000;8h:0.6679;12h:0.7848,0.7848,sim,plausivel,mista,nao
LUIS RAW||PET||C5||c1,HUVEC,LUIS RAW||PET||C5,1,3,0;8;12,21.009,0h:0.0000;8h:0.2904;12h:0.3475,0.3475,sim,plausivel,corrigida,nao
LUIS RAW||PET||C5||c2,HUVEC,LUIS RAW||PET||C5,2,2,0;12,21.009,0h:0.0000;12h:0.5293,0.5293,sim,plausivel,automatica,sim(c1)
LUIS RAW||PET||F2||c1,HUVEC,LUIS RAW||PET||F2,1,2,0;12,24.153,0h:0.0000;12h:0.0212,0.0212,sim,plausivel,automatica,nao
LUIS RAW||PET||F2||c2,HUVEC,LUIS RAW||PET||F2,2,3,0;8;12,24.153,0h:0.0000;8h:0.4188;12h:-0.0567,-0.0567,nao,"fora_[0,1]+nao_monotonica",automatica,sim(c1)
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c1,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,1,2,0;12,18.682,0h:0.0000;12h:0.8630,0.863,sim,plausivel,corrigida,nao
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4||c2,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,2,3,0;8;12,22.983,0h:0.0000;8h:0.4227;12h:0.7243,0.7243,sim,plausivel,corrigida,nao
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c1,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,1,3,0;8;12,20.429,0h:0.0000;8h:0.5484;12h:0.7531,0.7531,sim,plausivel,corrigida,nao
Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5||c2,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,2,3,0;8;12,64.566,0h:0.0000;8h:0.0627;12h:0.0082,0.0082,sim,plausivel,automatica,nao
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,1,4,0;8;12;24,32.39,0h:0.0000;8h:0.5844;12h:0.5931;24h:0.7255,0.7255,sim,plausivel,corrigida,nao
Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,2,3,0;8;24,28.242,0h:0.0000;8h:0.6040;24h:0.8762,0.8762,sim,plausivel,corrigida,nao
Migração (PET e PEP) n2 - RAW||PEP||A2||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,1,3,0;12;24,38.253,0h:0.0000;12h:-0.3884;24h:-0.8366,-0.8366,nao,"fora_[0,1]+nao_monotonica",automatica,sim(c2)
Migração (PET e PEP) n2 - RAW||PEP||A2||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PEP||A2,2,4,0;8;12;24,38.253,0h:0.0000;8h:0.5942;12h:0.6147;24h:0.6981,0.6981,sim,plausivel,corrigida,nao
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c1,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,1,4,0;8;12;24,21.909,0h:0.0000;8h:0.0820;12h:0.1174;24h:0.3793,0.3793,sim,plausivel,corrigida,nao
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3||c2,HUVEC,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,2,4,0;8;12;24,24.44,0h:0.0000;8h:0.1089;12h:0.1405;24h:0.4537,0.4537,sim,plausivel,corrigida,nao
Migração (PET e PEP) n3 - RAW||None||D1||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,1,3,0;8;12,16.031,0h:0.0000;8h:0.2314;12h:0.2959,0.2959,sim,plausivel,corrigida,nao
Migração (PET e PEP) n3 - RAW||None||D1||c2,HUVEC,Migração (PET e PEP) n3 - RAW||None||D1,2,4,0;8;12;24,17.89,0h:0.0000;8h:0.2301;12h:0.2157;24h:0.5794,0.5794,sim,plausivel,corrigida,nao
Migração (PET e PEP) n3 - RAW||None||D4||c1,HUVEC,Migração (PET e PEP) n3 - RAW||None||D4,1,4,0;8;12;24,19.713,0h:0.0000;8h:-0.0266;12h:0.1030;24h:0.4371,0.4371,sim,plausivel,corrigida,nao
Originais (1)||None||A1||c1,HUVEC,Originais (1)||None||A1,1,4,0;8;12;24,15.369,0h:0.0000;8h:0.5074;12h:0.7203;24h:1.0000,1.0,sim,plausivel,corrigida,nao
Originais (1)||None||A1||c2,HUVEC,Originais (1)||None||A1,2,4,0;8;12;24,16.944,0h:0.0000;8h:0.4890;12h:0.7077;24h:1.0000,1.0,sim,plausivel,corrigida,nao
Originais (1)||None||A5||c1,HUVEC,Originais (1)||None||A5,1,4,0;8;12;24,14.017,0h:0.0000;8h:0.6163;12h:0.8311;24h:1.0000,1.0,sim,plausivel,corrigida,nao
Originais (1)||None||A5||c2,HUVEC,Originais (1)||None||A5,2,4,0;8;12;24,15.691,0h:0.0000;8h:0.5978;12h:0.8303;24h:1.0000,1.0,sim,plausivel,corrigida,nao
Originais (1)||None||B5||c1,HUVEC,Originais (1)||None||B5,1,3,0;8;12,16.726,0h:0.0000;8h:0.5039;12h:0.6416,0.6416,sim,plausivel,corrigida,nao
Originais (1)||None||B5||c2,HUVEC,Originais (1)||None||B5,2,3,0;8;12,22.321,0h:0.0000;8h:0.2352;12h:0.2843,0.2843,sim,plausivel,automatica,nao
Originais (1)||None||B5||c24,HUVEC,Originais (1)||None||B5,24,1,24,,,,nao,sem_baseline,automatica,nao
Originais (1)||None||D1||c1,HUVEC,Originais (1)||None||D1,1,4,0;8;12;24,16.047,0h:0.0000;8h:0.4884;12h:0.3622;24h:1.0000,1.0,nao,nao_monotonica,corrigida,nao
Originais (1)||None||D1||c2,HUVEC,Originais (1)||None||D1,2,3,0;8;12,15.756,0h:0.0000;8h:0.2561;12h:0.4320,0.432,sim,plausivel,automatica,nao
P1|CT|F10,SKOV-3,P1|CT|F10,F10,2,0;48,39.654,0h:0.0000;48h:1.0000,1.0,sim,plausivel,corrigida,nao
P1|CT|F8,SKOV-3,P1|CT|F8,F8,3,0;24;48,36.461,0h:0.0000;24h:1.0000;48h:1.0000,1.0,sim,plausivel,corrigida,nao
P1|GEO+PTX|F1,SKOV-3,P1|GEO+PTX|F1,F1,3,24;48;72,,,,nao,sem_baseline,automatica,nao
P1|GEO+PTX|F6,SKOV-3,P1|GEO+PTX|F6,F6,2,24;72,,,,nao,sem_baseline,automatica,nao
P1|GEO|F11,SKOV-3,P1|GEO|F11,F11,3,24;48;72,,,,nao,sem_baseline,automatica,nao
P1|GEO|F6,SKOV-3,P1|GEO|F6,F6,3,24;48;72,,,,nao,sem_baseline,automatica,nao
P1|PTX|F2,SKOV-3,P1|PTX|F2,F2,3,0;24;48,27.336,0h:0.0000;24h:0.4384;48h:0.7695,0.7695,sim,plausivel,automatica,nao
P1|PTX|F9,SKOV-3,P1|PTX|F9,F9,3,0;24;48,40.021,0h:0.0000;24h:0.1489;48h:0.4793,0.4793,sim,plausivel,automatica,nao
P2|CARBO+GEO|F14,SKOV-3,P2|CARBO+GEO|F14,F14,2,0;48,38.565,0h:0.0000;48h:0.4971,0.4971,sim,plausivel,automatica,nao
P2|CARBO+GEO|F8,SKOV-3,P2|CARBO+GEO|F8,F8,3,0;24;48,36.94,0h:0.0000;24h:0.5044;48h:0.5957,0.5957,sim,plausivel,corrigida,nao
P2|CARBO|F5,SKOV-3,P2|CARBO|F5,F5,3,0;24;48,42.79,0h:0.0000;24h:0.7775;48h:0.9065,0.9065,sim,plausivel,corrigida,nao
P2|CARBO|F9,SKOV-3,P2|CARBO|F9,F9,3,0;24;48,39.545,0h:0.0000;24h:0.5362;48h:1.0000,1.0,sim,plausivel,corrigida,nao
P2|CT|F15,SKOV-3,P2|CT|F15,F15,3,0;24;48,38.699,0h:0.0000;24h:0.7131;48h:1.0000,1.0,sim,plausivel,corrigida,nao
P2|CT|F9,SKOV-3,P2|CT|F9,F9,3,0;24;48,38.982,0h:0.0000;24h:0.8479;48h:1.0000,1.0,sim,plausivel,corrigida,nao
P2|GEO|F11,SKOV-3,P2|GEO|F11,F11,2,0;24,30.512,0h:0.0000;24h:0.4712,0.4712,sim,plausivel,automatica,nao
P2|GEO|F8,SKOV-3,P2|GEO|F8,F8,1,24,,,,nao,sem_baseline,automatica,nao
Pré-Eclâmpsia||None||B6||c1,HUVEC,Pré-Eclâmpsia||None||B6,1,3,0;12;24,21.968,0h:0.0000;12h:0.7135;24h:1.0000,1.0,sim,plausivel,corrigida,nao
Pré-Eclâmpsia||None||B6||c2,HUVEC,Pré-Eclâmpsia||None||B6,2,1,12,,,,nao,sem_baseline,automatica,nao
Saudável||None||B1||c1,HUVEC,Saudável||None||B1,1,3,0;12;24,21.195,0h:0.0000;12h:0.2474;24h:0.8772,0.8772,sim,plausivel,corrigida,nao
Saudável||None||B1||c2,HUVEC,Saudável||None||B1,2,2,0;24,18.31,0h:0.0000;24h:0.6237,0.6237,sim,plausivel,automatica,nao
originais||None||A1||c1,HUVEC,originais||None||A1,1,2,0;8,11.856,0h:0.0000;8h:0.4187,0.4187,sim,plausivel,corrigida,nao
originais||None||A1||c2,HUVEC,originais||None||A1,2,2,0;8,17.165,0h:0.0000;8h:0.2655,0.2655,sim,plausivel,corrigida,nao
originais||None||A5||c1,HUVEC,originais||None||A5,1,3,0;8;12,14.884,0h:0.0000;8h:0.2890;12h:0.3939,0.3939,sim,plausivel,corrigida,nao
originais||None||A5||c2,HUVEC,originais||None||A5,2,3,0;12;24,18.422,0h:0.0000;12h:0.3735;24h:0.4967,0.4967,sim,plausivel,mista,nao
originais||None||B5||c1,HUVEC,originais||None||B5,1,2,0;24,75.491,0h:0.0000;24h:0.4674,0.4674,sim,plausivel,automatica,nao
