whst_input_file,area_px_corrigida,area_pct_corrigida,area_pct_auto,status
e6ddc74913__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_2_2.tiff,602885,11.959,11.959,ok
2e65d49d55__HUVEC__LUIS_RAW_PEP+MET3_A6__tp12h__A6_12H_2.tiff,766299,15.200,15.159,ok
ec74f8f5fa__HUVEC__LUIS_RAW_PET_C5__tp0h__C5_0H_1.tiff,1059144,21.009,19.927,ok
05932b157b__HUVEC__LUIS_RAW_PET_C5__tp8h__C5_8H_1.tiff,751514,14.907,16.151,ok
2b7fcfc602__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_1_2.tiff,1632905,32.390,32.390,ok
fcc8ab6862__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp0h__B1_0H_2_2.tiff,1423762,28.242,24.715,ok
0b9742f9a3__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_2_2.tiff,563839,11.184,11.184,ok
dd8ad98535__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp0h__A2_0H_2_2.tiff,1928478,38.253,38.253,ok
9c4fdbdc3c__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_1_2.tiff,1104525,21.909,21.909,ok
246463cc3a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_2.tiff,694338,13.773,16.654,ok
c95a4fe6dd__HUVEC__Originais_1_None_A5__tp0h__A5_0HR_1_2.tiff,706642,14.017,14.017,ok
156f09d73b__HUVEC__Originais_1_None_A5__tp0h__A5_0HR_2_2.tiff,791008,15.691,15.691,ok
1da4221988__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_1_2.tiff,843189,16.726,16.726,ok
d7cf652f2d__HUVEC__Originais_1_None_D1__tp0h__D1_0HR_1_2.tiff,808955,16.047,16.047,ok
f65dcb0b1e__HUVEC__Originais_1_None_D1__tp12h__D1_12HR_1_2.tiff,515923,10.234,10.234,ok
d8d6a409b0__HUVEC__Pr_-Ecl_mpsia_None_B6__tp0h__B6_0hr_1.tiff,1107470,21.968,18.745,ok
c01f3f16cb__HUVEC__originais_None_D1__tp12h__D1_12HR_1.tiff,418959,8.311,8.311,ok
47d9864f0d__SKOV-3__P1_CT_F10__tp0h__ct2_5.tiff,1999057,39.654,39.654,ok
8ece12b29e__SKOV-3__P1_CT_F8__tp0h__ct2_3.tiff,1838099,36.461,36.461,ok
32f816646e__SKOV-3__P2_CARBO+GEO_F8__tp0h__Snap-54.tiff,1862259,36.940,38.466,ok
757d325f1f__SKOV-3__P2_CARBO+GEO_F8__tp24h__Snap-54.tiff,922975,18.308,15.633,ok
a1d9784c97__BASELINE__SKOV-3__P2_CARBO_F5__tp0h__Snap-20.tiff,2157164,42.790,42.686,ok
fa6dd30a89__BASELINE__SKOV-3__P2_CT_F15__tp0h__Snap-15.tiff,1950956,38.699,43.772,ok
ef8663825e__SKOV-3__P2_CT_F9__tp24h__Snap-09.tiff,298916,5.929,5.929,ok
