whst_input_file,area_px_corrigida,area_pct_corrigida,area_pct_auto,status
0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,1105386,21.927,47.130,ok
6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,1226658,24.332,59.164,ok
379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,876957,17.395,34.466,ok
62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,811200,16.091,49.312,ok
e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.tiff,1052767,20.883,7.721,ok
a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,253515,5.029,5.029,ok
cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,205317,4.073,4.073,ok
f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,185787,3.685,3.685,ok
ff300c2862__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_1.tiff,0,0.000,0.764,fechada
545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2.tiff,0,0.000,0.042,fechada
e0911e22cc__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_1.tiff,739313,14.665,28.697,ok
9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.tiff,168330,3.339,3.219,ok
46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.tiff,53877,1.069,2.110,ok
9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2.tiff,699291,13.871,44.578,ok
e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,357136,7.084,42.350,ok
1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.tiff,0,0.000,8.738,fechada
