whst_input_file,area_px_corrigida,area_pct_corrigida,area_pct_auto,status
aceb4fb866__HUVEC__LUIS_RAW_PEP_E1__tp0h__E1_0H_1.tiff,1156051,22.932,20.328,ok
d1bcf749b2__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_1.tiff,535893,10.630,10.818,ok
b4778b9433__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp0h__D1_0H_2_3.tiff,901885,17.890,16.330,ok
157a366d29__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_2_2.tiff,854220,16.944,17.962,ok
a40bd1473a__HUVEC__Originais_1_None_D1__tp8h__D1_8HR_1_2.tiff,413853,8.209,11.164,ok
821e5c649b__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,1068525,21.195,18.078,ok
857d6a0b73__HUVEC__originais_None_D1__tp0h__D1_0HR_1.tiff,933686,18.521,16.757,ok
b98f1d3be8__HUVEC__originais_None_D1__tp8h__D1_8HR_1.tiff,525098,10.416,10.469,ok
ec6c7bc6f7__SKOV-3__P2_CARBO_F9__tp24h__Snap-24.tiff,924573,18.340,25.010,ok
207e171eaf__SKOV-3__P2_CT_F9__tp0h__Snap-10.tiff,1965191,38.982,42.731,ok
