ordem,whst_input_file,cell_line,analysis_unit,timepoint_h,campo,eh_baseline,categoria_visual,tarefa,serie_decisao,area_pct_auto,roi_auto
1,0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,HUVEC,Controle||None||B1,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,47.13,0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.roi
2,6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.tiff,HUVEC,Controle||None||B1,0,2,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,59.164,6a4edc8aeb__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_2.roi
3,379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.tiff,HUVEC,Controle||None||B1,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,34.466,379d95a8e1__HUVEC__Controle+Saudavel_None_B1__tp8h__B1_8hr_1.roi
4,62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.tiff,HUVEC,Controle||None||B1,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,49.312,62c9f5d9a5__HUVEC__Controle+Saudavel_None_B1__tp12h__B1_12hr_1.roi
5,e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.tiff,HUVEC,LUIS RAW||PEP+GB||A3,0,2,SIM,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,7.721,e3071d5205__HUVEC__LUIS_RAW_PEP+GB_A3__tp0h__A3_0H_2.roi
6,a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.tiff,HUVEC,LUIS RAW||PEP+GB||A3,8,1,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,5.029,a174960b96__HUVEC__LUIS_RAW_PEP+GB_A3__tp8h__A3_8H_1.roi
7,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.tiff,HUVEC,LUIS RAW||PEP+GB||A3,12,1,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,4.073,cc55a9026b__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_1.roi
8,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.tiff,HUVEC,LUIS RAW||PEP+GB||A3,12,2,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,3.685,f8f76efe0c__HUVEC__LUIS_RAW_PEP+GB_A3__tp12h__A3_12H_2.roi
9,ff300c2862__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_1.tiff,HUVEC,LUIS RAW||PEP+GB||A3,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,0.764,ff300c2862__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_1.roi
10,545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2.tiff,HUVEC,LUIS RAW||PEP+GB||A3,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,0.042,545022361d__HUVEC__LUIS_RAW_PEP+GB_A3__tp24h__A3_24H_2_2.roi
11,e0911e22cc__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_1.tiff,HUVEC,LUIS RAW||PEP+MCC||B4,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,28.697,e0911e22cc__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_1.roi
12,9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.tiff,HUVEC,LUIS RAW||PEP+MCC||B4,8,2,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,3.219,9f0a5a4a06__HUVEC__LUIS_RAW_PEP+MCC_B4__tp8h__B4_8H_2.roi
13,46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.tiff,HUVEC,LUIS RAW||PEP+MCC||B4,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,2.11,46211a334d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_1.roi
14,9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2.tiff,HUVEC,LUIS RAW||PEP+MCC||B4,12,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,44.578,9984e40df9__HUVEC__LUIS_RAW_PEP+MCC_B4__tp12h__B4_12H_2.roi
15,e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,HUVEC,LUIS RAW||PEP+MCC||B4,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,42.35,e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.roi
16,1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.tiff,HUVEC,LUIS RAW||PEP+MCC||B4,24,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,8.738,1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.roi
17,161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,0,2,SIM,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,0.128,161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.roi
18,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,8,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,23.08,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.roi
19,52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,24,1,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,6.263,52cbd70f1b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_1.roi
20,d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.tiff,HUVEC,LUIS RAW||PEP+MET3||A6,24,2,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,4.926,d2a741e45b__HUVEC__LUIS_RAW_PEP+MET3_A6__tp24h__A6_24H_2.roi
21,609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.tiff,HUVEC,LUIS RAW||PEP||E1,8,2,,SEG_RUIM/sub,corrigir contorno,CORRIGIR_misto,7.165,609fee8a39__HUVEC__LUIS_RAW_PEP_E1__tp8h__E1_8H_2.roi
22,def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.tiff,HUVEC,LUIS RAW||PEP||E1,12,1,,IMG_INVALIDA,"DECIDIR VALIDADE: se der p/ tracar o contorno e valida; se nao, Select None (registra 'pulada')",CORRIGIR_misto,0.041,def3a0ea0f__HUVEC__LUIS_RAW_PEP_E1__tp12h__E1_12H_1.roi
23,9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.tiff,HUVEC,LUIS RAW||PEP||E1,24,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,0.966,9ec02dd0f0__HUVEC__LUIS_RAW_PEP_E1__tp24h__E1_24H_1.roi
24,30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.tiff,HUVEC,LUIS RAW||PET||C5,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_misto,35.08,30813da992__HUVEC__LUIS_RAW_PET_C5__tp12h__C5_12H_1.roi
25,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,74.045,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.roi
26,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,2,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,95.116,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.roi
27,4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,36.771,4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.roi
28,67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,8,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,30.468,67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.roi
29,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,44.185,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.roi
30,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,12,2,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,60.523,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.roi
31,4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,0,1,SIM,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,47.974,4d1c387ecc__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp0h__C5_0H_1_2.roi
32,c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,8,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,70.706,c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.roi
33,2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,HUVEC,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,12,1,,SEG_RUIM/super,corrigir contorno,CORRIGIR_consistente_implausivel,43.039,2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.roi
