unidade,tag,tp,campo,arquivo,otsu_eta,lap_var,vignette,area_pct
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,SUSPEITA,0,1,eeb18a29d8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_1.tiff,0.65577,59.98,1.0174,74.045
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,SUSPEITA,8,1,4826c4f4b8__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_1.tiff,0.61632,67.39,0.6416,36.771
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,SUSPEITA,12,1,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,0.65319,64.87,0.6199,44.185
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,SUSPEITA,24,1,d8240f29e1__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_1.tiff,0.70455,40.44,0.7027,84.11
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,SUSPEITA,0,2,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,0.69246,59.6,0.9177,95.116
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,SUSPEITA,8,2,67ffbd1e7d__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp8h__D4_8H_2.tiff,0.63432,46.62,0.7077,30.468
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,SUSPEITA,12,2,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,0.62366,39.71,0.6747,60.523
Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,SUSPEITA,24,2,9f5991f031__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp24h__D4_24H_2.tiff,0.56888,55.56,0.7252,96.736
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,SUSPEITA,0,1,9c4fdbdc3c__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_1_2.tiff,0.58955,88.68,0.8524,21.909
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,SUSPEITA,8,1,a41e7eccaa__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_1_2.tiff,0.68878,108.86,0.7068,34.637
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,SUSPEITA,12,1,6b8d096cd6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_1_2.tiff,0.63163,68.06,0.7324,44.05
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,SUSPEITA,24,1,b74ccec3d4__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_1_2.tiff,0.64979,57.24,0.6492,42.255
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,SUSPEITA,0,2,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,0.65066,60.32,0.8144,85.534
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,SUSPEITA,8,2,8db9535923__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp8h__D3_8H_2_2.tiff,0.73095,66.92,0.7799,33.761
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,SUSPEITA,12,2,3dea5f7bdf__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp12h__D3_12H_2_2.tiff,0.63111,71.2,0.7086,46.72
Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,SUSPEITA,24,2,313ff6b3d6__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp24h__D3_24H_2_2.tiff,0.71936,59.33,0.755,51.686
Migração (PET e PEP) n3 - RAW||None||D4,SUSPEITA,0,1,72ec8e45a1__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_1_3.tiff,0.64484,102.46,0.6978,40.238
Migração (PET e PEP) n3 - RAW||None||D4,SUSPEITA,8,1,62cb1d4bdc__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_1_3.tiff,0.72993,117.14,0.6019,42.402
Migração (PET e PEP) n3 - RAW||None||D4,SUSPEITA,12,1,db5f1d05ce__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp12h__D4_12H_1_3.tiff,0.71339,57.65,0.5353,72.64
