test_image,group_key,cell_line,timepoint_h,whst_input_file,ann_area_px,ann_pct,whst,ratio,flag
Snap-09_200_png.rf.T1DuJr60ClWyEIrNPE9K.png,P1|CT|F8,SKOV-3,24,1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2.tiff,117364.5,2.328,1991581.0,0.059,DISCREPANTE
A5 12HR 1_png.rf.IESDSkszuJatVJfvQ7PW.png,Originais (1)||None||A5,HUVEC,12,1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2.tiff,176019.5,3.492,2073478.0,0.085,DISCREPANTE
Snap-37_175_png.rf.FF9MN09bmlSbN40cxQRu.png,P1|GEO|F6,SKOV-3,48,d96e0fc45b__SKOV-3__P1_GEO_F6__tp48h__Snap-37_2.tiff,186933.2,3.708,2055929.0,0.091,DISCREPANTE
A1 12HR 1_png.rf.XDKS23ySU3ItzW5Kv957.png,Originais (1)||None||A1,HUVEC,12,e8f27e802d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_1_2.tiff,240731.0,4.775,2420241.0,0.099,DISCREPANTE
B1 24H 2_png.rf.WAXPIALQ8VqzYoMup3J4.png,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,HUVEC,24,11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.tiff,160824.5,3.19,1449551.0,0.111,DISCREPANTE
D4 12H 1_png.rf.rmwAgsyRm1ZzZ55GuiPB.png,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,HUVEC,12,df5b31f84c__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_1.tiff,255684.0,5.072,2227520.0,0.115,DISCREPANTE
C5 12H 1_png.rf.eqPnAQCG5aI0rvfthMNV.png,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,HUVEC,12,2f5428b547__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_1_2.tiff,280564.5,5.565,2169713.0,0.129,DISCREPANTE
C5 8H 1_png.rf.QRwHfTeZ3iXOWs30KZOS.png,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,HUVEC,8,c942b61a06__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp8h__C5_8H_1_2.tiff,462159.1,9.167,3564524.0,0.13,DISCREPANTE
Snap-42_165_png.rf.3eAR7nfV8aWUfPbBc82Q.png,P1|GEO|F11,SKOV-3,48,1c257ba6ee__SKOV-3__P1_GEO_F11__tp48h__Snap-42_2.tiff,205262.5,4.072,1575406.0,0.13,DISCREPANTE
A5 24HR 1_png.rf.QWraD9H7IOqSfp8mznDQ.png,originais||None||A5,HUVEC,24,a7bed1b95d__HUVEC__originais_None_A5__tp24h__A5_24HR_1.tiff,322715.0,6.401,2337966.0,0.138,DISCREPANTE
A2 24H 1_png.rf.EFavmtKTLhhnJThESvF0.png,Migração (PET e PEP) n2 - RAW||PEP||A2,HUVEC,24,294bd4aad2__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_1_3.tiff,504617.5,10.01,3541768.0,0.142,DISCREPANTE
C5 12H 2_png.rf.oLP5pb7BztRNGjNEDlAS.png,Migração (PET e PEP) n1 - RAW||PET + NEB 1uM||C5,HUVEC,12,b248b322dd__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp12h__C5_12H_2_2.tiff,461102.0,9.146,3228201.0,0.143,DISCREPANTE
D4 12H 2_png.rf.txyJ67o8LXpC3sVtUoTH.png,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,HUVEC,12,d4aba0cc0b__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp12h__D4_12H_2.tiff,439504.5,8.718,3051159.0,0.144,DISCREPANTE
D1 12H 2_png.rf.hM6Jhc6UJKSMWKFN6Pta.png,Migração (PET e PEP) n3 - RAW||None||D1,HUVEC,12,61972712e8__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_2_3.tiff,697337.0,13.832,4654837.0,0.15,DISCREPANTE
D4 24H 1_png.rf.l74W6BtAd1h2vbDdLYa7.png,Migração (PET e PEP) n3 - RAW||None||D4,HUVEC,24,219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3.tiff,559473.4,11.098,3710507.0,0.151,DISCREPANTE
A5 8HR 1_png.rf.jEYUYpVLybixXNUndrI9.png,originais||None||A5,HUVEC,8,a99d3e28ae__HUVEC__originais_None_A5__tp8h__A5_8HR_1.tiff,524243.3,10.399,3415706.0,0.153,DISCREPANTE
B4 24H 1_png.rf.b60wYuoI9jxCKCHE2l9q.png,LUIS RAW||PEP+MCC||B4,HUVEC,24,e31a26b3ae__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_1_2.tiff,341696.3,6.778,2135013.0,0.16,DISCREPANTE
D1 12H 1_png.rf.mKsxEDejqQN6qCQxLyns.png,Migração (PET e PEP) n3 - RAW||None||D1,HUVEC,12,ad9f9e8e56__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp12h__D1_12H_1_3.tiff,561003.3,11.128,3491117.0,0.161,DISCREPANTE
A1 12HR 2_png.rf.OoCbkijic6aCx52coryw.png,Originais (1)||None||A1,HUVEC,12,3bd025364d__HUVEC__Originais_1_None_A1__tp12h__A1_12HR_2_2.tiff,295079.5,5.853,1799207.0,0.164,DISCREPANTE
A2 24H 2_png.rf.E5xmaghZdqaoko8wlaZh.png,Migração (PET e PEP) n2 - RAW||PEP||A2,HUVEC,24,8c3064543d__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_A2__tp24h__A2_24H_2_3.tiff,588576.0,11.675,3424591.0,0.172,DISCREPANTE
A5 8HR 1_png.rf.qbCCkoclBZRwrN2mNDA9.png,Originais (1)||None||A5,HUVEC,8,402aa9005a__HUVEC__Originais_1_None_A5__tp8h__A5_8HR_1_2.tiff,322694.5,6.401,1788137.0,0.18,DISCREPANTE
A1 8HR 1_png.rf.7N4eAqgpqfPKb1eNWowl.png,originais||None||A1,HUVEC,8,19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1.tiff,334030.5,6.626,1819143.0,0.184,DISCREPANTE
B1 8H 1_png.rf.fqDTrXJGtwGnRUswH16c.png,Migração (PET e PEP) n2 - RAW||PEP + NEB 1uM||B1,HUVEC,8,7be1c29792__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_1_2.tiff,691928.0,13.725,3210687.0,0.216,DISCREPANTE
D4 0H 2_png.rf.eVEb58gAMbcellIRwKuX.png,Migração (PET e PEP) n3 - RAW||None||D4,HUVEC,0,6e6e66cf02__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp0h__D4_0H_2_3.tiff,1014452.9,20.123,4508525.0,0.225,DISCREPANTE
D4 8H 2_png.rf.ixTzZNh35XGijmR7VOtL.png,Migração (PET e PEP) n3 - RAW||None||D4,HUVEC,8,c07bc84c98__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp8h__D4_8H_2_3.tiff,1009122.0,20.017,4387816.0,0.23,DISCREPANTE
