grupo,analysis_unit,tp,arquivo,param,radius,threshold,sat,area_pct,area_pct_imagej_P0,categoria_v2
FALHA r=180.31,LUIS RAW||PEP+MET3||A6,8,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,P0,20,100,0.001,22.846,23.08,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO
FALHA r=180.31,LUIS RAW||PEP+MET3||A6,8,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,P1,10,100,0.001,49.993,23.08,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO
FALHA r=180.31,LUIS RAW||PEP+MET3||A6,8,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,P2,20,60,0.001,0.062,23.08,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO
FALHA r=180.31,LUIS RAW||PEP+MET3||A6,8,226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,P3,20,100,0.01,12.264,23.08,FALHA_CLOSURE_NEG+FALHA_NAO_MONOTONICO
FALHA 0h implausivel,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,P0,20,100,0.001,95.147,95.116,FALHA_CLOSURE_NEG+FALHA_SUPER
FALHA 0h implausivel,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,P1,10,100,0.001,98.469,95.116,FALHA_CLOSURE_NEG+FALHA_SUPER
FALHA 0h implausivel,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,P2,20,60,0.001,56.855,95.116,FALHA_CLOSURE_NEG+FALHA_SUPER
FALHA 0h implausivel,Migração (PET e PEP) n1 - RAW||PEP + NEB 5uM||D4,0,876603b483__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PEP_+_NEB_5uM_D4__tp0h__D4_0H_2.tiff,P3,20,100,0.01,79.806,95.116,FALHA_CLOSURE_NEG+FALHA_SUPER
FALHA 0h implausivel,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,P0,20,100,0.001,85.645,85.534,DISCORDANCIA_CAMPO+FALHA_SUPER
FALHA 0h implausivel,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,P1,10,100,0.001,93.934,85.534,DISCORDANCIA_CAMPO+FALHA_SUPER
FALHA 0h implausivel,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,P2,20,60,0.001,67.248,85.534,DISCORDANCIA_CAMPO+FALHA_SUPER
FALHA 0h implausivel,Migração (PET e PEP) n2 - RAW||PET + NEB 5uM||D3,0,074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,P3,20,100,0.01,81.629,85.534,DISCORDANCIA_CAMPO+FALHA_SUPER
