x,y
1673,1
1672,1
1672,4
1671,4
1671,6
1670,6
1670,8
1669,8
1669,9
1668,9
1668,11
1667,11
1667,13
1666,13
1666,15
1665,15
1665,17
1664,17
1664,19
1663,19
1663,20
1662,20
1662,21
1661,21
1661,22
1660,22
1660,23
1659,23
1659,24
1658,24
1658,25
1657,25
1657,26
1656,26
1656,27
1655,27
1655,28
1654,28
1654,32
1653,32
1653,33
1652,33
1652,35
1651,35
1651,36
1650,36
1650,40
1649,40
1649,44
1650,44
1650,49
1651,49
1651,51
1652,51
1652,53
1653,53
1653,54
1654,54
1654,55
1655,55
1655,56
1656,56
1656,57
1658,57
1658,58
1659,58
1659,59
1662,59
1662,60
1669,60
1669,61
1670,61
1670,63
1671,63
1671,66
1672,66
1672,70
1673,70
1673,99
1672,99
1672,103
1671,103
1671,108
1670,108
1670,113
1669,113
1669,123
1668,123
1668,138
1669,138
1669,142
1670,142
1670,145
1671,145
1671,149
1672,149
1672,157
1671,157
1671,159
1670,159
1670,161
1669,161
1669,164
1668,164
1668,168
1667,168
1667,172
1666,172
1666,179
1667,179
1667,183
1668,183
1668,186
1669,186
1669,189
1668,189
1668,191
1667,191
1667,193
1666,193
1666,195
1665,195
1665,198
1664,198
1664,202
1663,202
1663,208
1664,208
1664,214
1665,214
1665,217
1666,217
1666,219
1667,219
1667,222
1668,222
1668,223
1669,223
1669,225
1670,225
1670,227
1671,227
1671,228
1672,228
1672,229
1673,229
1673,231
1674,231
1674,232
1675,232
1675,233
1676,233
1676,234
1678,234
1678,235
1679,235
1679,237
1680,237
1680,243
1679,243
1679,246
1678,246
1678,248
1677,248
1677,249
1676,249
1676,251
1675,251
1675,253
1674,253
1674,255
1673,255
1673,259
1672,259
1672,266
1671,266
1671,282
1670,282
1670,284
1669,284
1669,285
1668,285
1668,286
1667,286
1667,287
1666,287
1666,288
1665,288
1665,289
1664,289
1664,290
1663,290
1663,291
1662,291
1662,293
1661,293
1661,294
1660,294
1660,296
1659,296
1659,298
1658,298
1658,302
1657,302
1657,316
1658,316
1658,318
1659,318
1659,320
1660,320
1660,322
1661,322
1661,324
1662,324
1662,326
1663,326
1663,328
1664,328
1664,330
1665,330
1665,331
1666,331
1666,333
1667,333
1667,334
1668,334
1668,335
1669,335
1669,336
1670,336
1670,337
1671,337
1671,338
1672,338
1672,339
1673,339
1673,341
1674,341
1674,343
1675,343
1675,354
1674,354
1674,367
1675,367
1675,376
1674,376
1674,378
1673,378
1673,380
1672,380
1672,382
1671,382
1671,383
1670,383
1670,385
1669,385
1669,388
1668,388
1668,391
1667,391
1667,404
1668,404
1668,407
1669,407
1669,409
1670,409
1670,411
1671,411
1671,413
1672,413
1672,415
1673,415
1673,416
1674,416
1674,417
1675,417
1675,418
1676,418
1676,420
1677,420
1677,421
1679,421
1679,422
1680,422
1680,423
1681,423
1681,424
1683,424
1683,425
1684,425
1684,426
1686,426
1686,427
1689,427
1689,428
1690,428
1690,429
1691,429
1691,430
1692,430
1692,431
1693,431
1693,433
1694,433
1694,435
1695,435
1695,437
1696,437
1696,439
1697,439
1697,442
1698,442
1698,445
1699,445
1699,451
1700,451
1700,458
1701,458
1701,462
1702,462
1702,464
1703,464
1703,467
1704,467
1704,470
1705,470
1705,472
1706,472
1706,474
1707,474
1707,475
1708,475
1708,476
1709,476
1709,478
1710,478
1710,480
1711,480
1711,481
1712,481
1712,483
1713,483
1713,484
1714,484
1714,485
1715,485
1715,486
1716,486
1716,487
1717,487
1717,488
1719,488
1719,489
1720,489
1720,490
1721,490
1721,491
1722,491
1722,492
1723,492
1723,493
1724,493
1724,500
1723,500
1723,501
1722,501
1722,502
1720,502
1720,503
1717,503
1717,504
1713,504
1713,505
1711,505
1711,506
1709,506
1709,507
1708,507
1708,508
1707,508
1707,509
1705,509
1705,510
1704,510
1704,511
1703,511
1703,513
1702,513
1702,514
1701,514
1701,516
1700,516
1700,517
1699,517
1699,520
1698,520
1698,523
1697,523
1697,528
1698,528
1698,530
1699,530
1699,531
1700,531
1700,533
1701,533
1701,535
1702,535
1702,538
1703,538
