x,y
1760,2
1759,2
1759,6
1758,6
1758,9
1757,9
1757,11
1756,11
1756,12
1755,12
1755,13
1752,13
1752,14
1751,14
1751,15
1749,15
1749,16
1748,16
1748,17
1747,17
1747,19
1746,19
1746,20
1745,20
1745,22
1744,22
1744,25
1743,25
1743,32
1742,32
1742,44
1743,44
1743,46
1744,46
1744,48
1745,48
1745,49
1746,49
1746,50
1747,50
1747,51
1749,51
1749,52
1750,52
1750,53
1751,53
1751,54
1752,54
1752,57
1753,57
1753,62
1754,62
1754,65
1755,65
1755,67
1756,67
1756,69
1757,69
1757,71
1758,71
1758,72
1759,72
1759,73
1760,73
1760,74
1761,74
1761,75
1762,75
1762,76
1763,76
1763,77
1764,77
1764,79
1765,79
1765,80
1766,80
1766,82
1767,82
1767,85
1768,85
1768,88
1769,88
1769,92
1770,92
1770,98
1769,98
1769,103
1770,103
1770,106
1771,106
1771,113
1770,113
1770,115
1769,115
1769,116
1768,116
1768,117
1767,117
1767,118
1766,118
1766,119
1765,119
1765,121
1764,121
1764,122
1763,122
1763,124
1762,124
1762,126
1761,126
1761,129
1760,129
1760,133
1759,133
1759,135
1760,135
1760,142
1761,142
1761,145
1762,145
1762,147
1763,147
1763,149
1764,149
1764,151
1765,151
1765,152
1766,152
1766,153
1767,153
1767,154
1768,154
1768,155
1769,155
1769,156
1771,156
1771,157
1772,157
1772,158
1775,158
1775,159
1776,159
1776,160
1777,160
1777,162
1776,162
1776,165
1775,165
1775,167
1774,167
1774,170
1773,170
1773,175
1772,175
1772,177
1768,177
1768,178
1763,178
1763,179
1760,179
1760,180
1758,180
1758,181
1757,181
1757,182
1755,182
1755,183
1754,183
1754,184
1752,184
1752,185
1751,185
1751,186
1750,186
1750,187
1749,187
1749,189
1748,189
1748,190
1747,190
1747,192
1746,192
1746,194
1745,194
1745,196
1744,196
1744,199
1743,199
1743,215
1744,215
1744,218
1745,218
1745,220
1746,220
1746,222
1747,222
1747,224
1748,224
1748,225
1749,225
1749,227
1750,227
1750,228
1751,228
1751,229
1752,229
1752,230
1753,230
1753,231
1755,231
1755,232
1756,232
1756,233
1758,233
1758,234
1760,234
1760,235
1762,235
1762,236
1763,236
1763,237
1764,237
1764,239
1765,239
1765,240
1766,240
1766,241
1767,241
1767,243
1768,243
1768,244
1769,244
1769,245
1771,245
1771,246
1772,246
1772,247
1775,247
1775,248
1777,248
1777,249
1779,249
1779,250
1782,250
1782,251
1786,251
1786,252
1791,252
1791,253
1792,253
1792,254
1793,254
1793,255
1794,255
1794,256
1793,256
1793,258
1792,258
1792,259
1791,259
1791,261
1790,261
1790,263
1789,263
1789,265
1788,265
1788,267
1787,267
1787,269
1786,269
1786,270
1785,270
1785,271
1784,271
1784,272
1782,272
1782,273
1781,273
1781,274
1780,274
1780,275
1779,275
1779,277
1778,277
1778,278
1777,278
1777,280
1776,280
1776,282
