x,y
701,1
698,1
698,2
697,2
697,3
696,3
696,4
695,4
695,5
694,5
694,6
693,6
693,8
692,8
692,10
691,10
691,14
690,14
690,18
691,18
691,20
692,20
692,23
693,23
693,37
692,37
692,42
691,42
691,41
690,41
690,40
689,40
689,39
686,39
686,41
685,41
685,45
686,45
686,47
687,47
687,49
688,49
688,51
689,51
689,52
690,52
690,51
691,51
691,50
692,50
692,43
694,43
694,44
695,44
695,45
696,45
696,46
697,46
697,47
699,47
699,48
700,48
700,49
703,49
703,50
707,50
707,51
713,51
713,50
717,50
717,49
720,49
720,48
721,48
721,47
723,47
723,45
724,45
724,43
726,43
726,42
727,42
727,41
738,41
738,40
740,40
740,39
742,39
742,38
744,38
744,37
746,37
746,36
748,36
748,35
752,35
752,34
757,34
757,33
760,33
760,32
762,32
762,31
764,31
764,30
766,30
766,29
768,29
768,28
769,28
769,27
771,27
771,25
772,25
772,24
773,24
773,21
774,21
774,18
775,18
775,7
774,7
774,3
773,3
773,1
772,1
772,0
806,0
806,5
807,5
807,11
808,11
808,12
810,12
810,13
812,13
812,12
818,12
818,11
820,11
820,10
821,10
821,9
822,9
822,7
823,7
823,6
824,6
824,5
825,5
825,2
826,2
826,0
1608,0
1608,2
1607,2
1607,4
1606,4
1606,6
1605,6
1605,7
1604,7
1604,8
1603,8
1603,9
1602,9
1602,10
1601,10
1601,12
1600,12
1600,13
1599,13
1599,16
1598,16
1598,28
1599,28
1599,31
1600,31
1600,33
1601,33
1601,35
1602,35
1602,37
1603,37
1603,38
1604,38
1604,39
1605,39
1605,40
1606,40
1606,41
1607,41
1607,42
1608,42
1608,43
1610,43
1610,44
1612,44
1612,45
1614,45
1614,46
1616,46
1616,48
1617,48
1617,55
1616,55
1616,59
1617,59
1617,69
1616,69
1616,71
1615,71
1615,72
1614,72
1614,73
1613,73
1613,74
1612,74
1612,76
1611,76
1611,77
1610,77
1610,78
1609,78
1609,79
1608,79
1608,80
1607,80
1607,82
1606,82
1606,84
1605,84
1605,86
1604,86
1604,90
1603,90
1603,98
1602,98
1602,99
1601,99
1601,101
1600,101
1600,102
1599,102
1599,103
1598,103
1598,104
1596,104
1596,105
1595,105
1595,107
1594,107
1594,108
1593,108
1593,109
1592,109
1592,111
1591,111
1591,114
1590,114
1590,117
1589,117
1589,131
1590,131
1590,134
1591,134
1591,136
1592,136
1592,138
1593,138
1593,139
1594,139
1594,140
1595,140
1595,145
1596,145
1596,157
1597,157
1597,161
1598,161
1598,163
1599,163
1599,165
1600,165
1600,167
1601,167
1601,172
1602,172
1602,180
1601,180
1601,183
1600,183
1600,185
1599,185
1599,187
1598,187
1598,188
1597,188
1597,189
1596,189
1596,191
1595,191
1595,192
1594,192
1594,193
1593,193
1593,194
1592,194
1592,195
1591,195
1591,196
1590,196
1590,197
1589,197
1589,198
1588,198
1588,200
1587,200
1587,201
1586,201
1586,203
1585,203
1585,205
1584,205
1584,208
1583,208
1583,215
1582,215
1582,217
1583,217
1583,223
1584,223
1584,226
1585,226
1585,228
1586,228
1586,229
1587,229
1587,230
1589,230
1589,231
1591,231
1591,232
1592,232
1592,233
1593,233
1593,234
1594,234
1594,235
1595,235
1595,236
1597,236
1597,237
1599,237
1599,238
1605,238
1605,239
1608,239
1608,240
1610,240
1610,241
1612,241
1612,242
1613,242
1613,244
1612,244
1612,246
1611,246
1611,249
1610,249
1610,250
1609,250
1609,251
1607,251
1607,252
1606,252
1606,253
1604,253
1604,254
1603,254
1603,255
1602,255
1602,256
1601,256
1601,257
1600,257
1600,258
1599,258
1599,260
1598,260
1598,261
1597,261
1597,263
1596,263
1596,265
1595,265
1595,268
1594,268
1594,272
1593,272
1593,281
1594,281
1594,285
1595,285
1595,287
1596,287
1596,288
1597,288
1597,290
1598,290
1598,292
1599,292
1599,293
1600,293
1600,294
1601,294
1601,295
1602,295
1602,296
1603,296
1603,297
1605,297
1605,298
1606,298
1606,299
1608,299
1608,300
1609,300
1609,301
1611,301
1611,302
1613,302
1613,303
1614,303
1614,304
1615,304
1615,305
1616,305
1616,306
1617,306
1617,307
1618,307
1618,308
1619,308
1619,310
1620,310
1620,311
1621,311
1621,313
1622,313
1622,314
1623,314
1623,315
1624,315
1624,316
1625,316
1625,317
1626,317
1626,318
1628,318
1628,319
1629,319
1629,320
1631,320
1631,321
1632,321
1632,322
1634,322
1634,323
1637,323
1637,324
1640,324
1640,325
1646,325
1646,326
1648,326
1648,325
1653,325
1653,329
1652,329
1652,331
1651,331
1651,334
1650,334
1650,338
1649,338
1649,340
1648,340
1648,342
1647,342
1647,346
1646,346
1646,354
1647,354
1647,357
1648,357
1648,359
1649,359
1649,361
1650,361
1650,364
1649,364
1649,365
1648,365
1648,366
1647,366
1647,370
1648,370
1648,372
1649,372
1649,373
1650,373
1650,374
1651,374
1651,375
1653,375
1653,376
1654,376
1654,377
1655,377
1655,378
1657,378
1657,379
1659,379
1659,380
1661,380
1661,379
1662,379
1662,374
1663,374
1663,373
1673,373
1673,372
1676,372
1676,371
1678,371
1678,370
1679,370
1679,369
1681,369
1681,368
1684,368
1684,369
1685,369
1685,370
1686,370
1686,375
1687,375
1687,378
1688,378
1688,380
1689,380
1689,382
1690,382
1690,383
1691,383
1691,385
1692,385
1692,388
1693,388
1693,389
1694,389
1694,391
1695,391
1695,393
1696,393
1696,394
1697,394
1697,395
1698,395
1698,396
1699,396
1699,397
1700,397
1700,398
1702,398
1702,399
1704,399
1704,400
1707,400
1707,399
1709,399
1709,400
1713,400
1713,401
1722,401
1722,400
1725,400
1725,401
1741,401
1741,400
1746,400
1746,399
1749,399
1749,398
1752,398
1752,397
1754,397
1754,396
1755,396
1755,395
1764,395
1764,398
1765,398
1765,402
1764,402
1764,404
1763,404
1763,405
1762,405
1762,407
1761,407
1761,408
1759,408
1759,409
1755,409
1755,408
1751,408
1751,409
1747,409
1747,410
1745,410
1745,411
1742,411
1742,412
1740,412
1740,413
1737,413
1737,414
1735,414
1735,415
1733,415
1733,416
1732,416
1732,417
1730,417
1730,418
1728,418
1728,419
1725,419
1725,420
1721,420
1721,421
1719,421
1719,420
1717,420
1717,419
1716,419
1716,417
1715,417
1715,416
1714,416
1714,415
1713,415
1713,413
1712,413
1712,412
1711,412
1711,411
1709,411
1709,410
1708,410
1708,409
1706,409
1706,408
1704,408
1704,407
1702,407
1702,406
1700,406
1700,405
1691,405
1691,406
1674,406
1674,407
1671,407
1671,408
1669,408
1669,409
1667,409
1667,410
1666,410
1666,411
1665,411
1665,412
1664,412
1664,413
1663,413
1663,414
1662,414
1662,415
1661,415
1661,417
1660,417
1660,418
1659,418
1659,420
1658,420
1658,421
1657,421
1657,424
1656,424
1656,434
1655,434
1655,437
1654,437
1654,438
1652,438
1652,439
1650,439
1650,440
1648,440
1648,441
1646,441
1646,442
1644,442
1644,443
1642,443
1642,444
1640,444
1640,445
1639,445
1639,446
1638,446
1638,447
1637,447
1637,448
1636,448
1636,449
1635,449
1635,450
1634,450
1634,452
1633,452
1633,454
1632,454
1632,456
1631,456
1631,459
1630,459
1630,470
1631,470
1631,472
1632,472
1632,473
1633,473
1633,474
1634,474
1634,475
1635,475
1635,476
1636,476
1636,477
1637,477
1637,478
1638,478
1638,479
1639,479
1639,480
1641,480
1641,481
1643,481
1643,482
1646,482
1646,483
1650,483
1650,484
1652,484
1652,485
1655,485
1655,486
1657,486
1657,487
1658,487
1658,488
1660,488
1660,489
1661,489
1661,490
1662,490
1662,494
1661,494
1661,497
1662,497
1662,500
1663,500
1663,502
1664,502
1664,504
1663,504
1663,505
1662,505
1662,506
1658,506
1658,505
1655,505
1655,504
1645,504
1645,503
1633,503
1633,502
1631,502
1631,501
1630,501
1630,500
1629,500
1629,498
1628,498
1628,497
1627,497
1627,495
1626,495
1626,494
1625,494
1625,492
1624,492
1624,486
1625,486
1625,482
1626,482
1626,469
1625,469
1625,466
1624,466
1624,464
1623,464
1623,462
1622,462
1622,461
1621,461
1621,460
1620,460
1620,459
1619,459
1619,458
1618,458
1618,457
1617,457
1617,456
1615,456
1615,455
1614,455
1614,454
1611,454
1611,453
1607,453
1607,452
1590,452
1590,451
1587,451
1587,449
1586,449
1586,445
1587,445
1587,442
1588,442
1588,429
1587,429
1587,426
1586,426
1586,424
1585,424
1585,422
1584,422
1584,421
1583,421
1583,420
1582,420
1582,418
1581,418
1581,417
1579,417
1579,416
1578,416
1578,415
1576,415
1576,414
1574,414
1574,413
1571,413
1571,412
1568,412
1568,411
1559,411
1559,412
1556,412
1556,413
1553,413
1553,414
1551,414
1551,415
1549,415
1549,416
1548,416
