x,y
1551,9
1550,9
1550,52
1549,52
1549,57
1550,57
1550,63
1551,63
1551,67
1552,67
1552,69
1553,69
1553,71
1554,71
1554,73
1555,73
1555,75
1556,75
1556,77
1557,77
1557,79
1558,79
1558,80
1559,80
1559,82
1560,82
1560,85
1561,85
1561,86
1562,86
1562,88
1563,88
1563,89
1564,89
1564,91
1565,91
1565,95
1564,95
1564,97
1563,97
1563,99
1562,99
1562,101
1561,101
1561,105
1560,105
1560,117
1559,117
1559,118
1558,118
1558,119
1557,119
1557,120
1555,120
1555,121
1554,121
1554,122
1553,122
1553,123
1552,123
1552,125
1551,125
1551,126
1550,126
1550,128
1549,128
1549,130
1548,130
1548,133
1547,133
1547,137
1546,137
1546,140
1547,140
1547,141
1546,141
1546,144
1547,144
1547,147
1548,147
1548,150
1549,150
1549,152
1550,152
1550,154
1551,154
1551,155
1552,155
1552,157
1553,157
1553,158
1555,158
1555,159
1556,159
1556,160
1557,160
1557,161
1559,161
1559,162
1561,162
1561,163
1564,163
1564,164
1569,164
1569,165
1578,165
1578,164
1585,164
1585,165
1586,165
1586,166
1587,166
1587,167
1588,167
1588,168
1589,168
1589,169
1590,169
1590,170
1591,170
1591,171
1593,171
1593,172
1595,172
1595,173
1596,173
1596,174
1598,174
1598,175
1601,175
1601,176
1603,176
1603,177
1604,177
1604,180
1603,180
1603,182
1602,182
1602,184
1601,184
1601,186
1600,186
1600,188
1599,188
1599,190
1598,190
1598,192
1597,192
1597,194
1596,194
1596,196
1595,196
1595,197
1594,197
1594,199
1593,199
1593,201
1592,201
1592,204
1591,204
1591,213
1592,213
1592,216
1593,216
1593,219
1594,219
1594,220
1595,220
1595,222
1596,222
1596,223
1597,223
1597,225
1598,225
1598,226
1599,226
1599,227
1600,227
1600,228
1602,228
1602,229
1603,229
1603,230
1605,230
1605,232
1606,232
1606,237
1605,237
1605,238
1604,238
1604,239
1603,239
1603,240
1602,240
1602,241
1601,241
1601,242
1600,242
1600,243
1599,243
1599,244
1598,244
1598,245
1597,245
1597,247
1596,247
1596,249
1595,249
1595,251
1594,251
1594,254
1593,254
1593,258
1592,258
1592,268
1593,268
1593,272
1594,272
1594,274
1595,274
1595,276
1596,276
1596,278
1597,278
1597,279
1598,279
1598,281
1599,281
1599,282
1600,282
1600,285
1599,285
1599,287
1598,287
1598,288
1597,288
1597,290
1596,290
1596,292
1595,292
1595,294
1594,294
1594,299
1593,299
1593,303
1594,303
1594,309
1595,309
1595,311
1596,311
1596,314
1597,314
1597,316
1598,316
1598,323
1597,323
1597,333
1598,333
1598,339
1599,339
1599,345
1600,345
1600,347
1601,347
1601,349
1602,349
1602,352
1603,352
1603,353
1604,353
1604,355
1605,355
1605,357
1606,357
1606,359
1607,359
1607,361
1608,361
1608,363
1609,363
1609,365
1610,365
1610,366
1611,366
1611,368
1612,368
1612,369
1613,369
1613,370
1614,370
1614,371
1616,371
1616,372
1618,372
1618,373
1625,373
1625,374
1631,374
1631,375
1635,375
1635,374
1641,374
1641,377
1640,377
1640,380
1639,380
1639,391
1640,391
1640,394
1641,394
1641,397
1642,397
1642,399
1643,399
1643,400
1644,400
1644,402
1645,402
1645,404
1646,404
1646,406
1647,406
1647,407
1646,407
1646,408
1644,408
1644,409
1641,409
1641,410
1639,410
1639,411
1638,411
1638,412
1636,412
1636,413
1635,413
1635,414
1634,414
1634,415
1633,415
1633,416
1632,416
1632,417
1631,417
1631,418
1630,418
1630,419
1629,419
1629,420
1628,420
1628,422
1627,422
1627,423
1626,423
1626,425
1625,425
1625,427
1624,427
1624,430
1623,430
1623,436
1622,436
1622,439
1623,439
1623,444
1624,444
1624,447
1625,447
1625,449
1626,449
1626,450
1627,450
1627,452
1628,452
1628,453
1629,453
1629,454
1631,454
1631,455
1632,455
1632,456
1633,456
1633,457
1635,457
1635,458
1636,458
1636,459
1639,459
1639,460
1641,460
1641,461
1644,461
1644,462
1646,462
1646,463
1648,463
1648,464
1650,464
1650,465
1651,465
1651,466
1652,466
1652,472
1651,472
1651,480
1652,480
1652,485
1653,485
1653,488
1654,488
1654,490
1655,490
1655,492
1656,492
1656,494
1657,494
1657,495
1658,495
1658,496
1659,496
1659,498
1660,498
1660,501
1659,501
1659,502
1658,502
1658,503
1657,503
1657,504
1656,504
1656,505
1655,505
1655,506
1654,506
1654,508
1653,508
1653,510
1652,510
1652,512
1651,512
1651,515
1650,515
1650,542
1651,542
1651,546
1652,546
1652,548
1653,548
1653,550
1654,550
1654,552
1655,552
1655,553
1656,553
1656,555
1657,555
1657,556
1658,556
1658,557
1659,557
1659,558
1661,558
1661,559
1662,559
1662,560
1663,560
1663,561
1665,561
1665,562
1666,562
1666,563
1668,563
1668,564
1669,564
1669,565
1672,565
1672,566
1674,566
1674,567
1679,567
1679,568
1685,568
1685,567
1690,567
1690,566
1694,566
1694,565
1695,565
1695,566
1696,566
1696,569
1695,569
1695,570
1693,570
1693,571
1692,571
1692,572
1690,572
1690,573
1689,573
1689,574
1687,574
1687,575
1686,575
1686,577
1685,577
1685,579
1684,579
1684,582
1683,582
1683,587
1682,587
1682,590
1683,590
1683,597
1684,597
1684,599
1685,599
1685,601
1686,601
1686,603
1687,603
1687,604
1688,604
1688,605
1689,605
1689,606
1690,606
1690,607
1691,607
1691,608
1693,608
1693,609
1695,609
1695,610
1698,610
1698,611
1708,611
1708,610
1712,610
1712,609
1714,609
1714,608
1715,608
1715,607
1717,607
1717,606
1718,606
1718,605
1719,605
1719,604
1720,604
1720,603
1721,603
1721,601
1722,601
1722,598
1723,598
1723,596
1724,596
1724,585
1723,585
1723,582
1722,582
1722,580
1721,580
1721,578
1720,578
1720,576
1719,576
1719,574
1720,574
1720,573
1721,573
1721,572
1724,572
1724,571
1726,571
1726,570
1727,570
1727,569
1729,569
1729,568
1730,568
1730,567
1731,567
1731,566
1732,566
1732,565
1733,565
1733,564
1734,564
1734,563
1735,563
1735,562
1736,562
1736,560
1737,560
1737,559
1738,559
1738,557
1739,557
1739,555
1740,555
1740,553
1741,553
1741,551
1743,551
1743,550
1748,550
1748,551
1765,551
1765,552
1768,552
1768,553
1770,553
1770,554
1773,554
1773,555
1776,555
1776,556
1779,556
1779,557
1788,557
1788,556
1792,556
1792,555
1796,555
1796,554
1799,554
1799,553
1801,553
1801,552
1806,552
1806,553
1809,553
1809,554
1811,554
1811,555
1815,555
1815,556
1818,556
1818,557
1821,557
1821,558
1823,558
1823,559
1824,559
1824,560
1826,560
1826,561
1828,561
1828,562
1830,562
1830,563
1833,563
1833,564
1837,564
1837,563
1838,563
1838,564
1841,564
1841,565
1846,565
1846,566
1849,566
1849,565
1853,565
1853,564
1857,564
1857,563
1865,563
1865,564
1882,564
1882,565
1884,565
1884,566
1887,566
1887,567
1899,567
1899,566
1901,566
1901,565
1904,565
1904,564
1905,564
1905,563
1907,563
1907,562
1909,562
1909,561
1911,561
1911,560
1918,560
1918,559
1928,559
1928,558
1932,558
1932,557
1934,557
1934,556
1936,556
1936,555
1938,555
1938,554
1940,554
1940,553
1941,553
1941,552
1942,552
1942,551
1943,551
1943,550
1945,550
1945,549
1946,549
1946,548
1947,548
1947,547
1948,547
1948,546
1949,546
1949,545
1950,545
1950,544
1951,544
1951,543
1954,543
1954,544
1956,544
1956,545
1957,545
1957,546
1958,546
1958,547
1959,547
1959,548
1960,548
1960,549
1962,549
1962,550
1963,550
1963,551
1965,551
1965,552
1967,552
1967,553
1968,553
1968,554
1970,554
1970,555
1972,555
1972,556
1974,556
1974,557
1975,557
1975,558
1977,558
1977,559
1979,559
1979,560
1981,560
1981,561
1984,561
1984,562
1988,562
1988,563
1998,563
1998,562
2002,562
2002,561
2004,561
2004,560
2006,560
2006,559
2008,559
2008,558
2010,558
2010,557
2012,557
2012,556
2026,556
2026,555
2029,555
2029,554
2031,554
2031,553
2033,553
2033,552
2034,552
2034,551
2036,551
2036,550
2037,550
2037,549
2038,549
2038,547
2039,547
2039,546
2040,546
2040,544
2041,544
2041,542
2042,542
2042,540
2043,540
2043,537
2044,537
2044,532
2045,532
2045,529
2046,529
2046,530
2048,530
2048,531
2049,531
2049,532
2050,532
2050,533
2052,533
2052,534
2054,534
2054,535
2057,535
2057,536
2059,536
2059,537
2060,537
2060,538
2061,538
2061,540
2062,540
2062,542
2063,542
2063,543
2064,543
2064,545
2065,545
2065,546
2066,546
2066,547
2067,547
2067,548
2068,548
2068,549
2069,549
2069,550
2071,550
2071,551
2073,551
2073,552
2075,552
2075,553
2078,553
2078,554
2081,554
2081,555
2091,555
2091,554
2095,554
2095,553
2098,553
2098,552
2100,552
2100,551
2105,551
2105,550
2118,550
2118,551
2120,551
2120,552
2121,552
2121,553
2122,553
2122,554
2123,554
2123,555
2124,555
2124,556
2125,556
2125,558
2126,558
2126,559
2127,559
2127,562
2128,562
2128,564
2129,564
2129,565
2130,565
2130,567
2131,567
2131,568
2132,568
2132,569
2133,569
2133,571
2134,571
2134,572
2135,572
2135,573
2136,573
2136,574
2137,574
2137,575
2138,575
2138,576
2140,576
2140,577
2141,577
2141,578
2143,578
2143,579
2145,579
2145,580
2147,580
2147,581
2151,581
2151,582
2163,582
2163,581
2166,581
2166,580
2169,580
2169,579
2171,579
2171,578
2173,578
2173,577
2174,577
2174,576
2176,576
2176,575
2177,575
2177,574
2178,574
2178,573
2179,573
2179,571
2180,571
2180,570
2181,570
2181,568
2182,568
2182,567
2183,567
2183,565
2184,565
2184,563
2185,563
2185,562
2186,562
2186,561
2189,561
2189,560
2191,560
2191,559
2193,559
2193,558
2195,558
2195,557
2197,557
2197,556
2198,556
2198,555
2200,555
2200,554
2207,554
2207,553
2215,553
2215,552
2220,552
2220,551
2223,551
2223,550
2225,550
2225,549
2227,549
2227,548
2230,548
2230,547
2233,547
2233,546
2235,546
2235,545
2237,545
2237,544
2239,544
2239,543
2241,543
2241,542
2244,542
2244,541
2248,541
2248,540
2257,540
2257,541
2259,541
2259,542
2261,542
2261,543
2262,543
2262,544
2265,544
2265,545
2267,545
2267,546
2269,546
2269,547
2273,547
2273,548
2282,548
2282,547
2285,547
2285,546
2289,546
2289,545
2321,545
2321,544
2324,544
2324,545
2330,545
2330,546
2332,546
2332,547
2334,547
2334,548
2336,548
2336,549
2338,549
2338,550
2341,550
2341,551
2348,551
2348,552
2349,552
2349,551
2356,551
2356,550
2359,550
2359,549
2362,549
2362,548
2364,548
2364,547
2366,547
2366,546
2367,546
2367,545
2369,545
2369,544
2370,544
2370,543
2371,543
2371,542
2372,542
2372,541
2373,541
2373,540
2374,540
2374,539
2375,539
2375,538
2376,538
2376,537
2377,537
2377,536
2378,536
2378,535
2379,535
2379,534
2382,534
2382,535
2383,535
2383,536
2385,536
2385,537
2387,537
2387,538
2398,538
2398,539
2399,539
2399,540
2401,540
2401,541
2402,541
2402,542
2404,542
2404,543
2405,543
2405,544
2407,544
2407,545
2409,545
2409,546
2410,546
2410,547
2412,547
2412,548
2415,548
2415,549
2417,549
2417,550
2419,550
2419,551
2420,551
2420,552
2421,552
2421,553
2422,553
2422,554
2423,554
2423,555
2424,555
2424,556
2425,556
2425,557
2427,557
2427,558
2428,558
2428,559
2431,559
2431,560
2434,560
2434,561
2439,561
2439,560
2446,560
2446,559
2449,559
2449,558
2450,558
2450,557
2452,557
2452,1433
2450,1433
2450,1432
2436,1432
2436,1433
2433,1433
2433,1434
2431,1434
2431,1435
2430,1435
2430,1436
2429,1436
2429,1437
2428,1437
2428,1438
2427,1438
2427,1440
2426,1440
2426,1441
2425,1441
2425,1443
2424,1443
2424,1447
2423,1447
2423,1461
2422,1461
2422,1462
2418,1462
2418,1461
2412,1461
2412,1460
2409,1460
2409,1461
2400,1461
2400,1460
2395,1460
2395,1461
2391,1461
2391,1462
2384,1462
2384,1461
2383,1461
2383,1460
2382,1460
2382,1458
2381,1458
2381,1457
2380,1457
2380,1456
2379,1456
2379,1455
2377,1455
2377,1454
2376,1454
2376,1453
2375,1453
2375,1452
2373,1452
2373,1451
2371,1451
2371,1450
2369,1450
2369,1449
2365,1449
2365,1448
2353,1448
2353,1449
2350,1449
2350,1450
2348,1450
2348,1451
2337,1451
2337,1450
2330,1450
2330,1451
2323,1451
2323,1452
2320,1452
2320,1453
2317,1453
2317,1454
2316,1454
2316,1455
2315,1455
2315,1456
2313,1456
2313,1457
2312,1457
2312,1458
2311,1458
2311,1459
2310,1459
2310,1460
2308,1460
2308,1461
2305,1461
2305,1462
2302,1462
2302,1463
2297,1463
2297,1462
2293,1462
2293,1461
2287,1461
