x,y
1548,1
1549,1
1549,6
1550,6
1550,10
1551,10
1551,18
1550,18
1550,28
1551,28
1551,32
1552,32
1552,34
1553,34
1553,41
1552,41
1552,45
1551,45
1551,58
1552,58
1552,61
1553,61
1553,65
1554,65
1554,68
1555,68
1555,71
1556,71
1556,73
1557,73
1557,75
1558,75
1558,77
1559,77
1559,79
1560,79
1560,80
1561,80
1561,81
1562,81
1562,82
1563,82
1563,83
1564,83
1564,84
1565,84
1565,85
1566,85
1566,86
1567,86
1567,91
1566,91
1566,96
1567,96
1567,101
1568,101
1568,103
1569,103
1569,105
1570,105
1570,107
1571,107
1571,109
1572,109
1572,110
1573,110
1573,112
1574,112
1574,113
1575,113
1575,114
1576,114
1576,115
1577,115
1577,117
1576,117
1576,118
1575,118
1575,119
1574,119
1574,121
1573,121
1573,122
1572,122
1572,124
1571,124
1571,126
1570,126
1570,128
1569,128
1569,131
1568,131
1568,134
1567,134
1567,138
1566,138
1566,146
1567,146
1567,150
1568,150
1568,153
1569,153
1569,155
1570,155
1570,157
1571,157
1571,158
1572,158
1572,159
1573,159
1573,160
1574,160
1574,161
1575,161
1575,162
1576,162
1576,164
1577,164
1577,166
1578,166
1578,168
1579,168
1579,171
1580,171
1580,173
1581,173
1581,174
1582,174
1582,176
1583,176
1583,177
1584,177
1584,178
1585,178
1585,179
1586,179
1586,180
1587,180
1587,181
1588,181
1588,182
1590,182
1590,183
1591,183
1591,184
1593,184
1593,185
1594,185
1594,186
1596,186
1596,187
1601,187
1601,188
1602,188
1602,192
1603,192
1603,198
1604,198
1604,202
1605,202
1605,211
1604,211
1604,212
1603,212
1603,214
1601,214
1601,215
1600,215
1600,216
1584,216
1584,217
1580,217
1580,218
1578,218
1578,219
1576,219
1576,220
1574,220
1574,221
1573,221
1573,222
1571,222
1571,223
1565,223
1565,224
1558,224
1558,225
1554,225
1554,226
1552,226
1552,227
1550,227
1550,228
1548,228
1548,229
1547,229
1547,230
1546,230
1546,231
1545,231
1545,233
1544,233
1544,235
1543,235
1543,237
1542,237
1542,240
1541,240
1541,251
1542,251
1542,254
1543,254
1543,256
1544,256
1544,258
1545,258
1545,259
1546,259
1546,260
1547,260
1547,261
1548,261
1548,262
1549,262
1549,263
1550,263
1550,265
1551,265
1551,266
1552,266
1552,269
1553,269
1553,272
1554,272
1554,274
1555,274
1555,276
1556,276
1556,277
1557,277
1557,278
1558,278
1558,279
1559,279
1559,281
1560,281
1560,282
1562,282
1562,283
1563,283
1563,284
1564,284
1564,285
1566,285
1566,286
1569,286
1569,287
1571,287
1571,288
1578,288
1578,289
1580,289
1580,288
1586,288
1586,287
1593,287
1593,286
1595,286
1595,287
1599,287
1599,288
1601,288
1601,289
1603,289
1603,290
1604,290
1604,291
1605,291
1605,292
1606,292
1606,293
1607,293
1607,296
1608,296
1608,305
1607,305
1607,315
1608,315
1608,317
1609,317
1609,320
1610,320
1610,323
1611,323
1611,326
1610,326
1610,329
1609,329
1609,332
1608,332
1608,335
1607,335
1607,339
1606,339
1606,343
1605,343
1605,347
1604,347
1604,354
1603,354
1603,359
1602,359
1602,363
1601,363
1601,365
1600,365
1600,368
1599,368
1599,370
1598,370
1598,371
1597,371
1597,373
1596,373
1596,376
1595,376
1595,378
1594,378
1594,381
1593,381
1593,384
1592,384
1592,389
1591,389
1591,393
1590,393
1590,398
1589,398
1589,406
1588,406
1588,410
1587,410
1587,415
1586,415
1586,425
1587,425
1587,428
1588,428
1588,431
1589,431
1589,433
1590,433
1590,435
1591,435
1591,436
1592,436
1592,438
1593,438
1593,439
1594,439
1594,440
1595,440
1595,441
1596,441
1596,444
1597,444
1597,446
1598,446
1598,448
1599,448
1599,450
1600,450
1600,451
1601,451
1601,453
1602,453
1602,454
1603,454
1603,455
1604,455
1604,456
1605,456
1605,457
1606,457
1606,458
1607,458
1607,459
1608,459
1608,461
1609,461
1609,463
1610,463
1610,465
1611,465
1611,466
1612,466
1612,468
1613,468
1613,469
1614,469
1614,471
1615,471
1615,472
1616,472
1616,474
1617,474
1617,476
1618,476
1618,477
1619,477
1619,478
1620,478
1620,479
1621,479
1621,476
1622,476
1622,477
1623,477
1623,479
1624,479
1624,481
1625,481
1625,483
1626,483
1626,484
1627,484
1627,496
1626,496
1626,507
1627,507
1627,514
1628,514
1628,520
1629,520
1629,526
1628,526
1628,530
1627,530
1627,536
1626,536
1626,544
1627,544
1627,548
1628,548
1628,551
1629,551
1629,553
1630,553
1630,556
1631,556
1631,559
1632,559
1632,563
1633,563
1633,566
1634,566
1634,568
1635,568
1635,570
1636,570
1636,572
1637,572
1637,574
1638,574
1638,575
1639,575
1639,576
1640,576
1640,577
1641,577
1641,578
1642,578
1642,579
1643,579
1643,582
1642,582
1642,585
1641,585
1641,588
1642,588
1642,590
1641,590
1641,598
1640,598
1640,602
1641,602
1641,603
1640,603
1640,605
1641,605
1641,617
1640,617
1640,618
1639,618
1639,619
1638,619
1638,620
1636,620
1636,621
1635,621
1635,622
1634,622
1634,623
1632,623
1632,624
1631,624
1631,625
1630,625
1630,626
1629,626
1629,627
1628,627
1628,629
1627,629
1627,630
1626,630
1626,632
1625,632
1625,634
1624,634
1624,637
1623,637
1623,641
1622,641
1622,648
1623,648
1623,652
1624,652
1624,655
1625,655
1625,657
1626,657
1626,659
1627,659
1627,660
1628,660
1628,662
1629,662
1629,663
1630,663
1630,665
1631,665
1631,666
1632,666
1632,667
1633,667
1633,668
1634,668
1634,669
1635,669
1635,670
1636,670
1636,671
1637,671
1637,672
1639,672
1639,673
1640,673
1640,674
1642,674
1642,675
1643,675
1643,676
1646,676
1646,677
1648,677
1648,678
1652,678
1652,679
1665,679
1665,678
1668,678
1668,677
1670,677
1670,676
1673,676
1673,675
1688,675
1688,676
1690,676
1690,675
1696,675
1696,674
1700,674
1700,673
1703,673
1703,672
1706,672
1706,671
1711,671
1711,672
1719,672
1719,671
1721,671
1721,670
1725,670
1725,669
1735,669
1735,668
1740,668
1740,667
1746,667
1746,668
1748,668
1748,669
1749,669
1749,670
1750,670
1750,671
1751,671
1751,672
1753,672
1753,673
1755,673
1755,674
1757,674
1757,675
1759,675
1759,676
1762,676
1762,677
1766,677
1766,678
1779,678
1779,677
1782,677
1782,676
1787,676
1787,677
1791,677
1791,678
1797,678
1797,677
1803,677
1803,676
1823,676
1823,675
1824,675
1824,676
1827,676
1827,675
1832,675
1832,674
1835,674
1835,673
1837,673
1837,672
1839,672
1839,671
1841,671
1841,670
1843,670
1843,669
1849,669
1849,668
1853,668
1853,667
1855,667
1855,666
1868,666
1868,667
1872,667
1872,666
1877,666
1877,665
1880,665
1880,664
1882,664
1882,663
1884,663
1884,662
1892,662
1892,663
1893,663
1893,664
1895,664
1895,665
1899,665
1899,666
1914,666
1914,667
1916,667
1916,668
1919,668
1919,669
1921,669
1921,670
1924,670
1924,671
1927,671
1927,672
1933,672
1933,673
1936,673
1936,674
1939,674
1939,675
1943,675
1943,676
1955,676
1955,675
1958,675
1958,674
1960,674
1960,673
1963,673
1963,672
1965,672
1965,671
1967,671
1967,670
1969,670
1969,669
1971,669
1971,668
1975,668
1975,667
1979,667
1979,666
1983,666
1983,665
1986,665
1986,664
1988,664
1988,663
1990,663
1990,662
1992,662
1992,661
1993,661
1993,660
1995,660
1995,659
1996,659
1996,658
1997,658
1997,657
1999,657
1999,656
2005,656
2005,657
2008,657
2008,658
2010,658
2010,659
2012,659
2012,660
2013,660
2013,661
2016,661
2016,662
2019,662
2019,663
2025,663
2025,664
2032,664
2032,663
2039,663
2039,664
2041,664
2041,665
2044,665
2044,666
2048,666
2048,667
2076,667
2076,666
2081,666
2081,665
2085,665
2085,664
2087,664
2087,663
2089,663
2089,662
2091,662
2091,661
2093,661
2093,660
2095,660
2095,659
2098,659
2098,658
2101,658
2101,657
2103,657
2103,656
2106,656
2106,655
2109,655
2109,654
2112,654
2112,653
2115,653
2115,652
2119,652
2119,651
2121,651
2121,650
2123,650
2123,649
2124,649
2124,648
2128,648
2128,649
2130,649
2130,650
2133,650
2133,651
2154,651
2154,652
2156,652
2156,653
2157,653
2157,654
2159,654
2159,655
2160,655
2160,656
2161,656
2161,657
2163,657
2163,658
2165,658
2165,659
2167,659
2167,660
2171,660
2171,661
2183,661
2183,660
2187,660
2187,659
2190,659
2190,658
2192,658
2192,657
2194,657
2194,656
2196,656
2196,655
2198,655
2198,654
2199,654
2199,653
2200,653
2200,652
2201,652
2201,651
2202,651
2202,650
2204,650
2204,651
2205,651
2205,653
2207,653
2207,654
2208,654
2208,655
2210,655
2210,656
2212,656
2212,657
2215,657
2215,658
2218,658
2218,659
2223,659
2223,660
2232,660
2232,659
2236,659
2236,658
2238,658
2238,657
2241,657
2241,656
2242,656
2242,655
2244,655
2244,654
2245,654
2245,653
2247,653
2247,652
2248,652
2248,651
2266,651
2266,650
2270,650
2270,649
2273,649
2273,648
2292,648
2292,647
2296,647
2296,646
2298,646
2298,645
2300,645
2300,644
2301,644
2301,643
2303,643
2303,642
2304,642
2304,641
2305,641
2305,640
2306,640
2306,639
2307,639
2307,638
2308,638
2308,637
2310,637
2310,636
2315,636
2315,637
2318,637
2318,638
2319,638
2319,639
2320,639
2320,640
2322,640
2322,641
2324,641
2324,642
2326,642
2326,643
2330,643
2330,644
2337,644
2337,643
2345,643
2345,644
2350,644
2350,645
2355,645
2355,646
2359,646
2359,647
2362,647
2362,648
2365,648
2365,649
2368,649
2368,650
2386,650
2386,649
2392,649
2392,648
2396,648
2396,647
2400,647
2400,646
2405,646
2405,645
2421,645
2421,644
2426,644
2426,643
2430,643
2430,642
2433,642
2433,641
2436,641
2436,640
2438,640
2438,639
2440,639
2440,638
2442,638
2442,637
2444,637
2444,636
2446,636
2446,635
2448,635
2448,634
2449,634
2449,633
2451,633
2451,632
2452,632
2452,1567
2450,1567
2450,1568
2445,1568
2445,1569
2442,1569
2442,1570
2438,1570
2438,1571
2434,1571
2434,1572
2431,1572
2431,1573
2429,1573
2429,1574
2427,1574
2427,1575
2424,1575
2424,1576
2422,1576
2422,1577
2420,1577
2420,1578
2417,1578
2417,1579
2414,1579
2414,1578
2410,1578
2410,1577
2404,1577
2404,1576
2400,1576
2400,1575
2392,1575
2392,1574
2384,1574
2384,1575
2380,1575
2380,1576
2377,1576
2377,1577
2375,1577
2375,1578
2373,1578
2373,1579
2372,1579
2372,1580
2370,1580
2370,1581
2368,1581
2368,1582
2365,1582
2365,1583
2363,1583
2363,1582
2361,1582
2361,1581
2359,1581
2359,1580
2358,1580
2358,1579
2357,1579
2357,1578
2356,1578
2356,1577
2355,1577
2355,1576
2354,1576
2354,1575
2352,1575
2352,1574
2351,1574
2351,1573
2349,1573
2349,1572
2348,1572
2348,1571
2345,1571
2345,1570
2342,1570
2342,1569
2334,1569
2334,1570
2331,1570
2331,1571
2328,1571
2328,1572
2326,1572
2326,1573
2325,1573
2325,1574
2323,1574
2323,1575
2322,1575
2322,1576
2320,1576
2320,1577
2319,1577
2319,1578
2316,1578
2316,1579
2309,1579
2309,1580
2304,1580
2304,1581
2301,1581
2301,1582
2298,1582
2298,1583
2295,1583
2295,1584
2275,1584
2275,1583
2272,1583
2272,1582
2270,1582
2270,1581
2268,1581
2268,1580
2266,1580
2266,1579
2264,1579
2264,1578
2261,1578
2261,1577
2248,1577
2248,1578
2243,1578
2243,1579
2241,1579
2241,1580
2239,1580
2239,1581
2237,1581
2237,1582
2236,1582
2236,1583
2234,1583
2234,1584
2233,1584
2233,1585
2232,1585
2232,1586
2231,1586
2231,1587
2230,1587
2230,1588
2229,1588
2229,1589
2228,1589
2228,1590
2227,1590
2227,1591
2226,1591
2226,1592
2213,1592
2213,1591
2204,1591
2204,1590
2196,1590
2196,1589
2190,1589
2190,1588
2188,1588
2188,1587
2187,1587
2187,1586
2185,1586
2185,1585
2184,1585
2184,1584
2183,1584
2183,1583
2181,1583
2181,1582
2180,1582
2180,1581
2178,1581
2178,1580
2175,1580
2175,1579
2172,1579
2172,1578
2168,1578
2168,1577
2158,1577
2158,1576
2152,1576
2152,1575
2150,1575
2150,1574
2149,1574
2149,1573
2148,1573
2148,1572
2147,1572
2147,1571
2146,1571
2146,1570
2145,1570
2145,1569
2144,1569
2144,1568
2142,1568
2142,1567
2141,1567
2141,1566
2138,1566
2138,1565
2134,1565
2134,1564
2130,1564
2130,1565
2125,1565
2125,1566
2122,1566
2122,1567
2119,1567
2119,1568
2117,1568
2117,1569
2113,1569
2113,1570
2093,1570
2093,1571
2090,1571
2090,1572
2082,1572
2082,1573
2081,1573
2081,1572
2078,1572
2078,1571
2076,1571
2076,1570
2075,1570
2075,1569
2073,1569
2073,1568
2072,1568
2072,1567
2071,1567
2071,1566
2070,1566
2070,1565
2069,1565
2069,1563
2068,1563
2068,1562
2067,1562
2067,1560
2066,1560
2066,1559
2065,1559
2065,1558
2064,1558
2064,1557
2063,1557
2063,1556
2061,1556
2061,1555
2060,1555
2060,1554
2058,1554
2058,1553
2056,1553
2056,1552
2054,1552
2054,1551
2051,1551
2051,1550
2038,1550
2038,1551
2035,1551
2035,1552
2032,1552
2032,1553
2030,1553
2030,1554
2029,1554
2029,1555
2027,1555
2027,1556
2026,1556
2026,1557
2025,1557
2025,1558
2024,1558
2024,1559
2020,1559
2020,1558
2018,1558
2018,1557
2017,1557
2017,1556
2015,1556
2015,1555
2014,1555
2014,1554
2012,1554
2012,1553
2010,1553
2010,1552
2008,1552
2008,1551
2007,1551
2007,1550
2005,1550
2005,1549
2004,1549
2004,1548
2002,1548
2002,1547
2000,1547
2000,1546
1998,1546
1998,1545
1995,1545
1995,1544
1992,1544
1992,1543
1990,1543
1990,1544
1979,1544
1979,1545
1975,1545
1975,1546
1973,1546
1973,1547
1972,1547
1972,1548
1970,1548
1970,1549
1969,1549
1969,1550
1968,1550
1968,1551
1967,1551
1967,1552
1966,1552
1966,1553
1965,1553
1965,1555
1964,1555
1964,1556
1963,1556
1963,1558
1962,1558
1962,1560
1961,1560
1961,1561
1960,1561
1960,1563
1959,1563
1959,1565
1958,1565
1958,1567
1957,1567
1957,1568
1955,1568
1955,1569
1952,1569
1952,1570
1949,1570
1949,1569
1947,1569
1947,1568
1945,1568
1945,1567
1942,1567
1942,1566
1930,1566
1930,1567
1918,1567
1918,1566
1915,1566
1915,1565
1912,1565
1912,1564
1908,1564
1908,1563
1898,1563
1898,1562
1893,1562
1893,1563
1888,1563
1888,1564
1883,1564
1883,1565
1879,1565
1879,1566
1875,1566
1875,1565
1867,1565
1867,1564
1866,1564
1866,1563
1865,1563
1865,1562
1864,1562
1864,1561
1862,1561
1862,1560
1860,1560
1860,1559
1859,1559
1859,1558
1857,1558
1857,1557
1855,1557
1855,1556
1851,1556
1851,1555
1839,1555
1839,1556
1835,1556
1835,1557
1833,1557
1833,1558
1831,1558
1831,1559
1829,1559
1829,1560
1828,1560
1828,1561
1827,1561
1827,1562
1826,1562
1826,1563
1825,1563
1825,1564
1824,1564
1824,1565
1823,1565
1823,1566
1820,1566
1820,1565
1816,1565
1816,1564
1813,1564
1813,1563
1803,1563
1803,1564
1800,1564
1800,1565
1797,1565
1797,1566
1794,1566
1794,1565
1792,1565
1792,1564
1791,1564
1791,1562
1790,1562
1790,1561
1789,1561
1789,1560
1788,1560
1788,1558
1786,1558
1786,1557
1785,1557
1785,1556
1784,1556
1784,1555
1782,1555
1782,1554
1780,1554
1780,1553
1777,1553
1777,1552
1775,1552
1775,1551
1766,1551
1766,1552
1762,1552
1762,1553
1759,1553
1759,1554
1756,1554
1756,1555
1740,1555
1740,1556
1737,1556
1737,1557
1735,1557
1735,1558
1734,1558
1734,1559
1732,1559
1732,1560
1731,1560
1731,1561
1730,1561
1730,1562
1729,1562
1729,1563
1728,1563
1728,1564
1727,1564
1727,1565
1726,1565
1726,1567
1725,1567
1725,1568
1722,1568
1722,1567
1719,1567
1719,1566
1717,1566
1717,1565
1714,1565
1714,1564
1699,1564
1699,1565
1695,1565
1695,1566
1692,1566
1692,1567
1690,1567
1690,1568
1688,1568
1688,1569
1686,1569
1686,1570
1684,1570
1684,1571
1683,1571
1683,1572
1682,1572
1682,1573
1681,1573
1681,1574
1680,1574
1680,1575
1679,1575
1679,1577
1678,1577
1678,1579
1677,1579
1677,1581
1676,1581
1676,1583
1675,1583
1675,1588
1674,1588
1674,1592
1675,1592
1675,1597
1676,1597
1676,1600
1677,1600
1677,1602
1678,1602
1678,1603
1679,1603
1679,1604
1680,1604
1680,1605
1681,1605
1681,1606
1682,1606
1682,1607
1683,1607
1683,1608
1685,1608
1685,1609
1687,1609
1687,1610
1689,1610
1689,1611
1692,1611
1692,1612
1696,1612
1696,1613
1707,1613
1707,1616
1706,1616
1706,1620
1705,1620
1705,1640
1704,1640
1704,1645
1703,1645
1703,1647
1701,1647
1701,1648
1698,1648
1698,1649
1694,1649
1694,1650
1691,1650
1691,1651
1689,1651
1689,1652
1687,1652
1687,1653
1685,1653
1685,1654
1684,1654
1684,1655
1683,1655
1683,1656
1681,1656
1681,1657
1680,1657
1680,1658
1679,1658
1679,1660
1678,1660
1678,1661
1677,1661
1677,1663
1676,1663
1676,1665
1675,1665
1675,1667
1674,1667
1674,1670
1673,1670
1673,1674
1672,1674
1672,1684
1673,1684
1673,1688
1674,1688
1674,1691
1675,1691
1675,1693
1676,1693
1676,1695
1677,1695
1677,1696
1678,1696
1678,1698
1679,1698
1679,1699
1681,1699
1681,1700
1682,1700
1682,1706
1681,1706
1681,1711
1680,1711
1680,1714
1681,1714
1681,1719
1682,1719
1682,1721
1683,1721
1683,1723
1684,1723
1684,1725
1685,1725
1685,1726
1686,1726
1686,1728
1687,1728
1687,1729
1689,1729
1689,1730
1690,1730
1690,1731
1692,1731
1692,1732
1694,1732
1694,1733
1698,1733
1698,1734
1699,1734
1699,1735
1700,1735
1700,1736
1701,1736
1701,1737
1702,1737
1702,1739
1703,1739
1703,1741
1704,1741
1704,1742
1705,1742
1705,1743
1706,1743
1706,1744
1707,1744
1707,1745
1708,1745
1708,1746
1709,1746
1709,1747
1710,1747
1710,1748
1712,1748
1712,1749
1713,1749
1713,1750
1714,1750
1714,1751
1715,1751
1715,1752
1717,1752
1717,1753
1718,1753
1718,1754
1719,1754
1719,1756
1720,1756
1720,1757
1721,1757
1721,1758
1722,1758
1722,1760
1723,1760
1723,1761
1724,1761
1724,1762
1725,1762
1725,1763
1726,1763
1726,1765
1727,1765
1727,1766
1728,1766
1728,1767
1730,1767
1730,1768
1731,1768
1731,1769
1733,1769
1733,1770
1735,1770
1735,1771
1737,1771
1737,1772
1740,1772
1740,1773
1742,1773
1742,1777
1741,1777
1741,1781
1740,1781
1740,1787
1739,1787
1739,1795
1738,1795
1738,1804
1737,1804
1737,1812
1736,1812
1736,1815
1735,1815
1735,1817
1734,1817
1734,1819
1733,1819
1733,1821
1732,1821
1732,1824
1731,1824
1731,1827
1730,1827
1730,1839
1729,1839
1729,1840
1728,1840
1728,1841
1722,1841
1722,1842
1719,1842
1719,1843
1717,1843
1717,1844
1715,1844
1715,1845
1714,1845
1714,1846
1712,1846
1712,1847
1711,1847
1711,1848
1710,1848
1710,1849
1709,1849
1709,1850
1708,1850
1708,1851
1707,1851
1707,1852
1706,1852
1706,1853
1705,1853
1705,1854
1704,1854
1704,1856
1703,1856
1703,1857
1702,1857
1702,1859
1701,1859
1701,1861
1700,1861
1700,1863
1699,1863
1699,1867
1698,1867
1698,1873
1697,1873
1697,1878
1698,1878
1698,1882
1699,1882
1699,1885
1700,1885
1700,1886
1701,1886
1701,1888
1702,1888
1702,1889
1703,1889
1703,1891
1704,1891
1704,1892
1706,1892
1706,1893
1707,1893
1707,1894
1708,1894
1708,1895
1711,1895
1711,1896
1713,1896
1713,1897
1716,1897
1716,1898
1726,1898
1726,1897
1728,1897
1728,1898
1730,1898
1730,1900
1731,1900
1731,1902
1732,1902
1732,1905
1730,1905
1730,1906
1725,1906
1725,1907
1723,1907
1723,1908
1720,1908
1720,1909
1719,1909
1719,1910
1717,1910
1717,1911
1715,1911
1715,1912
1714,1912
1714,1913
1713,1913
1713,1915
1712,1915
1712,1916
1711,1916
1711,1917
1710,1917
1710,1919
1709,1919
1709,1921
1708,1921
1708,1922
1707,1922
1707,1925
1706,1925
1706,1928
1705,1928
1705,1937
1706,1937
1706,1941
1707,1941
1707,1943
1708,1943
1708,1944
1709,1944
1709,1946
1710,1946
1710,1947
1711,1947
1711,1948
1713,1948
1713,1949
1714,1949
1714,1950
1715,1950
1715,1951
1717,1951
1717,1952
1718,1952
1718,1953
1720,1953
1720,1954
1721,1954
1721,1955
1722,1955
1722,1956
1723,1956
1723,1959
1724,1959
1724,1961
1725,1961
1725,1963
1726,1963
1726,1965
1727,1965
1727,1966
1728,1966
1728,1968
1729,1968
1729,1970
1730,1970
1730,1973
1731,1973
1731,1975
1732,1975
1732,1976
1733,1976
1733,1978
1734,1978
1734,1979
1735,1979
1735,1980
1736,1980
1736,1981
1737,1981
1737,1982
1738,1982
