filename,area_px,area_pct,width_px,width_sd,n_rois,status,unit_check,pw_check
004fc0a19e__HUVEC__originais_None_A5__tp12h__A5_12HR_2.tiff,581865.000,11.542,304.777,70.586,150,ok,pixels,1.000000
0270d51969__SKOV-3__P2_CARBO_F9__tp48h__Snap-25.tiff,2339284.000,46.402,1670.102,785.292,113,ok,pixels,1.000000
05932b157b__HUVEC__LUIS_RAW_PET_C5__tp8h__C5_8H_1.tiff,814247.000,16.151,439.514,146.643,334,ok,pixels,1.000000
07006e35fe__SKOV-3__P1_GEO+PTX_F6__tp24h__Snap-52_2.tiff,1280378.000,25.398,647.509,78.011,321,ok,pixels,1.000000
074ae97d16__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PET_+_NEB_5uM_D3__tp0h__D3_0H_2_2.tiff,4312015.000,85.534,2444.704,16.368,42,ok,pixels,1.000000
07f7f3ae69__HUVEC__originais_None_D1__tp24h__D1_24HR_2.tiff,219785.000,4.360,220.534,122.423,263,ok,pixels,1.000000
0836fc4ee3__HUVEC__Originais_1_None_B5__tp12h__B5_12HR_2_2.tiff,805405.000,15.976,486.876,302.542,253,ok,pixels,1.000000
0a2a2af49b__HUVEC__originais_None_D4__tp8h__D4_8HR_2.tiff,238542.000,4.732,146.642,67.348,74,ok,pixels,1.000000
0b6e433347__HUVEC__Controle+Saudavel_None_B1__tp0h__B1_0hr_1.tiff,2375976.000,47.130,1542.047,311.054,170,ok,pixels,1.000000
0b9742f9a3__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp8h__B1_8H_2_2.tiff,563839.000,11.184,309.552,85.684,268,ok,pixels,1.000000
0bdbd51083__HUVEC__Originais_1_None_D1__tp24h__D1_24HR_1_2.tiff,580701.000,11.519,427.538,179.354,271,ok,pixels,1.000000
0c9eecd4e4__HUVEC__Originais_1_None_A1__tp24h__A1_24HR_2_2.tiff,1812018.000,35.943,1255.446,539.081,188,ok,pixels,1.000000
10c73cd55a__HUVEC__originais_None_A1__tp8h__A1_8HR_2.tiff,2202377.000,43.687,1449.996,610.835,169,ok,pixels,1.000000
11aad82875__HUVEC__Migra_o_PET_e_PEP_n2_-_RAW_PEP_+_NEB_1uM_B1__tp24h__B1_24H_2_3.tiff,1449551.000,28.753,763.602,76.936,239,ok,pixels,1.000000
121a1c1fcd__HUVEC__Controle+Saudavel_None_A1__tp12h__A1_12hr_1.tiff,760559.000,15.087,377.034,51.823,226,ok,pixels,1.000000
125425d796__HUVEC__LUIS_RAW_PET_F2__tp0h__F2_0H_1.tiff,1217612.000,24.153,637.624,67.212,79,ok,pixels,1.000000
156f09d73b__HUVEC__Originais_1_None_A5__tp0h__A5_0HR_2_2.tiff,791008.000,15.691,389.896,41.352,239,ok,pixels,1.000000
157a366d29__HUVEC__Originais_1_None_A1__tp0h__A1_0HR_2_2.tiff,905523.000,17.962,473.508,138.772,268,ok,pixels,1.000000
15dfa1f8f7__HUVEC__Pr_-Ecl_mpsia_None_B6__tp12h__B6_12hr_1.tiff,985551.000,19.549,550.344,108.766,231,ok,pixels,1.000000
161686180c__HUVEC__LUIS_RAW_PEP+MET3_A6__tp0h__A6_0H_2.tiff,6447.000,0.128,91.408,25.001,163,ok,pixels,1.000000
17691aa585__HUVEC__Migra_o_PET_e_PEP_n1_-_RAW_PET_+_NEB_1uM_C5__tp24h__C5_24H_2_2.tiff,3810479.000,75.585,2279.036,264.805,87,ok,pixels,1.000000
19b5407474__HUVEC__originais_None_A1__tp8h__A1_8HR_1.tiff,1819143.000,36.085,1308.378,908.686,170,ok,pixels,1.000000
1b7a6d4b5b__HUVEC__Originais_1_None_A5__tp24h__A5_24HR_2_2.tiff,2569914.000,50.977,1435.728,520.024,145,ok,pixels,1.000000
1c257ba6ee__SKOV-3__P1_GEO_F11__tp48h__Snap-42_2.tiff,1575406.000,31.250,998.605,282.430,179,ok,pixels,1.000000
1d20187a19__SKOV-3__P1_CT_F8__tp24h__Snap-09_2.tiff,1991581.000,39.505,1121.390,156.840,192,ok,pixels,1.000000
1da4221988__HUVEC__Originais_1_None_B5__tp0h__B5_0HR_1_2.tiff,843189.000,16.726,412.161,29.200,226,ok,pixels,1.000000
1daac83e9d__HUVEC__LUIS_RAW_PEP+MCC_B4__tp24h__B4_24H_2_2.tiff,440516.000,8.738,466.051,121.793,279,ok,pixels,1.000000
1e53de2f60__HUVEC__Originais_1_None_A5__tp12h__A5_12HR_1_2.tiff,2073478.000,41.130,1412.333,826.320,173,ok,pixels,1.000000
207e171eaf__SKOV-3__P2_CT_F9__tp0h__Snap-10.tiff,2154191.000,42.731,1550.208,975.279,110,ok,pixels,1.000000
2166dad4b4__SKOV-3__P1_GEO+PTX_F6__tp72h__Snap-41.tiff,451254.000,8.951,360.231,112.119,323,ok,pixels,1.000000
219024d892__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D4__tp24h__D4_24H_1_3.tiff,3710507.000,73.602,1980.378,292.300,108,ok,pixels,1.000000
226a0493b4__HUVEC__LUIS_RAW_PEP+MET3_A6__tp8h__A6_8H_2.tiff,1163560.000,23.080,698.653,406.778,261,ok,pixels,1.000000
2416a46324__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp24h__D1_24H_1_3.tiff,12829.000,0.254,73.000,39.304,114,ok,pixels,1.000000
246463cc3a__HUVEC__Migra_o_PET_e_PEP_n3_-_RAW_None_D1__tp8h__D1_8H_2.tiff,839599.000,16.654,517.061,152.221,355,ok,pixels,1.000000
